complexity,loss,equation,score,sympy_format,lambda_format
1,0.009567317,-0.3774887,0.0,-0.377488700000000,PySRFunction(X=>-0.377488700000000)
3,0.006494656,-1.7832078 / log10_sigma,0.19368656298973,-1.7832078/log10_sigma,PySRFunction(X=>-1.7832078/log10_sigma)
4,0.0029247154,log(log10_sigma * 0.14636391),0.7977825080969566,log(0.14636391*log10_sigma),PySRFunction(X=>log(0.14636391*log10_sigma))
5,0.0006204806,(log10_sigma * 0.44005996) - 2.4409993,1.550458116739674,log10_sigma*0.44005996 - 1*2.4409993,PySRFunction(X=>log10_sigma*0.44005996 - 1*2.4409993)
7,0.0005319946,((log10_sigma * 1.2866743) + -7.137255) / log10_f,0.07693050006646283,(log10_sigma*1.2866743 - 7.137255)/log10_f,PySRFunction(X=>(log10_sigma*1.2866743 - 7.137255)/log10_f)
8,0.0005257527,((log10_sigma * 0.44006494) + -4.151045) + sqrt(log10_f),0.011802388823881958,sqrt(log10_f) + 0.44006494*log10_sigma - 4.151045,PySRFunction(X=>sqrt(log10_f) + 0.44006494*log10_sigma - 4.151045)
9,0.0005004288,(log10_sigma * 0.4406962) - ((alpha_infinity * -0.035231903) + 2.4983976),0.04936561919688208,log10_sigma*0.4406962 - (2.4983976 + alpha_infinity*(-0.035231903)),PySRFunction(X=>log10_sigma*0.4406962 - (2.4983976 + alpha_infinity*(-0.035231903)))
11,0.0004823252,((log10_sigma * 0.4536416) + (-0.7337144 / (log10_f + alpha_infinity))) - 2.3393066,0.018423377773154177,log10_sigma*0.4536416 - 1*2.3393066 - 0.7337144/(alpha_infinity + log10_f),PySRFunction(X=>log10_sigma*0.4536416 - 1*2.3393066 - 0.7337144/(alpha_infinity + log10_f))
12,0.0004057011,sqrt(log10_f) + ((log10_sigma * 0.44069526) + ((alpha_infinity * 0.035217717) + -4.2083793)),0.17300189377531477,0.035217717*alpha_infinity + sqrt(log10_f) + 0.44069526*log10_sigma - 4.2083793,PySRFunction(X=>0.035217717*alpha_infinity + sqrt(log10_f) + 0.44069526*log10_sigma - 4.2083793)
14,0.00040549083,((alpha_infinity * 0.035339773) + ((-4.2112455 + (log10_sigma * 0.4409767)) + sqrt(log10_f))) * 0.9963822,0.0002592111643780546,0.0352119207692406*alpha_infinity + 0.9963822*sqrt(log10_f) + 0.43938133449474*log10_sigma - 4.1960100560301,PySRFunction(X=>0.0352119207692406*alpha_infinity + 0.9963822*sqrt(log10_f) + 0.43938133449474*log10_sigma - 4.1960100560301)
16,0.0003851539,(-0.0681741 / log(alpha_infinity / log10_sigma)) + ((log10_sigma * 0.4530488) + ((-1.9353988 / log10_f) - 1.9024707)),0.025727632285186826,0.4530488*log10_sigma - 1.9024707 - 0.0681741/log(alpha_infinity/log10_sigma) - 1.9353988/log10_f,PySRFunction(X=>0.4530488*log10_sigma - 1.9024707 - 0.0681741/log(alpha_infinity/log10_sigma) - 1.9353988/log10_f)
17,0.000351271,(((log10_lambda + (log10_lambda * alpha_infinity)) * -0.009510337) + ((-1.7955498 / log10_f) + -1.9305146)) + (log10_sigma * 0.44123584),0.09208498933498852,log10_sigma*0.44123584 + (alpha_infinity*log10_lambda + log10_lambda)*(-0.009510337) - 1.9305146 - 1.7955498/log10_f,PySRFunction(X=>log10_sigma*0.44123584 + (alpha_infinity*log10_lambda + log10_lambda)*(-0.009510337) - 1.9305146 - 1.7955498/log10_f)
19,0.00035088847,((((log10_lambda + (log10_lambda * alpha_infinity)) * -0.009525455) - 1.4263691) + (log10_sigma * 0.4415032)) + ((-1.8834721 / log10_f) + -0.47547996),0.000544790826284191,log10_sigma*0.4415032 + (alpha_infinity*log10_lambda + log10_lambda)*(-0.009525455) - 1*1.4263691 - 0.47547996 - 1.8834721/log10_f,PySRFunction(X=>log10_sigma*0.4415032 + (alpha_infinity*log10_lambda + log10_lambda)*(-0.009525455) - 1*1.4263691 - 0.47547996 - 1.8834721/log10_f)
21,0.00033792533,((log10_sigma * 0.50608027) + -0.16613881) + (((alpha_infinity * -0.040623654) * ((log10_sigma - 1.3812871) + log10_lambda)) + ((-0.94378453 / log10_f) - 2.30865)),0.018821734883825,alpha_infinity*(-0.040623654)*(log10_lambda + log10_sigma - 1*1.3812871) + log10_sigma*0.50608027 - 1*2.30865 - 0.16613881 - 0.94378453/log10_f,PySRFunction(X=>alpha_infinity*(-0.040623654)*(log10_lambda + log10_sigma - 1*1.3812871) + log10_sigma*0.50608027 - 1*2.30865 - 0.16613881 - 0.94378453/log10_f)
22,0.00031861794,((((log10_sigma * -1.7927575) + ((log((alpha_infinity - log10_lambda) / log10_f) * -0.7611404) + 5.491988)) - (-10.715271 / log10_f)) / log10_lambda) + -0.31381476,0.05883224917557695,-0.31381476 + (-1.7927575*log10_sigma - 0.7611404*log((alpha_infinity - log10_lambda)/log10_f) + 5.491988 + 10.715271/log10_f)/log10_lambda,PySRFunction(X=>-0.31381476 + (-1.7927575*log10_sigma - 0.7611404*log((alpha_infinity - log10_lambda)/log10_f) + 5.491988 + 10.715271/log10_f)/log10_lambda)
