complexity,loss,equation,score,sympy_format,lambda_format
1,0.0073013715,-0.18791834,0.0,-0.187918340000000,PySRFunction(X=>-0.187918340000000)
3,0.004946024,-0.28072497 / alpha_infinity,0.19473909286330932,-0.28072497/alpha_infinity,PySRFunction(X=>-0.28072497/alpha_infinity)
5,0.0037508083,(alpha_infinity / log10_sigma) + -0.51801676,0.13830632903564763,alpha_infinity/log10_sigma - 0.51801676,PySRFunction(X=>alpha_infinity/log10_sigma - 0.51801676)
6,0.0037456362,(1.2637302 - log(log10_sigma)) / alpha_infinity,0.0013798810411177495,(1.2637302 - log(log10_sigma))/alpha_infinity,PySRFunction(X=>(1.2637302 - log(log10_sigma))/alpha_infinity)
7,0.003030407,((alpha_infinity + 2.6520894) / log10_sigma) - 1.0848202,0.21189454844798658,-1*1.0848202 + (alpha_infinity + 2.6520894)/log10_sigma,PySRFunction(X=>-1*1.0848202 + (alpha_infinity + 2.6520894)/log10_sigma)
9,0.0026724527,(((alpha_infinity + 1.375515) / log10_sigma) + -0.76045996) * alpha_infinity,0.06285013447825447,alpha_infinity*(-0.76045996 + (alpha_infinity + 1.375515)/log10_sigma),PySRFunction(X=>alpha_infinity*(-0.76045996 + (alpha_infinity + 1.375515)/log10_sigma))
10,0.002671553,(((alpha_infinity + 2.0357604) / log10_sigma) + -0.9249506) * sqrt(alpha_infinity),0.0003367137158929443,sqrt(alpha_infinity)*(-0.9249506 + (alpha_infinity + 2.0357604)/log10_sigma),PySRFunction(X=>sqrt(alpha_infinity)*(-0.9249506 + (alpha_infinity + 2.0357604)/log10_sigma))
11,0.002470479,((((log10_f + alpha_infinity) + -1.8835875) / log10_sigma) + -0.7604537) * alpha_infinity,0.07824789229667714,alpha_infinity*(-0.7604537 + (alpha_infinity + log10_f - 1.8835875)/log10_sigma),PySRFunction(X=>alpha_infinity*(-0.7604537 + (alpha_infinity + log10_f - 1.8835875)/log10_sigma))
13,0.002341548,alpha_infinity * (((((log10_f + alpha_infinity) + -1.3763844) / log10_sigma) + -0.88455206) / 1.1410551),0.026799904926460574,alpha_infinity*(-0.88455206 + (alpha_infinity + log10_f - 1.3763844)/log10_sigma)/1.1410551,PySRFunction(X=>alpha_infinity*(-0.88455206 + (alpha_infinity + log10_f - 1.3763844)/log10_sigma)/1.1410551)
14,0.0014217837,((((log10_lambda * (log10_f / log10_sigma)) + 2.5031245) * log(alpha_infinity)) * -0.7054736) - 0.2829167,0.4989000390044829,-0.7054736*(log10_f*log10_lambda/log10_sigma + 2.5031245)*log(alpha_infinity) - 0.2829167,PySRFunction(X=>-0.7054736*(log10_f*log10_lambda/log10_sigma + 2.5031245)*log(alpha_infinity) - 0.2829167)
16,0.0011393401,(log((log10_lambda * (-6.3115234 / log10_sigma)) / log10_sigma) * ((log10_sigma / log10_lambda) + alpha_infinity)) - 0.25515133,0.11073148747660069,(alpha_infinity + log10_sigma/log10_lambda)*log(-6.3115234*log10_lambda/log10_sigma**2) - 0.25515133,PySRFunction(X=>(alpha_infinity + log10_sigma/log10_lambda)*log(-6.3115234*log10_lambda/log10_sigma**2) - 0.25515133)
18,0.0010508719,((alpha_infinity + (log10_sigma / log10_lambda)) * log((((log10_lambda * log10_f) * -1.9460688) / log10_sigma) / log10_sigma)) - 0.256697,0.04041451730353136,(alpha_infinity + log10_sigma/log10_lambda)*log(-1.9460688*log10_f*log10_lambda/log10_sigma**2) - 0.256697,PySRFunction(X=>(alpha_infinity + log10_sigma/log10_lambda)*log(-1.9460688*log10_f*log10_lambda/log10_sigma**2) - 0.256697)
20,0.0010350294,(((log10_sigma / log10_lambda) + alpha_infinity) * ((log(log10_sigma) + (((log10_f * 0.6250123) * log10_lambda) / log10_sigma)) * -0.6710698)) - 0.2532496,0.007595184217646258,(alpha_infinity + log10_sigma/log10_lambda)*(-0.41942687915854*log10_f*log10_lambda/log10_sigma - 0.6710698*log(log10_sigma)) - 0.2532496,PySRFunction(X=>(alpha_infinity + log10_sigma/log10_lambda)*(-0.41942687915854*log10_f*log10_lambda/log10_sigma - 0.6710698*log(log10_sigma)) - 0.2532496)
22,0.0010305168,((((log10_sigma / log10_lambda) + alpha_infinity) + -0.02396053) * ((((log10_f * 0.6255969) * (log10_lambda / log10_sigma)) + log(log10_sigma)) * -0.6836787)) - 0.25127628,0.0021847040649304868,(-0.42770727531603*log10_f*log10_lambda/log10_sigma - 0.6836787*log(log10_sigma))*(alpha_infinity - 0.02396053 + log10_sigma/log10_lambda) - 0.25127628,PySRFunction(X=>(-0.42770727531603*log10_f*log10_lambda/log10_sigma - 0.6836787*log(log10_sigma))*(alpha_infinity - 0.02396053 + log10_sigma/log10_lambda) - 0.25127628)
24,0.0009704453,((((log10_f * (log10_lambda / log10_sigma)) + 2.4915714) * -0.46567887) * (log(((log10_f * (log10_lambda / log10_sigma)) + 2.2996) * -0.38335645) + alpha_infinity)) - 0.19917807,0.030030332321141946,(alpha_infinity + log(-0.38335645*log10_f*log10_lambda/log10_sigma - 0.88156649242))*(-0.46567887*log10_f*log10_lambda/log10_sigma - 1.16027215407632) - 0.19917807,PySRFunction(X=>(alpha_infinity + log(-0.38335645*log10_f*log10_lambda/log10_sigma - 0.88156649242))*(-0.46567887*log10_f*log10_lambda/log10_sigma - 1.16027215407632) - 0.19917807)
