complexity,loss,equation,score,sympy_format,lambda_format
1,0.0024798089,-0.185708,0.0,-0.185708000000000,PySRFunction(X=>-0.185708000000000)
3,0.0021929736,log10_sigma * -0.039726082,0.06146153484834016,log10_sigma*(-0.039726082),PySRFunction(X=>log10_sigma*(-0.039726082))
5,0.002035242,(log10_sigma * -0.098092064) + 0.27426445,0.03732185015820678,0.27426445 + log10_sigma*(-0.098092064),PySRFunction(X=>0.27426445 + log10_sigma*(-0.098092064))
7,0.0019524355,((log10_sigma * 0.39239913) + -1.0879848) / log10_lambda,0.020768581564097707,(log10_sigma*0.39239913 - 1.0879848)/log10_lambda,PySRFunction(X=>(log10_sigma*0.39239913 - 1.0879848)/log10_lambda)
9,0.0019483216,(((log10_sigma - 2.0820227) / log10_lambda) / 2.594338) + 0.062472273,0.0010546418092156435,0.062472273 + (log10_sigma - 1*2.0820227)/(2.594338*log10_lambda),PySRFunction(X=>0.062472273 + (log10_sigma - 1*2.0820227)/(2.594338*log10_lambda))
10,0.0019055977,((log10_sigma - 2.2694697) / log10_lambda) / sqrt(alpha_infinity - log10_k0_prime),0.022172571347319904,(log10_sigma - 2.2694697)/(log10_lambda*sqrt(alpha_infinity - log10_k0_prime)),PySRFunction(X=>(log10_sigma - 2.2694697)/(log10_lambda*sqrt(alpha_infinity - log10_k0_prime)))
11,0.0018359807,((log10_sigma - 2.7579927) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 3.872157),0.037216932488759825,(log10_sigma - 1*2.7579927)/(log10_lambda*(((alpha_infinity - log10_k0_prime)/3.872157))),PySRFunction(X=>(log10_sigma - 1*2.7579927)/(log10_lambda*(((alpha_infinity - log10_k0_prime)/3.872157))))
13,0.001835062,((log10_sigma - 2.7477016) / log10_lambda) / (((alpha_infinity - log10_k0_prime) / log10_f) / 1.0544317),0.00025025587939330124,(log10_sigma - 1*2.7477016)/(log10_lambda*(((alpha_infinity - log10_k0_prime)/(1.0544317*log10_f)))),PySRFunction(X=>(log10_sigma - 1*2.7477016)/(log10_lambda*(((alpha_infinity - log10_k0_prime)/(1.0544317*log10_f)))))
14,0.0018349659,((((log10_sigma - log(log10_f)) / log10_lambda) / (alpha_infinity - log10_k0_prime)) / 2.1168544) * log10_sigma,5.237017409153735e-05,0.472399046434181*log10_sigma*(log10_sigma - log(log10_f))/(log10_lambda*(alpha_infinity - log10_k0_prime)),PySRFunction(X=>0.472399046434181*log10_sigma*(log10_sigma - log(log10_f))/(log10_lambda*(alpha_infinity - log10_k0_prime)))
15,0.0018349568,(((log10_sigma - 2.756165) / log10_lambda) * 1.0563252) / (((alpha_infinity - log10_k0_prime) / log10_f) / 1.0020344),4.959232520006344e-06,(log10_sigma - 1*2.756165)*1.0563252/(log10_lambda*((alpha_infinity - log10_k0_prime)/(1.0020344*log10_f))),PySRFunction(X=>(log10_sigma - 1*2.756165)*1.0563252/(log10_lambda*((alpha_infinity - log10_k0_prime)/(1.0020344*log10_f))))
