complexity,loss,equation,score,sympy_format,lambda_format
1,0.012230897,-0.12809792,0.0,-0.128097920000000,PySRFunction(X=>-0.128097920000000)
3,0.011010048,-0.19204947 / alpha_infinity,0.05257849042345039,-0.19204947/alpha_infinity,PySRFunction(X=>-0.19204947/alpha_infinity)
4,0.005386909,log(4.1210413 / log10_sigma),0.7148365593614205,log(4.1210413/log10_sigma),PySRFunction(X=>log(4.1210413/log10_sigma))
5,0.0028506701,(9.57042 / log10_sigma) + -2.1734817,0.6364176615861477,-2.1734817 + 9.57042/log10_sigma,PySRFunction(X=>-2.1734817 + 9.57042/log10_sigma)
6,0.002770668,log(log10_sigma - log10_f) / -1.8998152,0.028465643089886923,-0.526366985588914*log(-log10_f + log10_sigma),PySRFunction(X=>-0.526366985588914*log(-log10_f + log10_sigma))
8,0.0022585995,log(log10_sigma - log10_f) / (-0.42656314 - alpha_infinity),0.1021717577146599,log(-log10_f + log10_sigma)/(-alpha_infinity - 0.42656314),PySRFunction(X=>log(-log10_f + log10_sigma)/(-alpha_infinity - 0.42656314))
10,0.00161275,log(log(log10_sigma - sqrt(alpha_infinity - -1.2727321))) * -1.3825369,0.1684020672505604,-1.3825369*log(log(log10_sigma - sqrt(alpha_infinity + 1.2727321))),PySRFunction(X=>-1.3825369*log(log(log10_sigma - sqrt(alpha_infinity + 1.2727321))))
12,0.0015256702,(log(log(log10_sigma - sqrt(alpha_infinity - -1.2733028))) / 0.17884672) / log10_lambda,0.027753503751018514,5.59138014943746*log(log(log10_sigma - sqrt(alpha_infinity + 1.2733028)))/log10_lambda,PySRFunction(X=>5.59138014943746*log(log(log10_sigma - sqrt(alpha_infinity + 1.2733028)))/log10_lambda)
14,0.001507266,((alpha_infinity - -4.1581693) * log(log(log10_sigma - sqrt(alpha_infinity - -1.2732418)))) / log10_lambda,0.006068187619022019,(alpha_infinity + 4.1581693)*log(log(log10_sigma - sqrt(alpha_infinity + 1.2732418)))/log10_lambda,PySRFunction(X=>(alpha_infinity + 4.1581693)*log(log(log10_sigma - sqrt(alpha_infinity + 1.2732418)))/log10_lambda)
15,0.0014554596,(log(log(log10_sigma - sqrt(log((log10_f * alpha_infinity) * log10_f)))) / 0.17301618) / log10_lambda,0.03497568665642885,5.77980625858229*log(log(log10_sigma - sqrt(log(alpha_infinity*log10_f**2))))/log10_lambda,PySRFunction(X=>5.77980625858229*log(log(log10_sigma - sqrt(log(alpha_infinity*log10_f**2))))/log10_lambda)
17,0.0014022553,(log(log(log10_sigma - sqrt(log((alpha_infinity * log10_f) - 1.0511824) - -1.430949))) / 0.17548801) / log10_lambda,0.018619928997336645,5.69839500715747*log(log(log10_sigma - sqrt(log(alpha_infinity*log10_f - 1.0511824) + 1.430949)))/log10_lambda,PySRFunction(X=>5.69839500715747*log(log(log10_sigma - sqrt(log(alpha_infinity*log10_f - 1.0511824) + 1.430949)))/log10_lambda)
19,0.0013477912,(log(log(log10_sigma - sqrt((log10_f + -2.0797324) * (log(alpha_infinity) - -1.722844)))) / 0.13699403) / (log10_lambda * 1.3128352),0.01980738234449766,5.56017096779196*log(log(log10_sigma - sqrt((log10_f - 2.0797324)*(log(alpha_infinity) + 1.722844))))/log10_lambda,PySRFunction(X=>5.56017096779196*log(log(log10_sigma - sqrt((log10_f - 2.0797324)*(log(alpha_infinity) + 1.722844))))/log10_lambda)
