complexity,loss,equation,score,sympy_format,lambda_format
1,0.008107034,-0.14839078,0.0,-0.148390780000000,PySRFunction(X=>-0.148390780000000)
3,0.0071485513,log10_sigma * -0.032292653,0.06291117955562281,log10_sigma*(-0.032292653),PySRFunction(X=>log10_sigma*(-0.032292653))
4,0.003457173,1.3957957 - log(log10_sigma),0.7264585177144492,1.3957957 - log(log10_sigma),PySRFunction(X=>1.3957957 - log(log10_sigma))
5,0.0027518778,(log10_sigma * -0.3404603) - -1.4480922,0.22816768806214166,log10_sigma*(-0.3404603) - 1*(-1.4480922),PySRFunction(X=>log10_sigma*(-0.3404603) - 1*(-1.4480922))
6,0.002749405,2.2775476 - (log(log10_sigma) * 1.5710142),0.0008989903833120081,2.2775476 - 1.5710142*log(log10_sigma),PySRFunction(X=>2.2775476 - 1.5710142*log(log10_sigma))
8,0.0024613824,(12.714404 / sqrt(log10_sigma * log10_f)) - 3.2706745,0.055330690651901514,-3.2706745 + 12.714404/sqrt(log10_f*log10_sigma),PySRFunction(X=>-3.2706745 + 12.714404/sqrt(log10_f*log10_sigma))
11,0.0020984483,(((2.7062905 / (log10_sigma - 2.3567698)) - 1.1653075) / alpha_infinity) - 0.15243922,0.053174992161842106,-1*0.15243922 + (-1*1.1653075 + 2.7062905/(log10_sigma - 1*2.3567698))/alpha_infinity,PySRFunction(X=>-1*0.15243922 + (-1*1.1653075 + 2.7062905/(log10_sigma - 1*2.3567698))/alpha_infinity)
13,0.0020205253,(((2.601887 / (log10_sigma - 2.1254964)) - 1.0083497) / (alpha_infinity - 0.22806175)) - 0.16047582,0.018920319865873118,(-1*1.0083497 + 2.601887/(log10_sigma - 1*2.1254964))/(alpha_infinity - 1*0.22806175) - 1*0.16047582,PySRFunction(X=>(-1*1.0083497 + 2.601887/(log10_sigma - 1*2.1254964))/(alpha_infinity - 1*0.22806175) - 1*0.16047582)
14,0.00195564,(((2.785471 / (log10_sigma - 2.4874785)) - log(log10_f)) * (0.8224064 / alpha_infinity)) - 0.1575938,0.03264002151729178,-0.1575938 + 0.8224064*(-log(log10_f) + 2.785471/(log10_sigma - 2.4874785))/alpha_infinity,PySRFunction(X=>-0.1575938 + 0.8224064*(-log(log10_f) + 2.785471/(log10_sigma - 2.4874785))/alpha_infinity)
16,0.0018425733,(log((log10_sigma - alpha_infinity) * 0.4467903) * ((3.2246478 / (log10_sigma - 2.9976346)) - 1.9182689)) - 0.13640322,0.02977718920003056,(-1.9182689 + 3.2246478/(log10_sigma - 2.9976346))*log(-0.4467903*alpha_infinity + 0.4467903*log10_sigma) - 0.13640322,PySRFunction(X=>(-1.9182689 + 3.2246478/(log10_sigma - 2.9976346))*log(-0.4467903*alpha_infinity + 0.4467903*log10_sigma) - 0.13640322)
19,0.0016993855,(((2.7601206 / (log10_sigma - 2.3819277)) - 1.1930501) * (log(log10_sigma / (log10_lambda * -0.41810474)) - log(alpha_infinity))) - 0.14756936,0.026965470688668336,(-1.1930501 + 2.7601206/(log10_sigma - 2.3819277))*(-log(alpha_infinity) + log(-2.39174518805982*log10_sigma/log10_lambda)) - 0.14756936,PySRFunction(X=>(-1.1930501 + 2.7601206/(log10_sigma - 2.3819277))*(-log(alpha_infinity) + log(-2.39174518805982*log10_sigma/log10_lambda)) - 0.14756936)
