Complexity,Loss,Equation
1,0.0073013715,"-0.18791834"
3,0.004946024,"-0.28072497 / alpha_infinity"
5,0.0037508083,"(alpha_infinity / log10_sigma) + -0.51801676"
6,0.0037456362,"(1.2637302 - log(log10_sigma)) / alpha_infinity"
7,0.003030407,"((alpha_infinity + 2.6520894) / log10_sigma) - 1.0848202"
9,0.0026724527,"(((alpha_infinity + 1.375515) / log10_sigma) + -0.76045996) * alpha_infinity"
10,0.002671553,"(((alpha_infinity + 2.0357604) / log10_sigma) + -0.9249506) * sqrt(alpha_infinity)"
11,0.002470479,"((((log10_f + alpha_infinity) + -1.8835875) / log10_sigma) + -0.7604537) * alpha_infinity"
13,0.002341548,"alpha_infinity * (((((log10_f + alpha_infinity) + -1.3763844) / log10_sigma) + -0.88455206) / 1.1410551)"
14,0.0014217837,"((((log10_lambda * (log10_f / log10_sigma)) + 2.5031245) * log(alpha_infinity)) * -0.7054736) - 0.2829167"
16,0.0011393401,"(log((log10_lambda * (-6.3115234 / log10_sigma)) / log10_sigma) * ((log10_sigma / log10_lambda) + alpha_infinity)) - 0.25515133"
18,0.0010508719,"((alpha_infinity + (log10_sigma / log10_lambda)) * log((((log10_lambda * log10_f) * -1.9460688) / log10_sigma) / log10_sigma)) - 0.256697"
20,0.0010350294,"(((log10_sigma / log10_lambda) + alpha_infinity) * ((log(log10_sigma) + (((log10_f * 0.6250123) * log10_lambda) / log10_sigma)) * -0.6710698)) - 0.2532496"
22,0.0010305168,"((((log10_sigma / log10_lambda) + alpha_infinity) + -0.02396053) * ((((log10_f * 0.6255969) * (log10_lambda / log10_sigma)) + log(log10_sigma)) * -0.6836787)) - 0.25127628"
24,0.0009704453,"((((log10_f * (log10_lambda / log10_sigma)) + 2.4915714) * -0.46567887) * (log(((log10_f * (log10_lambda / log10_sigma)) + 2.2996) * -0.38335645) + alpha_infinity)) - 0.19917807"
