Complexity,Loss,Equation
1,0.00988217,"-0.31636584"
3,0.0060157324,"log10_f * -0.12688756"
4,0.003979908,"0.60694855 - log(log10_f)"
5,0.003635979,"0.5162258 - (log10_f * 0.32913446)"
6,0.0035839686,"log(log10_f + -0.74139285) * -0.5536436"
7,0.0011495774,"((log10_f * -1.6279796) / log10_sigma) + 0.56377625"
9,0.0010480555,"(log10_f * ((-1.9796573 / log10_sigma) - -0.09384442)) + 0.5165284"
10,0.0006773058,"((-9.369058 / log10_sigma) + 1.4372671) * log(log10_f + -0.76374084)"
11,0.0006477552,"log(log(log10_f) * log10_f) * (-1.7459658 - (log10_sigma * -0.2918217))"
13,0.00064502563,"(-1.7622875 - (log10_sigma * -0.29437888)) * log(log(log10_f) * (log10_f + -0.025832474))"
15,0.0004374238,"((-2.426557 - (log10_sigma * -0.44943702)) * log(log10_f * (log(log10_f) + -0.2429726))) - 0.14656734"
16,0.00040160853,"((-9.357269 / log10_sigma) + 1.641123) * (log(log10_f + (1.3072456 + (-9.38818 / log10_sigma))) / 0.6578164)"
24,0.00040154593,"((log(((-9.384963 / log10_sigma) + log10_f) + 1.2996662) + ((-0.414647 / log10_sigma) + 0.11418395)) * ((-9.329811 / (log10_sigma + -0.8306661)) + 1.8781769)) + 0.011914036"
