Complexity,Loss,Equation
1,0.0024798089,"-0.185708"
3,0.0021929736,"log10_sigma * -0.039726082"
5,0.002035242,"(log10_sigma * -0.098092064) + 0.27426445"
7,0.0019524355,"((log10_sigma * 0.39239913) + -1.0879848) / log10_lambda"
9,0.0019483216,"(((log10_sigma - 2.0820227) / log10_lambda) / 2.594338) + 0.062472273"
10,0.0019055977,"((log10_sigma - 2.2694697) / log10_lambda) / sqrt(alpha_infinity - log10_k0_prime)"
11,0.0018359807,"((log10_sigma - 2.7579927) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 3.872157)"
13,0.001835062,"((log10_sigma - 2.7477016) / log10_lambda) / (((alpha_infinity - log10_k0_prime) / log10_f) / 1.0544317)"
14,0.0018349659,"((((log10_sigma - log(log10_f)) / log10_lambda) / (alpha_infinity - log10_k0_prime)) / 2.1168544) * log10_sigma"
15,0.0018349568,"(((log10_sigma - 2.756165) / log10_lambda) * 1.0563252) / (((alpha_infinity - log10_k0_prime) / log10_f) / 1.0020344)"
16,0.0018310453,"((log10_sigma - log(1.052581 - (log10_k0_prime / 0.56057066))) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 3.899449)"
17,0.0018298397,"((log10_sigma - log((sqrt(log10_sigma) - log10_k0_prime) / 0.6283009)) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 3.9991279)"
18,0.0018285889,"((log10_sigma - log((0.7745536 / alpha_infinity) - (log10_k0_prime / 0.5409704))) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 3.893894)"
19,0.0018238703,"((log10_sigma - log(((log10_sigma - log(alpha_infinity)) - log10_k0_prime) / 0.67318434)) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 4.2596917)"
20,0.0018210397,"((log10_sigma - log(((log(log(alpha_infinity)) / log10_lambda) - log10_k0_prime) / 0.5425125)) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 3.8984747)"
22,0.0017834336,"((log10_sigma - log(((log(log(alpha_infinity)) / (3.623267 - log10_sigma)) - log10_k0_prime) / 0.55280226)) / log10_lambda) / (alpha_infinity - (log10_k0_prime / 8.960597))"
