Complexity,Loss,Equation
1,0.008107034,"-0.14839078"
3,0.0071485513,"log10_sigma * -0.032292653"
4,0.003457173,"1.3957957 - log(log10_sigma)"
5,0.0027518778,"(log10_sigma * -0.3404603) - -1.4480922"
6,0.002749405,"2.2775476 - (log(log10_sigma) * 1.5710142)"
8,0.0024613824,"(12.714404 / sqrt(log10_sigma * log10_f)) - 3.2706745"
11,0.0020984483,"(((2.7062905 / (log10_sigma - 2.3567698)) - 1.1653075) / alpha_infinity) - 0.15243922"
13,0.0020205253,"(((2.601887 / (log10_sigma - 2.1254964)) - 1.0083497) / (alpha_infinity - 0.22806175)) - 0.16047582"
14,0.00195564,"(((2.785471 / (log10_sigma - 2.4874785)) - log(log10_f)) * (0.8224064 / alpha_infinity)) - 0.1575938"
16,0.0018425733,"(log((log10_sigma - alpha_infinity) * 0.4467903) * ((3.2246478 / (log10_sigma - 2.9976346)) - 1.9182689)) - 0.13640322"
19,0.0016993855,"(((2.7601206 / (log10_sigma - 2.3819277)) - 1.1930501) * (log(log10_sigma / (log10_lambda * -0.41810474)) - log(alpha_infinity))) - 0.14756936"
