complexity,loss,equation,score,sympy_format,lambda_format
1,0.0073013715,-0.18791834,0.0,-0.187918340000000,PySRFunction(X=>-0.187918340000000)
3,0.004946024,-0.28072497 / alpha_infinity,0.19473909286330932,-0.28072497/alpha_infinity,PySRFunction(X=>-0.28072497/alpha_infinity)
5,0.0037508083,(alpha_infinity / log10_sigma) + -0.51801676,0.13830632903564763,alpha_infinity/log10_sigma - 0.51801676,PySRFunction(X=>alpha_infinity/log10_sigma - 0.51801676)
6,0.0037456362,(1.2637302 - log(log10_sigma)) / alpha_infinity,0.0013798810411177495,(1.2637302 - log(log10_sigma))/alpha_infinity,PySRFunction(X=>(1.2637302 - log(log10_sigma))/alpha_infinity)
7,0.003030407,((alpha_infinity + 2.6520894) / log10_sigma) - 1.0848202,0.21189454844798658,-1*1.0848202 + (alpha_infinity + 2.6520894)/log10_sigma,PySRFunction(X=>-1*1.0848202 + (alpha_infinity + 2.6520894)/log10_sigma)
8,0.0024866282,log((alpha_infinity - log10_lambda) / log10_sigma) + -0.3642876,0.1977692776740264,log((alpha_infinity - log10_lambda)/log10_sigma) - 0.3642876,PySRFunction(X=>log((alpha_infinity - log10_lambda)/log10_sigma) - 0.3642876)
9,0.0024385036,(alpha_infinity * ((3.036776 / log10_sigma) - 0.4886833)) + -0.4356441,0.019543083774721335,alpha_infinity*(-1*0.4886833 + 3.036776/log10_sigma) - 0.4356441,PySRFunction(X=>alpha_infinity*(-1*0.4886833 + 3.036776/log10_sigma) - 0.4356441)
10,0.002226798,((alpha_infinity + -0.62681) * log(5.500248 / log10_sigma)) + -0.3354309,0.09081989330728792,(alpha_infinity - 0.62681)*log(5.500248/log10_sigma) - 0.3354309,PySRFunction(X=>(alpha_infinity - 0.62681)*log(5.500248/log10_sigma) - 0.3354309)
12,0.0019848966,((alpha_infinity * (alpha_infinity + -1.0035176)) * log(5.0549893 / log10_sigma)) + -0.25926858,0.05749892853735722,alpha_infinity*(alpha_infinity - 1.0035176)*log(5.0549893/log10_sigma) - 0.25926858,PySRFunction(X=>alpha_infinity*(alpha_infinity - 1.0035176)*log(5.0549893/log10_sigma) - 0.25926858)
13,0.0016990816,-0.42374456 - ((alpha_infinity * 0.19821987) * ((log10_lambda * (log10_f / log10_sigma)) + 2.055929)),0.15547895231389805,-0.19821987*alpha_infinity*(log10_f*log10_lambda/log10_sigma + 2.055929) - 0.42374456,PySRFunction(X=>-0.19821987*alpha_infinity*(log10_f*log10_lambda/log10_sigma + 2.055929) - 0.42374456)
14,0.0014217837,((((log10_lambda * (log10_f / log10_sigma)) + 2.5031245) * log(alpha_infinity)) * -0.7054736) - 0.2829167,0.17817565968183496,-0.7054736*(log10_f*log10_lambda/log10_sigma + 2.5031245)*log(alpha_infinity) - 0.2829167,PySRFunction(X=>-0.7054736*(log10_f*log10_lambda/log10_sigma + 2.5031245)*log(alpha_infinity) - 0.2829167)
16,0.00113934,(log(((log10_lambda * -6.3114676) / log10_sigma) / log10_sigma) * ((log10_sigma / log10_lambda) + alpha_infinity)) - 0.2551493,0.11073153136165505,(alpha_infinity + log10_sigma/log10_lambda)*log(-6.3114676*log10_lambda/log10_sigma**2) - 0.2551493,PySRFunction(X=>(alpha_infinity + log10_sigma/log10_lambda)*log(-6.3114676*log10_lambda/log10_sigma**2) - 0.2551493)
18,0.0009305963,log10_f + (((alpha_infinity + (log10_sigma / log10_lambda)) * log((log10_lambda * (-6.311452 / log10_sigma)) / log10_sigma)) - 3.5142224),0.1011894314461221,log10_f + (alpha_infinity + log10_sigma/log10_lambda)*log(-6.311452*log10_lambda/log10_sigma**2) - 3.5142224,PySRFunction(X=>log10_f + (alpha_infinity + log10_sigma/log10_lambda)*log(-6.311452*log10_lambda/log10_sigma**2) - 3.5142224)
20,0.00090707204,(log10_f + (((log10_sigma / (log10_lambda * 0.9545944)) + alpha_infinity) * log(((log10_lambda / log10_sigma) * -6.3360066) / log10_sigma))) - 3.5073988,0.012801844915382157,log10_f + (alpha_infinity + 1.04756533245952*log10_sigma/log10_lambda)*log(-6.3360066*log10_lambda/log10_sigma**2) - 3.5073988,PySRFunction(X=>log10_f + (alpha_infinity + 1.04756533245952*log10_sigma/log10_lambda)*log(-6.3360066*log10_lambda/log10_sigma**2) - 3.5073988)
21,0.00087239005,(((log10_sigma / log10_lambda) + sqrt(alpha_infinity)) * ((log(log10_sigma) + ((log10_f - 1.2164284) * (log10_lambda / log10_sigma))) * -1.6271375)) - 0.23472273,0.03898524469860021,(sqrt(alpha_infinity) + log10_sigma/log10_lambda)*(-1.6271375*log10_lambda*(log10_f - 1.2164284)/log10_sigma - 1.6271375*log(log10_sigma)) - 0.23472273,PySRFunction(X=>(sqrt(alpha_infinity) + log10_sigma/log10_lambda)*(-1.6271375*log10_lambda*(log10_f - 1.2164284)/log10_sigma - 1.6271375*log(log10_sigma)) - 0.23472273)
23,0.000819164,(((sqrt(alpha_infinity) + (log10_sigma / log10_lambda)) * log10_lambda_prime) * (((log10_lambda * (log10_f - 2.3787313)) / log10_sigma) + (log(log10_sigma) / 2.3240132))) - 0.23466523,0.03147616046832593,log10_lambda_prime*(sqrt(alpha_infinity) + log10_sigma/log10_lambda)*(log10_lambda*(log10_f - 2.3787313)/log10_sigma + 0.430290154978466*log(log10_sigma)) - 0.23466523,PySRFunction(X=>log10_lambda_prime*(sqrt(alpha_infinity) + log10_sigma/log10_lambda)*(log10_lambda*(log10_f - 2.3787313)/log10_sigma + 0.430290154978466*log(log10_sigma)) - 0.23466523)
