complexity,loss,equation,score,sympy_format,lambda_format
1,0.008107034,-0.14839078,0.0,-0.148390780000000,PySRFunction(X=>-0.148390780000000)
3,0.0071485513,log10_sigma * -0.032292653,0.06291117955562281,log10_sigma*(-0.032292653),PySRFunction(X=>log10_sigma*(-0.032292653))
4,0.003457173,1.3957957 - log(log10_sigma),0.7264585177144492,1.3957957 - log(log10_sigma),PySRFunction(X=>1.3957957 - log(log10_sigma))
5,0.0027518778,(log10_sigma * -0.3404603) - -1.4480922,0.22816768806214166,log10_sigma*(-0.3404603) - 1*(-1.4480922),PySRFunction(X=>log10_sigma*(-0.3404603) - 1*(-1.4480922))
6,0.002749405,2.2775476 - (log(log10_sigma) * 1.5710142),0.0008989903833120081,2.2775476 - 1.5710142*log(log10_sigma),PySRFunction(X=>2.2775476 - 1.5710142*log(log10_sigma))
7,0.002731187,((log10_sigma * -0.09584955) - -0.40752167) * log10_f,0.0066482113979533545,log10_f*(log10_sigma*(-0.09584955) - 1*(-0.40752167)),PySRFunction(X=>log10_f*(log10_sigma*(-0.09584955) - 1*(-0.40752167)))
8,0.0024613824,(12.714404 / sqrt(log10_sigma * log10_f)) - 3.2706745,0.10401316990584966,-3.2706745 + 12.714404/sqrt(log10_f*log10_sigma),PySRFunction(X=>-3.2706745 + 12.714404/sqrt(log10_f*log10_sigma))
9,0.002063109,(((11.208309 / log10_sigma) - 2.3767843) / alpha_infinity) - 0.16082826,0.17650907495876547,-1*0.16082826 + (-1*2.3767843 + 11.208309/log10_sigma)/alpha_infinity,PySRFunction(X=>-1*0.16082826 + (-1*2.3767843 + 11.208309/log10_sigma)/alpha_infinity)
11,0.0020624476,((11.165193 / log10_sigma) - (2.370983 - (alpha_infinity * -0.15849769))) / alpha_infinity,0.0001603177631029003,(-(2.370983 - (-0.15849769)*alpha_infinity) + 11.165193/log10_sigma)/alpha_infinity,PySRFunction(X=>(-(2.370983 - (-0.15849769)*alpha_infinity) + 11.165193/log10_sigma)/alpha_infinity)
12,0.0019209823,(((3.2643166 / (log10_sigma - 2.1098537)) - log(log10_f)) / alpha_infinity) - 0.15503679,0.07105676305044976,-0.15503679 + (-log(log10_f) + 3.2643166/(log10_sigma - 2.1098537))/alpha_infinity,PySRFunction(X=>-0.15503679 + (-log(log10_f) + 3.2643166/(log10_sigma - 2.1098537))/alpha_infinity)
14,0.0018506001,((((11.309486 / log10_sigma) - -0.14345801) - (log(log10_f) * 2.0114317)) / alpha_infinity) + -0.15940137,0.018663352461791863,-0.15940137 + (-2.0114317*log(log10_f) + 0.14345801 + 11.309486/log10_sigma)/alpha_infinity,PySRFunction(X=>-0.15940137 + (-2.0114317*log(log10_f) + 0.14345801 + 11.309486/log10_sigma)/alpha_infinity)
15,0.0018090638,((((12.929591 / log10_sigma) - 1.4865668) - log(log10_f)) / (alpha_infinity * sqrt(alpha_infinity))) - 0.15488209,0.02270049097414216,-0.15488209 + (-log(log10_f) - 1.4865668 + 12.929591/log10_sigma)/alpha_infinity**(3/2),PySRFunction(X=>-0.15488209 + (-log(log10_f) - 1.4865668 + 12.929591/log10_sigma)/alpha_infinity**(3/2))
18,0.0016403111,(((1.9337455 / (log10_sigma - 2.9084146)) - 1.0842543) * (((log10_sigma / log10_lambda) * -0.8112866) - log(alpha_infinity))) - 0.15154393,0.032641184975654734,(-1.0842543 + 1.9337455/(log10_sigma - 2.9084146))*(-log(alpha_infinity) - 0.8112866*log10_sigma/log10_lambda) - 0.15154393,PySRFunction(X=>(-1.0842543 + 1.9337455/(log10_sigma - 2.9084146))*(-log(alpha_infinity) - 0.8112866*log10_sigma/log10_lambda) - 0.15154393)
20,0.0015590113,(((2.7601206 / (log10_sigma - 2.3819277)) - 1.1930501) * log((log10_sigma / ((log10_lambda * -0.41810474) + -0.41810474)) - alpha_infinity)) - 0.14756936,0.025417040341396892,(-1.1930501 + 2.7601206/(log10_sigma - 2.3819277))*log(-alpha_infinity + log10_sigma/(-0.41810474*log10_lambda - 0.41810474)) - 0.14756936,PySRFunction(X=>(-1.1930501 + 2.7601206/(log10_sigma - 2.3819277))*log(-alpha_infinity + log10_sigma/(-0.41810474*log10_lambda - 0.41810474)) - 0.14756936)
21,0.0013300302,(((1.2042943 / (log10_sigma - 3.4701078)) - 0.9861883) * log(((log10_sigma / (log10_lambda * -0.37972823)) - log(alpha_infinity)) + -1.0434848)) - 0.14583057,0.15885018954263502,(-0.9861883 + 1.2042943/(log10_sigma - 3.4701078))*log(-log(alpha_infinity) - 1.0434848 - 2.63346235806593*log10_sigma/log10_lambda) - 0.14583057,PySRFunction(X=>(-0.9861883 + 1.2042943/(log10_sigma - 3.4701078))*log(-log(alpha_infinity) - 1.0434848 - 2.63346235806593*log10_sigma/log10_lambda) - 0.14583057)
23,0.0013236813,(log((-1.0401769 - log(alpha_infinity / 0.84711915)) + (log10_sigma / (log10_lambda * -0.35754633))) * ((1.1897463 / (log10_sigma - 3.455935)) - 0.9700523)) - 0.14146614,0.002392465086525765,(-0.9700523 + 1.1897463/(log10_sigma - 3.455935))*log(-log(1.18047148385206*alpha_infinity) - 1.0401769 - 2.79684034234109*log10_sigma/log10_lambda) - 0.14146614,PySRFunction(X=>(-0.9700523 + 1.1897463/(log10_sigma - 3.455935))*log(-log(1.18047148385206*alpha_infinity) - 1.0401769 - 2.79684034234109*log10_sigma/log10_lambda) - 0.14146614)
