Complexity,Loss,Equation
1,0.0054547605,"-0.25393125"
3,0.003955329,"-0.37154055 / alpha_infinity"
4,0.0039529074,"-0.31240234 / sqrt(alpha_infinity)"
5,0.0035580774,"(log10_f + -3.539299) / alpha_infinity"
6,0.0035450466,"log(log(sqrt(log10_f + alpha_infinity)))"
7,0.0031320744,"(4.197593 / (log10_lambda - alpha_infinity)) + 0.49883658"
8,0.003130081,"log(log(sqrt(alpha_infinity + (-0.8571778 - log10_lambda))))"
9,0.0025904847,"((24.280704 / (log10_lambda - alpha_infinity)) + log10_f) / log10_sigma"
11,0.0025053266,"(((20.52342 / (log10_lambda - alpha_infinity)) + -0.6764412) + log10_f) / log10_sigma"
12,0.0024355236,"log10_f + ((9.17802 / ((log10_lambda - alpha_infinity) * sqrt(log10_sigma))) + -2.6610296)"
14,0.002373155,"((9.178138 / (sqrt(log10_sigma) * (log10_lambda - alpha_infinity))) + -1.8009192) + (log10_f * 0.728483)"
16,0.0022572814,"log10_f + ((15.777437 / (log10_lambda - sqrt((log10_sigma / 0.26102665) - (log10_k0_prime * alpha_infinity)))) + -1.7787604)"
18,0.0022223627,"((9.444652 / (log10_lambda - sqrt(((log10_sigma - log10_f) * 3.8301468) - (alpha_infinity * log10_k0_prime)))) + log10_f) + -2.2926323"
20,0.0020737725,"((11.193648 / (log10_lambda - sqrt(((log10_sigma / alpha_infinity) * (log10_sigma - log10_f)) - (log10_k0_prime * alpha_infinity)))) + log10_f) + -2.0653894"
22,0.0019475465,"(log10_f + ((15.92122 / (log10_lambda - sqrt((log10_sigma * ((log10_sigma - log10_f) / alpha_infinity)) - (alpha_infinity * log10_k0_prime)))) + -1.5434686)) * 0.83978367"
24,0.0019122835,"((log10_f + -1.5420876) + (15.911497 / (log10_lambda - sqrt(((log10_sigma * (log10_sigma - (log10_f * 1.1169217))) / alpha_infinity) - (log10_k0_prime * alpha_infinity))))) * 0.7598017"
