Complexity,Loss,Equation
1,0.0073540537,"-0.32484606"
3,0.0055051856,"-1.5314677 / log10_sigma"
4,0.0030978324,"sqrt(log10_sigma) + -2.4897134"
5,0.0026658364,"(log10_sigma + -5.683411) / log10_f"
7,0.0019415164,"(log10_sigma + -5.728076) / (alpha_infinity + 1.693666)"
9,0.0017205827,"(log10_sigma + -5.747498) / (alpha_infinity + (log10_lambda / -2.3171632))"
10,0.0016520859,"(log10_sigma + -5.6767583) / ((log10_lambda / -1.5360519) + log(alpha_infinity))"
11,0.0015596524,"(log10_sigma + -5.698933) / (log10_lambda / (log(sqrt(alpha_infinity)) + -1.5106599))"
12,0.0015562081,"(log10_sigma + -5.6615486) / (log(alpha_infinity) + ((log10_lambda * -1.136966) - 2.0120103))"
13,0.0014536219,"(log10_sigma + -6.0271626) / ((log10_sigma + (alpha_infinity + (log10_lambda / -0.54456645))) + -9.470331)"
14,0.0013941188,"(-5.665616 + log10_sigma) / ((log10_lambda * (1.9625137 - log10_f)) + (log(alpha_infinity) - 1.9476583))"
15,0.0012990008,"1.7822436 - (((log10_lambda / ((log10_sigma + (log10_sigma + log10_lambda)) - alpha_infinity)) - -10.968051) / log10_sigma)"
17,0.001156809,"2.098508 - (((log10_lambda / (((log10_sigma + -0.57423276) + (log10_lambda - alpha_infinity)) + log10_sigma)) - -12.662938) / log10_sigma)"
19,0.001028778,"(log10_f + -0.9942271) - (((log10_lambda / ((log10_sigma + -0.5620177) + ((log10_sigma + log10_lambda) - alpha_infinity))) - -12.503576) / log10_sigma)"
20,0.0007426299,"2.0945866 - (((log10_lambda / (log10_sigma + (alpha_infinity * (log10_sigma + ((log10_f - sqrt(log10_f)) * log10_lambda))))) - -12.47544) / log10_sigma)"
22,0.00069669343,"2.176065 - ((((log10_lambda_prime - 0.3641802) / (log10_sigma + (alpha_infinity * (log10_sigma + ((log10_f - sqrt(log10_f)) * log10_lambda))))) - -12.867705) / log10_sigma)"
23,0.00056019233,"1.8184044 - (((log10_lambda / ((log10_sigma - -2.0163481) + ((((log10_f - 1.794509) * (log10_lambda - 0.8317369)) + log10_sigma) * alpha_infinity))) - -11.005611) / log10_sigma)"
