Complexity,Loss,Equation
1,0.012230897,"-0.12809792"
3,0.011010048,"-0.19204947 / alpha_infinity"
4,0.0053869085,"log(4.1210084 / log10_sigma)"
5,0.0028506701,"(9.57042 / log10_sigma) + -2.1734817"
6,0.002770668,"log(log10_sigma - log10_f) / -1.8998152"
8,0.0022585995,"log(log10_sigma - log10_f) / (-0.42656314 - alpha_infinity)"
9,0.0016432507,"(9.531177 / log10_sigma) - ((0.24065852 / alpha_infinity) - -2.0023813)"
10,0.00161275,"log(log(log10_sigma - sqrt(alpha_infinity - -1.2727321))) * -1.3825369"
12,0.0014953157,"log(log(log10_sigma - sqrt((alpha_infinity + -2.1177664) + log10_f))) * -1.3861078"
14,0.0014035602,"(log(log(log10_sigma - sqrt((log10_f + alpha_infinity) + -2.1170616))) / 0.17837125) / log10_lambda"
16,0.0013973182,"(log(log(log10_sigma - sqrt((log10_f + alpha_infinity) + -2.1179602))) / 0.20338374) / (log10_lambda + 0.49399117)"
18,0.0013940247,"(log(log(log10_sigma - sqrt((alpha_infinity + -2.137289) + log10_f))) / 0.036696646) / ((log10_lambda * log10_sigma) - 0.4383463)"
19,0.0013417056,"(log(log(log10_sigma - sqrt((log(alpha_infinity) - -1.7120831) * (log10_f + -2.062222)))) / 0.10354369) / (log10_lambda * 1.7086349)"
24,0.0013392636,"(log(log(log10_sigma - sqrt((log(alpha_infinity) * log(log10_sigma)) - ((log10_f + -2.304208) * -2.0097053)))) / 0.09788504) / (log10_lambda * (log10_sigma * 0.37589005))"
