Complexity,Loss,Equation
1,0.008107034,"-0.14839078"
3,0.0071485513,"log10_sigma * -0.032292653"
4,0.003457173,"1.3957957 - log(log10_sigma)"
5,0.0027518778,"(log10_sigma * -0.3404603) - -1.4480922"
6,0.002749405,"2.2775476 - (log(log10_sigma) * 1.5710142)"
7,0.002731187,"((log10_sigma * -0.09584955) - -0.40752167) * log10_f"
8,0.0024613824,"(12.714404 / sqrt(log10_sigma * log10_f)) - 3.2706745"
9,0.002063109,"(((11.208309 / log10_sigma) - 2.3767843) / alpha_infinity) - 0.16082826"
11,0.0020624476,"((11.165193 / log10_sigma) - (2.370983 - (alpha_infinity * -0.15849769))) / alpha_infinity"
12,0.0019209823,"(((3.2643166 / (log10_sigma - 2.1098537)) - log(log10_f)) / alpha_infinity) - 0.15503679"
14,0.0018506001,"((((11.309486 / log10_sigma) - -0.14345801) - (log(log10_f) * 2.0114317)) / alpha_infinity) + -0.15940137"
15,0.0018090638,"((((12.929591 / log10_sigma) - 1.4865668) - log(log10_f)) / (alpha_infinity * sqrt(alpha_infinity))) - 0.15488209"
18,0.0016403111,"(((1.9337455 / (log10_sigma - 2.9084146)) - 1.0842543) * (((log10_sigma / log10_lambda) * -0.8112866) - log(alpha_infinity))) - 0.15154393"
20,0.0015590113,"(((2.7601206 / (log10_sigma - 2.3819277)) - 1.1930501) * log((log10_sigma / ((log10_lambda * -0.41810474) + -0.41810474)) - alpha_infinity)) - 0.14756936"
21,0.0013300302,"(((1.2042943 / (log10_sigma - 3.4701078)) - 0.9861883) * log(((log10_sigma / (log10_lambda * -0.37972823)) - log(alpha_infinity)) + -1.0434848)) - 0.14583057"
23,0.0013236813,"(log((-1.0401769 - log(alpha_infinity / 0.84711915)) + (log10_sigma / (log10_lambda * -0.35754633))) * ((1.1897463 / (log10_sigma - 3.455935)) - 0.9700523)) - 0.14146614"
