complexity,loss,equation,score,sympy_format,lambda_format
1,0.00988217,-0.3163689,0.0,-0.316368900000000,PySRFunction(X=>-0.316368900000000)
3,0.0060157324,log10_f * -0.12688756,0.24817700949784977,log10_f*(-0.12688756),PySRFunction(X=>log10_f*(-0.12688756))
4,0.0039799074,log(1.834833 / log10_f),0.41311955158121133,log(1.834833/log10_f),PySRFunction(X=>log(1.834833/log10_f))
5,0.003635979,(log10_f * -0.329134) + 0.51622456,0.09038015197302668,0.51622456 + log10_f*(-0.329134),PySRFunction(X=>0.51622456 + log10_f*(-0.329134))
6,0.0016342831,log(log10_sigma / log10_f) + -0.9372373,0.7996741634762865,log(log10_sigma/log10_f) - 0.9372373,PySRFunction(X=>log(log10_sigma/log10_f) - 0.9372373)
7,0.0013214446,log(log(log10_sigma / log10_f)) / 1.5812557,0.21247870511952383,0.632408787522473*log(log(log10_sigma/log10_f)),PySRFunction(X=>0.632408787522473*log(log(log10_sigma/log10_f)))
8,0.0008530242,log(log10_f + -0.7756652) / (2.9224389 - log10_sigma),0.43769289356086744,log(log10_f - 0.7756652)/(2.9224389 - log10_sigma),PySRFunction(X=>log(log10_f - 0.7756652)/(2.9224389 - log10_sigma))
10,0.0008530201,log(log10_f + -0.7758946) / (2.9311085 - (log10_sigma + 0.008197441)),2.403220127422505e-06,log(log10_f - 0.7758946)/(2.922911059 - log10_sigma),PySRFunction(X=>log(log10_f - 0.7758946)/(2.922911059 - log10_sigma))
12,0.00078946794,((log10_f / log10_k0_prime) * -0.41915274) + (log(log10_f) / (log10_f - log10_sigma)),0.03871194310738197,-0.41915274*log10_f/log10_k0_prime + log(log10_f)/(log10_f - log10_sigma),PySRFunction(X=>-0.41915274*log10_f/log10_k0_prime + log(log10_f)/(log10_f - log10_sigma))
14,0.00076332176,(log10_f * ((3.5074346 / log10_k0_prime) / log10_k0_prime)) + (log(log10_f) / (log10_f - log10_sigma)),0.01683978934912554,3.5074346*log10_f/log10_k0_prime**2 + log(log10_f)/(log10_f - log10_sigma),PySRFunction(X=>3.5074346*log10_f/log10_k0_prime**2 + log(log10_f)/(log10_f - log10_sigma))
15,0.00070160936,((log10_f - (3.9236586 / log10_f)) / ((log10_sigma * (log10_sigma / -1.939727)) + 6.184577)) + -0.12118868,0.0843028642891959,(log10_f - 3.9236586/log10_f)/(log10_sigma*log10_sigma/(-1.939727) + 6.184577) - 0.12118868,PySRFunction(X=>(log10_f - 3.9236586/log10_f)/(log10_sigma*log10_sigma/(-1.939727) + 6.184577) - 0.12118868)
16,0.00068709877,(log10_f + (-2.87483 / log10_f)) / ((log10_sigma * (log10_sigma / -3.0527399)) + sqrt(-0.93864393 - log10_k0_prime)),0.020898730001002324,(log10_f - 2.87483/log10_f)/(-0.327574583081906*log10_sigma**2 + sqrt(-log10_k0_prime - 0.93864393)),PySRFunction(X=>(log10_f - 2.87483/log10_f)/(-0.327574583081906*log10_sigma**2 + sqrt(-log10_k0_prime - 0.93864393)))
18,0.0006786574,((-2.865389 / log10_f) + log10_f) / (sqrt(-2.129957 - log10_k0_prime) + (log10_sigma * ((log10_sigma - 0.121292196) / -3.0681324))),0.006180808608935977,(log10_f - 2.865389/log10_f)/(log10_sigma*(0.0395329080322609 - 0.325931175590727*log10_sigma) + sqrt(-log10_k0_prime - 2.129957)),PySRFunction(X=>(log10_f - 2.865389/log10_f)/(log10_sigma*(0.0395329080322609 - 0.325931175590727*log10_sigma) + sqrt(-log10_k0_prime - 2.129957)))
19,0.00059961167,((log10_f - (3.8244867 / log10_f)) / ((log10_sigma * (log10_sigma / -2.0670977)) + 5.5920734)) + ((-2.3148272 / log10_k0_prime) - 0.38542268),0.12383420567075698,(log10_f - 3.8244867/log10_f)/(log10_sigma*log10_sigma/(-2.0670977) + 5.5920734) - 1*0.38542268 - 2.3148272/log10_k0_prime,PySRFunction(X=>(log10_f - 3.8244867/log10_f)/(log10_sigma*log10_sigma/(-2.0670977) + 5.5920734) - 1*0.38542268 - 2.3148272/log10_k0_prime)
20,0.0005622551,(((log10_f - (4.0411396 / log10_f)) / (((log10_sigma * log10_sigma) / -2.1990387) + 5.3134937)) + -0.30204853) - (sqrt(log10_f) / log10_k0_prime),0.06432656751798374,-sqrt(log10_f)/log10_k0_prime - 0.30204853 + (log10_f - 4.0411396/log10_f)/(5.3134937 - 0.454744157071906*log10_sigma**2),PySRFunction(X=>-sqrt(log10_f)/log10_k0_prime - 0.30204853 + (log10_f - 4.0411396/log10_f)/(5.3134937 - 0.454744157071906*log10_sigma**2))
23,0.00054315734,((log10_f - (4.115873 / log10_f)) / (((log10_sigma * log10_sigma) / -2.2317998) + 5.298917)) + (-0.32902253 - (sqrt(sqrt(log10_f)) / (log10_k0_prime + log10_f))),0.011518874315204132,-log10_f**(1/4)/(log10_f + log10_k0_prime) - 0.32902253 + (log10_f - 4.115873/log10_f)/(5.298917 - 0.448068863524408*log10_sigma**2),PySRFunction(X=>-log10_f**(1/4)/(log10_f + log10_k0_prime) - 0.32902253 + (log10_f - 4.115873/log10_f)/(5.298917 - 0.448068863524408*log10_sigma**2))
