complexity,loss,equation,score,sympy_format,lambda_format
1,0.0073540537,-0.3248341,0.0,-0.324834100000000,PySRFunction(X=>-0.324834100000000)
3,0.0055051856,-1.5314676 / log10_sigma,0.1447806002949376,-1.5314676/log10_sigma,PySRFunction(X=>-1.5314676/log10_sigma)
4,0.0030978324,sqrt(log10_sigma) + -2.4897134,0.5749878432987645,sqrt(log10_sigma) - 2.4897134,PySRFunction(X=>sqrt(log10_sigma) - 2.4897134)
5,0.0027852212,(-6.679245 / log10_sigma) + 1.1026504,0.10637534539334437,1.1026504 - 6.679245/log10_sigma,PySRFunction(X=>1.1026504 - 6.679245/log10_sigma)
6,0.0025019364,(-6.751833 / log10_sigma) + log(log10_f),0.10726230366156062,log(log10_f) - 6.751833/log10_sigma,PySRFunction(X=>log(log10_f) - 6.751833/log10_sigma)
7,0.0024336607,(-20.66734 / (log10_f * log10_sigma)) - -1.1190356,0.02766840737347466,-1*(-1.1190356) - 20.66734*1/(log10_f*log10_sigma),PySRFunction(X=>-1*(-1.1190356) - 20.66734*1/(log10_f*log10_sigma))
9,0.0016606738,(-25.014696 / ((log10_sigma * log10_f) + alpha_infinity)) + 1.2528175,0.19108658052878413,1.2528175 - 25.014696/(alpha_infinity + log10_f*log10_sigma),PySRFunction(X=>1.2528175 - 25.014696/(alpha_infinity + log10_f*log10_sigma))
10,0.0016290065,log((-18.85365 / ((log10_f * log10_sigma) + alpha_infinity)) + 1.9165791),0.019253103836351978,log(1.9165791 - 18.85365/(alpha_infinity + log10_f*log10_sigma)),PySRFunction(X=>log(1.9165791 - 18.85365/(alpha_infinity + log10_f*log10_sigma)))
11,0.0015878371,((-9.085857 / (log10_f * log10_sigma)) - -0.52956796) * (log10_sigma - alpha_infinity),0.02559754409088588,(-1*(-0.52956796) - 9.085857*1/(log10_f*log10_sigma))*(-alpha_infinity + log10_sigma),PySRFunction(X=>(-1*(-0.52956796) - 9.085857*1/(log10_f*log10_sigma))*(-alpha_infinity + log10_sigma))
12,0.0015877151,(((-25.628511 / (log10_sigma * log10_f)) - -1.4876174) / sqrt(alpha_infinity)) + -0.07727743,7.68370301455335e-05,-0.07727743 + (1.4876174 - 25.628511/(log10_f*log10_sigma))/sqrt(alpha_infinity),PySRFunction(X=>-0.07727743 + (1.4876174 - 25.628511/(log10_f*log10_sigma))/sqrt(alpha_infinity))
13,0.0012328217,(-25.014696 / ((log10_sigma * log10_f) + ((-3.0522892 - log10_lambda) * alpha_infinity))) + 1.2528175,0.2529903315937279,1.2528175 - 25.014696/(alpha_infinity*(-log10_lambda - 3.0522892) + log10_f*log10_sigma),PySRFunction(X=>1.2528175 - 25.014696/(alpha_infinity*(-log10_lambda - 3.0522892) + log10_f*log10_sigma))
15,0.0010033281,(log10_sigma - ((-3.1874144 - log10_lambda) * alpha_infinity)) * ((-8.190148 / (log10_f * log10_sigma)) - -0.47464055),0.10299151647149193,(-1*(-0.47464055) - 8.190148*1/(log10_f*log10_sigma))*(-alpha_infinity*(-log10_lambda - 3.1874144) + log10_sigma),PySRFunction(X=>(-1*(-0.47464055) - 8.190148*1/(log10_f*log10_sigma))*(-alpha_infinity*(-log10_lambda - 3.1874144) + log10_sigma))
17,0.0009694297,(log10_sigma - ((-3.1798258 - log10_lambda) * alpha_infinity)) * (((-8.123726 / (log10_f * log10_sigma)) - -0.47403765) * 1.0618267),0.01718494633233562,(-alpha_infinity*(-log10_lambda - 3.1798258) + log10_sigma)*(-1*(-0.47403765) - 8.123726*1/(log10_f*log10_sigma))*1.0618267,PySRFunction(X=>(-alpha_infinity*(-log10_lambda - 3.1798258) + log10_sigma)*(-1*(-0.47403765) - 8.123726*1/(log10_f*log10_sigma))*1.0618267)
19,0.0009674829,(((-8.119024 / (log10_f * log10_sigma)) - -0.47329143) * (log10_sigma - ((-3.1702461 - log10_lambda) * (alpha_infinity + -0.038661137)))) * 1.0520866,0.00100510506027784,(-1*(-0.47329143) - 8.119024*1/(log10_f*log10_sigma))*(log10_sigma - (alpha_infinity - 0.038661137)*(-log10_lambda - 3.1702461))*1.0520866,PySRFunction(X=>(-1*(-0.47329143) - 8.119024*1/(log10_f*log10_sigma))*(log10_sigma - (alpha_infinity - 0.038661137)*(-log10_lambda - 3.1702461))*1.0520866)
20,0.00078665203,(log10_f * (log(log10_sigma - (alpha_infinity * (-2.9149194 - log10_lambda))) * ((-8.111543 / (log10_sigma * log10_f)) - -0.5005142))) + -0.117819905,0.2069117470828877,log10_f*(0.5005142 - 8.111543/(log10_f*log10_sigma))*log(-alpha_infinity*(-log10_lambda - 2.9149194) + log10_sigma) - 0.117819905,PySRFunction(X=>log10_f*(0.5005142 - 8.111543/(log10_f*log10_sigma))*log(-alpha_infinity*(-log10_lambda - 2.9149194) + log10_sigma) - 0.117819905)
