complexity,loss,equation,score,sympy_format,lambda_format
1,0.012230897,-0.12809382,0.0,-0.128093820000000,PySRFunction(X=>-0.128093820000000)
3,0.011010048,-0.19203842 / alpha_infinity,0.05257849042345039,-0.19203842/alpha_infinity,PySRFunction(X=>-0.19203842/alpha_infinity)
4,0.0053869085,1.4160938 - log(log10_sigma),0.7148366521790314,1.4160938 - log(log10_sigma),PySRFunction(X=>1.4160938 - log(log10_sigma))
5,0.0028506701,(9.57042 / log10_sigma) - 2.1734817,0.6364175687685368,-1*2.1734817 + 9.57042/log10_sigma,PySRFunction(X=>-1*2.1734817 + 9.57042/log10_sigma)
6,0.002770668,log(log10_sigma - log10_f) * -0.5263758,0.028465643089886923,-0.5263758*log(-log10_f + log10_sigma),PySRFunction(X=>-0.5263758*log(-log10_f + log10_sigma))
8,0.0023930282,(log(log10_sigma - log10_f) * -0.7634316) / alpha_infinity,0.07326442656638558,-0.7634316*log(-log10_f + log10_sigma)/alpha_infinity,PySRFunction(X=>-0.7634316*log(-log10_f + log10_sigma)/alpha_infinity)
9,0.0017372594,(log10_sigma * -0.44733673) - ((alpha_infinity * -0.10979264) + -1.799994),0.3202507791797401,log10_sigma*(-0.44733673) - (alpha_infinity*(-0.10979264) - 1.799994),PySRFunction(X=>log10_sigma*(-0.44733673) - (alpha_infinity*(-0.10979264) - 1.799994))
10,0.0017098042,(log10_sigma * -0.44718033) - ((log(alpha_infinity) * -0.16589868) + -1.9002318),0.015929953013511557,-0.44718033*log10_sigma + 0.16589868*log(alpha_infinity) + 1.9002318,PySRFunction(X=>-0.44718033*log10_sigma + 0.16589868*log(alpha_infinity) + 1.9002318)
11,0.0015831442,log((log10_sigma - log10_f) * log(log10_sigma - alpha_infinity)) * -0.3634441,0.07696599142280422,-0.3634441*log((-log10_f + log10_sigma)*log(-alpha_infinity + log10_sigma)),PySRFunction(X=>-0.3634441*log((-log10_f + log10_sigma)*log(-alpha_infinity + log10_sigma)))
12,0.0015085284,(log((log10_sigma - log10_f) * (log10_sigma - alpha_infinity)) * -0.37809145) + 0.39435765,0.04827826352307865,0.39435765 - 0.37809145*log((-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma)),PySRFunction(X=>0.39435765 - 0.37809145*log((-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma)))
13,0.0014652066,log((log10_sigma - log10_f) * log(log10_sigma - alpha_infinity)) / (log10_lambda + 1.2894263),0.029138349671867257,log((-log10_f + log10_sigma)*log(-alpha_infinity + log10_sigma))/(log10_lambda + 1.2894263),PySRFunction(X=>log((-log10_f + log10_sigma)*log(-alpha_infinity + log10_sigma))/(log10_lambda + 1.2894263))
14,0.0013987545,log(((log10_sigma - log10_f) * (log10_sigma - alpha_infinity)) * 0.35105127) / (log10_lambda + 1.4167283),0.0464140586198816,log(0.35105127*(-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma))/(log10_lambda + 1.4167283),PySRFunction(X=>log(0.35105127*(-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma))/(log10_lambda + 1.4167283))
15,0.0013801445,log((log10_sigma + (-0.040089957 - log10_f)) * log(log10_sigma - alpha_infinity)) / (log10_lambda + 1.4263517),0.013393993964683623,log((-log10_f + log10_sigma - 0.040089957)*log(-alpha_infinity + log10_sigma))/(log10_lambda + 1.4263517),PySRFunction(X=>log((-log10_f + log10_sigma - 0.040089957)*log(-alpha_infinity + log10_sigma))/(log10_lambda + 1.4263517))
18,0.0013752353,log((log10_sigma - (log10_f * 1.0116296)) * log(log10_sigma - alpha_infinity)) / ((log10_lambda / 1.053524) + log(log10_f)),0.0011877866938853209,log((-1.0116296*log10_f + log10_sigma)*log(-alpha_infinity + log10_sigma))/(0.949195272248188*log10_lambda + log(log10_f)),PySRFunction(X=>log((-1.0116296*log10_f + log10_sigma)*log(-alpha_infinity + log10_sigma))/(0.949195272248188*log10_lambda + log(log10_f)))
19,0.0013653765,log(((log10_sigma - log10_f) * (log10_sigma - alpha_infinity)) * 0.35271284) / ((log10_lambda + log10_f) - (sqrt(log10_sigma) * 0.9093821)),0.007194628970407861,log(0.35271284*(-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma))/(log10_f + log10_lambda - 0.9093821*sqrt(log10_sigma)),PySRFunction(X=>log(0.35271284*(-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma))/(log10_f + log10_lambda - 0.9093821*sqrt(log10_sigma)))
20,0.0013563867,log(log((log10_sigma - alpha_infinity) * 0.9695584) * (log10_sigma - log10_f)) / (sqrt(log10_f - (log10_sigma - log10_f)) + log10_lambda),0.006605888926127315,log((-log10_f + log10_sigma)*log(-0.9695584*alpha_infinity + 0.9695584*log10_sigma))/(log10_lambda + sqrt(2*log10_f - log10_sigma)),PySRFunction(X=>log((-log10_f + log10_sigma)*log(-0.9695584*alpha_infinity + 0.9695584*log10_sigma))/(log10_lambda + sqrt(2*log10_f - log10_sigma)))
21,0.0013391111,(log(((log10_sigma - alpha_infinity) * (log10_sigma - log10_f)) * 0.35298443) / ((log10_f + log10_lambda) - sqrt(log10_sigma - alpha_infinity))) * 0.9368326,0.012818290219667862,0.9368326*log(0.35298443*(-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma))/(log10_f + log10_lambda - sqrt(-alpha_infinity + log10_sigma)),PySRFunction(X=>0.9368326*log(0.35298443*(-alpha_infinity + log10_sigma)*(-log10_f + log10_sigma))/(log10_f + log10_lambda - sqrt(-alpha_infinity + log10_sigma)))
