complexity,loss,equation,score,sympy_format,lambda_format
1,0.008107034,-0.14839078,0.0,-0.148390780000000,PySRFunction(X=>-0.148390780000000)
3,0.0071485513,log10_sigma * -0.032292653,0.06291117955562281,log10_sigma*(-0.032292653),PySRFunction(X=>log10_sigma*(-0.032292653))
5,0.0027518778,(log10_sigma * -0.3404603) + 1.4480922,0.4773131028882955,1.4480922 + log10_sigma*(-0.3404603),PySRFunction(X=>1.4480922 + log10_sigma*(-0.3404603))
6,0.002749405,(log(log10_sigma) * -1.5710001) + 2.277526,0.0008989903833120081,2.277526 - 1.5710001*log(log10_sigma),PySRFunction(X=>2.277526 - 1.5710001*log(log10_sigma))
7,0.0024504082,(25.699362 / (log10_sigma * log10_f)) + -1.699079,0.11512990170887295,-1.699079 + 25.699362/((log10_f*log10_sigma)),PySRFunction(X=>-1.699079 + 25.699362/((log10_f*log10_sigma)))
10,0.0020614476,(((log(log10_sigma) * -2.3998213) + 3.7227952) / alpha_infinity) - 0.15969098,0.05761538948872047,-0.15969098 + (3.7227952 - 2.3998213*log(log10_sigma))/alpha_infinity,PySRFunction(X=>-0.15969098 + (3.7227952 - 2.3998213*log(log10_sigma))/alpha_infinity)
11,0.0020608513,(((sqrt(log(log10_sigma)) * -5.9309697) + 7.3860846) / alpha_infinity) - 0.15953329,0.0002893045936863505,-0.15953329 + (7.3860846 - 5.9309697*sqrt(log(log10_sigma)))/alpha_infinity,PySRFunction(X=>-0.15953329 + (7.3860846 - 5.9309697*sqrt(log(log10_sigma)))/alpha_infinity)
12,0.0019626964,(log(log10_sigma * 0.21266536) * (0.8464965 - (log10_f / alpha_infinity))) + -0.15536954,0.04879990776317203,(0.8464965 - log10_f/alpha_infinity)*log(0.21266536*log10_sigma) - 0.15536954,PySRFunction(X=>(0.8464965 - log10_f/alpha_infinity)*log(0.21266536*log10_sigma) - 0.15536954)
14,0.0017960779,((alpha_infinity + -3.0855405) * log(log10_sigma * 0.21144317)) + ((log10_f * -0.48066008) - -1.5395646),0.04435694949802436,-0.48066008*log10_f + (alpha_infinity - 3.0855405)*log(0.21144317*log10_sigma) + 1.5395646,PySRFunction(X=>-0.48066008*log10_f + (alpha_infinity - 3.0855405)*log(0.21144317*log10_sigma) + 1.5395646)
16,0.001701407,(log10_f * -0.48119795) + ((log(log10_sigma * 0.21175647) * (0.757948 - (log10_f / alpha_infinity))) - -1.5449835),0.02707489364707877,-0.48119795*log10_f + (0.757948 - log10_f/alpha_infinity)*log(0.21175647*log10_sigma) + 1.5449835,PySRFunction(X=>-0.48119795*log10_f + (0.757948 - log10_f/alpha_infinity)*log(0.21175647*log10_sigma) + 1.5449835)
17,0.0016623415,((log(alpha_infinity) - (log10_f - alpha_infinity)) * log(log10_sigma * 0.21262963)) + ((log10_f * -0.49607614) - -1.6029875),0.023228405153010487,-0.49607614*log10_f + (alpha_infinity - log10_f + log(alpha_infinity))*log(0.21262963*log10_sigma) + 1.6029875,PySRFunction(X=>-0.49607614*log10_f + (alpha_infinity - log10_f + log(alpha_infinity))*log(0.21262963*log10_sigma) + 1.6029875)
18,0.0016363933,(((log10_f * -0.30074966) - -0.99726236) * alpha_infinity) + ((0.80792594 - (log10_f / alpha_infinity)) * log(log10_sigma * 0.21951412)),0.015732537945752845,alpha_infinity*(0.99726236 - 0.30074966*log10_f) + (0.80792594 - log10_f/alpha_infinity)*log(0.21951412*log10_sigma),PySRFunction(X=>alpha_infinity*(0.99726236 - 0.30074966*log10_f) + (0.80792594 - log10_f/alpha_infinity)*log(0.21951412*log10_sigma))
19,0.0016209568,((log(log10_sigma * 0.21294554) * ((alpha_infinity - 1.3521259) + (-2.1491103 / sqrt(alpha_infinity)))) + (log10_f * -0.530791)) - -1.7280334,0.009478020528766049,-0.530791*log10_f + (alpha_infinity - 1.3521259 - 2.1491103/sqrt(alpha_infinity))*log(0.21294554*log10_sigma) + 1.7280334,PySRFunction(X=>-0.530791*log10_f + (alpha_infinity - 1.3521259 - 2.1491103/sqrt(alpha_infinity))*log(0.21294554*log10_sigma) + 1.7280334)
20,0.00158489,(alpha_infinity * ((log10_f * -0.2974095) - -0.9853721)) + (log(log10_sigma * 0.21941783) * ((alpha_infinity / 1.8585976) - (log10_f / alpha_infinity))),0.022501587892505743,alpha_infinity*(0.9853721 - 0.2974095*log10_f) + (0.538040079251151*alpha_infinity - log10_f/alpha_infinity)*log(0.21941783*log10_sigma),PySRFunction(X=>alpha_infinity*(0.9853721 - 0.2974095*log10_f) + (0.538040079251151*alpha_infinity - log10_f/alpha_infinity)*log(0.21941783*log10_sigma))
22,0.0015823031,(((log10_f * -0.30074966) - -0.99726236) * alpha_infinity) + (((alpha_infinity / 1.8592193) - (log10_f / alpha_infinity)) * (log(log10_sigma * 0.21951412) * 0.98250896)),0.0008167801878786746,alpha_infinity*(0.99726236 - 0.30074966*log10_f) + 0.98250896*(0.537860165285505*alpha_infinity - log10_f/alpha_infinity)*log(0.21951412*log10_sigma),PySRFunction(X=>alpha_infinity*(0.99726236 - 0.30074966*log10_f) + 0.98250896*(0.537860165285505*alpha_infinity - log10_f/alpha_infinity)*log(0.21951412*log10_sigma))
23,0.0015759299,(((log(log10_sigma * 0.21915232) * ((log10_f / log10_sigma) + (log(alpha_infinity) - (log10_f / alpha_infinity)))) + (log10_f * -0.28477502)) - -0.94286525) * alpha_infinity,0.004035933163231544,alpha_infinity*(-0.28477502*log10_f + (log10_f/log10_sigma + log(alpha_infinity) - log10_f/alpha_infinity)*log(0.21915232*log10_sigma) + 0.94286525),PySRFunction(X=>alpha_infinity*(-0.28477502*log10_f + (log10_f/log10_sigma + log(alpha_infinity) - log10_f/alpha_infinity)*log(0.21915232*log10_sigma) + 0.94286525))
