Complexity,Loss,Equation
1,0.00988217,"-0.3163689"
3,0.0060157324,"log10_f * -0.12688756"
4,0.0039799074,"log(1.834833 / log10_f)"
5,0.003635979,"(log10_f * -0.329134) + 0.51622456"
6,0.0016342831,"log(log10_sigma / log10_f) + -0.9372373"
7,0.0013214446,"log(log(log10_sigma / log10_f)) / 1.5812557"
8,0.0008530242,"log(log10_f + -0.7756652) / (2.9224389 - log10_sigma)"
10,0.0008530201,"log(log10_f + -0.7758946) / (2.9311085 - (log10_sigma + 0.008197441))"
12,0.00078946794,"((log10_f / log10_k0_prime) * -0.41915274) + (log(log10_f) / (log10_f - log10_sigma))"
14,0.00076332176,"(log10_f * ((3.5074346 / log10_k0_prime) / log10_k0_prime)) + (log(log10_f) / (log10_f - log10_sigma))"
15,0.00070160936,"((log10_f - (3.9236586 / log10_f)) / ((log10_sigma * (log10_sigma / -1.939727)) + 6.184577)) + -0.12118868"
16,0.00068709877,"(log10_f + (-2.87483 / log10_f)) / ((log10_sigma * (log10_sigma / -3.0527399)) + sqrt(-0.93864393 - log10_k0_prime))"
18,0.0006786574,"((-2.865389 / log10_f) + log10_f) / (sqrt(-2.129957 - log10_k0_prime) + (log10_sigma * ((log10_sigma - 0.121292196) / -3.0681324)))"
19,0.00059961167,"((log10_f - (3.8244867 / log10_f)) / ((log10_sigma * (log10_sigma / -2.0670977)) + 5.5920734)) + ((-2.3148272 / log10_k0_prime) - 0.38542268)"
20,0.0005622551,"(((log10_f - (4.0411396 / log10_f)) / (((log10_sigma * log10_sigma) / -2.1990387) + 5.3134937)) + -0.30204853) - (sqrt(log10_f) / log10_k0_prime)"
23,0.00054315734,"((log10_f - (4.115873 / log10_f)) / (((log10_sigma * log10_sigma) / -2.2317998) + 5.298917)) + (-0.32902253 - (sqrt(sqrt(log10_f)) / (log10_k0_prime + log10_f)))"
