Complexity,Loss,Equation
1,0.0073540537,"-0.3248341"
3,0.0055051856,"-1.5314676 / log10_sigma"
4,0.0030978324,"sqrt(log10_sigma) + -2.4897134"
5,0.0027852212,"(-6.679245 / log10_sigma) + 1.1026504"
6,0.0025019364,"(-6.751833 / log10_sigma) + log(log10_f)"
7,0.0024336607,"(-20.66734 / (log10_f * log10_sigma)) - -1.1190356"
9,0.0016606738,"(-25.014696 / ((log10_sigma * log10_f) + alpha_infinity)) + 1.2528175"
10,0.0016290065,"log((-18.85365 / ((log10_f * log10_sigma) + alpha_infinity)) + 1.9165791)"
11,0.0015878371,"((-9.085857 / (log10_f * log10_sigma)) - -0.52956796) * (log10_sigma - alpha_infinity)"
12,0.0015877151,"(((-25.628511 / (log10_sigma * log10_f)) - -1.4876174) / sqrt(alpha_infinity)) + -0.07727743"
13,0.0012328217,"(-25.014696 / ((log10_sigma * log10_f) + ((-3.0522892 - log10_lambda) * alpha_infinity))) + 1.2528175"
15,0.0010033281,"(log10_sigma - ((-3.1874144 - log10_lambda) * alpha_infinity)) * ((-8.190148 / (log10_f * log10_sigma)) - -0.47464055)"
17,0.0009694297,"(log10_sigma - ((-3.1798258 - log10_lambda) * alpha_infinity)) * (((-8.123726 / (log10_f * log10_sigma)) - -0.47403765) * 1.0618267)"
19,0.0009674829,"(((-8.119024 / (log10_f * log10_sigma)) - -0.47329143) * (log10_sigma - ((-3.1702461 - log10_lambda) * (alpha_infinity + -0.038661137)))) * 1.0520866"
20,0.00078665203,"(log10_f * (log(log10_sigma - (alpha_infinity * (-2.9149194 - log10_lambda))) * ((-8.111543 / (log10_sigma * log10_f)) - -0.5005142))) + -0.117819905"
