Complexity,Loss,Equation
1,0.012230897,"-0.12809382"
3,0.011010048,"-0.19203842 / alpha_infinity"
4,0.0053869085,"1.4160938 - log(log10_sigma)"
5,0.0028506701,"(9.57042 / log10_sigma) - 2.1734817"
6,0.002770668,"log(log10_sigma - log10_f) * -0.5263758"
8,0.0023930282,"(log(log10_sigma - log10_f) * -0.7634316) / alpha_infinity"
9,0.0017372594,"(log10_sigma * -0.44733673) - ((alpha_infinity * -0.10979264) + -1.799994)"
10,0.0017098042,"(log10_sigma * -0.44718033) - ((log(alpha_infinity) * -0.16589868) + -1.9002318)"
11,0.0015831442,"log((log10_sigma - log10_f) * log(log10_sigma - alpha_infinity)) * -0.3634441"
12,0.0015085284,"(log((log10_sigma - log10_f) * (log10_sigma - alpha_infinity)) * -0.37809145) + 0.39435765"
13,0.0014652066,"log((log10_sigma - log10_f) * log(log10_sigma - alpha_infinity)) / (log10_lambda + 1.2894263)"
14,0.0013987545,"log(((log10_sigma - log10_f) * (log10_sigma - alpha_infinity)) * 0.35105127) / (log10_lambda + 1.4167283)"
15,0.0013801445,"log((log10_sigma + (-0.040089957 - log10_f)) * log(log10_sigma - alpha_infinity)) / (log10_lambda + 1.4263517)"
18,0.0013752353,"log((log10_sigma - (log10_f * 1.0116296)) * log(log10_sigma - alpha_infinity)) / ((log10_lambda / 1.053524) + log(log10_f))"
19,0.0013653765,"log(((log10_sigma - log10_f) * (log10_sigma - alpha_infinity)) * 0.35271284) / ((log10_lambda + log10_f) - (sqrt(log10_sigma) * 0.9093821))"
20,0.0013563867,"log(log((log10_sigma - alpha_infinity) * 0.9695584) * (log10_sigma - log10_f)) / (sqrt(log10_f - (log10_sigma - log10_f)) + log10_lambda)"
21,0.0013391111,"(log(((log10_sigma - alpha_infinity) * (log10_sigma - log10_f)) * 0.35298443) / ((log10_f + log10_lambda) - sqrt(log10_sigma - alpha_infinity))) * 0.9368326"
