Complexity,Loss,Equation
1,0.008107034,"-0.14839078"
3,0.0071485513,"log10_sigma * -0.032292653"
5,0.0027518778,"(log10_sigma * -0.3404603) + 1.4480922"
6,0.002749405,"(log(log10_sigma) * -1.5710001) + 2.277526"
7,0.0024504082,"(25.699362 / (log10_sigma * log10_f)) + -1.699079"
10,0.0020614476,"(((log(log10_sigma) * -2.3998213) + 3.7227952) / alpha_infinity) - 0.15969098"
11,0.0020608513,"(((sqrt(log(log10_sigma)) * -5.9309697) + 7.3860846) / alpha_infinity) - 0.15953329"
12,0.0019626964,"(log(log10_sigma * 0.21266536) * (0.8464965 - (log10_f / alpha_infinity))) + -0.15536954"
14,0.0017960779,"((alpha_infinity + -3.0855405) * log(log10_sigma * 0.21144317)) + ((log10_f * -0.48066008) - -1.5395646)"
16,0.001701407,"(log10_f * -0.48119795) + ((log(log10_sigma * 0.21175647) * (0.757948 - (log10_f / alpha_infinity))) - -1.5449835)"
17,0.0016623415,"((log(alpha_infinity) - (log10_f - alpha_infinity)) * log(log10_sigma * 0.21262963)) + ((log10_f * -0.49607614) - -1.6029875)"
18,0.0016363933,"(((log10_f * -0.30074966) - -0.99726236) * alpha_infinity) + ((0.80792594 - (log10_f / alpha_infinity)) * log(log10_sigma * 0.21951412))"
19,0.0016209568,"((log(log10_sigma * 0.21294554) * ((alpha_infinity - 1.3521259) + (-2.1491103 / sqrt(alpha_infinity)))) + (log10_f * -0.530791)) - -1.7280334"
20,0.00158489,"(alpha_infinity * ((log10_f * -0.2974095) - -0.9853721)) + (log(log10_sigma * 0.21941783) * ((alpha_infinity / 1.8585976) - (log10_f / alpha_infinity)))"
22,0.0015823031,"(((log10_f * -0.30074966) - -0.99726236) * alpha_infinity) + (((alpha_infinity / 1.8592193) - (log10_f / alpha_infinity)) * (log(log10_sigma * 0.21951412) * 0.98250896))"
23,0.0015759299,"(((log(log10_sigma * 0.21915232) * ((log10_f / log10_sigma) + (log(alpha_infinity) - (log10_f / alpha_infinity)))) + (log10_f * -0.28477502)) - -0.94286525) * alpha_infinity"
