complexity,loss,equation,score,sympy_format,lambda_format
1,0.0073013715,-0.18791834,0.0,-0.187918340000000,PySRFunction(X=>-0.187918340000000)
3,0.004946024,-0.28072497 / alpha_infinity,0.19473909286330932,-0.28072497/alpha_infinity,PySRFunction(X=>-0.28072497/alpha_infinity)
5,0.0044057793,(log10_sigma * -0.06021358) / alpha_infinity,0.057833432576581446,log10_sigma*(-0.06021358)/alpha_infinity,PySRFunction(X=>log10_sigma*(-0.06021358)/alpha_infinity)
7,0.003016986,(log10_sigma + (-2.0529528 - alpha_infinity)) * -0.17210875,0.18932941827267272,(-alpha_infinity + log10_sigma - 2.0529528)*(-0.17210875),PySRFunction(X=>(-alpha_infinity + log10_sigma - 2.0529528)*(-0.17210875))
9,0.002419848,(((log10_sigma + 2.048282) + log10_lambda) - alpha_infinity) * -0.16507383,0.11027679575815678,(-alpha_infinity + log10_lambda + log10_sigma + 2.048282)*(-0.16507383),PySRFunction(X=>(-alpha_infinity + log10_lambda + log10_sigma + 2.048282)*(-0.16507383))
10,0.002379609,(sqrt(log10_sigma) + (log10_lambda + (log10_sigma - alpha_infinity))) * -0.15037753,0.01676853980589273,0.15037753*alpha_infinity - 0.15037753*log10_lambda - 0.15037753*sqrt(log10_sigma) - 0.15037753*log10_sigma,PySRFunction(X=>0.15037753*alpha_infinity - 0.15037753*log10_lambda - 0.15037753*sqrt(log10_sigma) - 0.15037753*log10_sigma)
11,0.0019055114,((-0.12528774 * (log10_sigma + (log10_lambda - 1.8543596))) * alpha_infinity) - 0.42449543,0.22218576447712893,-0.12528774*alpha_infinity*(log10_lambda + log10_sigma - 1*1.8543596) - 1*0.42449543,PySRFunction(X=>-0.12528774*alpha_infinity*(log10_lambda + log10_sigma - 1*1.8543596) - 1*0.42449543)
12,0.0015874066,(((log10_sigma + (log10_lambda - 1.1389838)) * -0.45084777) * log(alpha_infinity)) - 0.2832037,0.1826488085873778,(-0.45084777*log10_lambda - 0.45084777*log10_sigma + 0.513508306296126)*log(alpha_infinity) - 0.2832037,PySRFunction(X=>(-0.45084777*log10_lambda - 0.45084777*log10_sigma + 0.513508306296126)*log(alpha_infinity) - 0.2832037)
13,0.0015544303,((log(alpha_infinity) * ((log10_sigma + log10_lambda) - log(log10_f))) * -0.43646586) - 0.28782168,0.02099250346512705,-0.43646586*(log10_lambda + log10_sigma - log(log10_f))*log(alpha_infinity) - 0.28782168,PySRFunction(X=>-0.43646586*(log10_lambda + log10_sigma - log(log10_f))*log(alpha_infinity) - 0.28782168)
14,0.0013072114,(((log10_sigma + (log10_lambda - 1.1419364)) * -0.45787823) * (local_t3 + log(alpha_infinity))) - 0.28421947,0.1732129459272807,(local_t3 + log(alpha_infinity))*(-0.45787823*log10_lambda - 0.45787823*log10_sigma + 0.522867817604572) - 0.28421947,PySRFunction(X=>(local_t3 + log(alpha_infinity))*(-0.45787823*log10_lambda - 0.45787823*log10_sigma + 0.522867817604572) - 0.28421947)
15,0.00129908,((local_t3 + log(alpha_infinity)) * (((log10_lambda + log10_sigma) - log(log10_f)) * -0.44210216)) - 0.288169,0.006239844388416218,(local_t3 + log(alpha_infinity))*(-0.44210216*log10_lambda - 0.44210216*log10_sigma + 0.44210216*log(log10_f)) - 0.288169,PySRFunction(X=>(local_t3 + log(alpha_infinity))*(-0.44210216*log10_lambda - 0.44210216*log10_sigma + 0.44210216*log(log10_f)) - 0.288169)
16,0.0011914673,((((log10_lambda + log10_sigma) - 1.3104599) * ((log10_sigma + log10_lambda) - log(alpha_infinity))) * 0.3331484) - 0.16358042,0.08647074884515323,0.3331484*(log10_lambda + log10_sigma - 1.3104599)*(log10_lambda + log10_sigma - log(alpha_infinity)) - 0.16358042,PySRFunction(X=>0.3331484*(log10_lambda + log10_sigma - 1.3104599)*(log10_lambda + log10_sigma - log(alpha_infinity)) - 0.16358042)
18,0.00092579145,(((log10_sigma + (log10_lambda - (local_t3 + log(alpha_infinity)))) * 0.3512068) * ((log10_lambda + log10_sigma) - 1.2845589)) - 0.16332275,0.12614592923292223,(log10_lambda + log10_sigma - 1.2845589)*(-0.3512068*local_t3 + 0.3512068*log10_lambda + 0.3512068*log10_sigma - 0.3512068*log(alpha_infinity)) - 0.16332275,PySRFunction(X=>(log10_lambda + log10_sigma - 1.2845589)*(-0.3512068*local_t3 + 0.3512068*log10_lambda + 0.3512068*log10_sigma - 0.3512068*log(alpha_infinity)) - 0.16332275)
20,0.00087645464,(((log10_sigma + (log10_lambda - ((1.6892772 * local_t3) + log(alpha_infinity)))) * 0.3512068) * ((log10_lambda + log10_sigma) - 1.2845589)) - 0.16332275,0.027382020779949404,(log10_lambda + log10_sigma - 1.2845589)*(-0.59328563972496*local_t3 + 0.3512068*log10_lambda + 0.3512068*log10_sigma - 0.3512068*log(alpha_infinity)) - 0.16332275,PySRFunction(X=>(log10_lambda + log10_sigma - 1.2845589)*(-0.59328563972496*local_t3 + 0.3512068*log10_lambda + 0.3512068*log10_sigma - 0.3512068*log(alpha_infinity)) - 0.16332275)
21,0.00079089776,(((log10_lambda + (log10_sigma - ((local_t3 + log(alpha_infinity)) * sqrt(log10_f)))) * ((log10_lambda - 1.109233) + log10_sigma)) * 0.27069694) - 0.22262281,0.10271624643373271,0.27069694*(log10_lambda + log10_sigma - 1.109233)*(-sqrt(log10_f)*(local_t3 + log(alpha_infinity)) + log10_lambda + log10_sigma) - 0.22262281,PySRFunction(X=>0.27069694*(log10_lambda + log10_sigma - 1.109233)*(-sqrt(log10_f)*(local_t3 + log(alpha_infinity)) + log10_lambda + log10_sigma) - 0.22262281)
