complexity,loss,equation,score,sympy_format,lambda_format
1,0.00988217,-0.3163689,0.0,-0.316368900000000,PySRFunction(X=>-0.316368900000000)
3,0.005121718,-0.32222575 - local_t3,0.32862109681388985,-local_t3 - 0.32222575,PySRFunction(X=>-local_t3 - 0.32222575)
4,0.003614516,1.2722528 - sqrt(log10_f),0.3485319695797137,1.2722528 - sqrt(log10_f),PySRFunction(X=>1.2722528 - sqrt(log10_f))
5,0.0034025384,-0.7098729 / (log10_sigma - log10_f),0.06043621876438991,-0.7098729/(-log10_f + log10_sigma),PySRFunction(X=>-0.7098729/(-log10_f + log10_sigma))
7,0.0011495772,((log10_f * -1.6279771) / log10_sigma) - -0.5637749,0.5425637593492173,log10_f*(-1.6279771)/log10_sigma - 1*(-0.5637749),PySRFunction(X=>log10_f*(-1.6279771)/log10_sigma - 1*(-0.5637749))
9,0.00094901375,(log10_f / ((log10_sigma - log10_f) / -0.3442494)) - -0.10045512,0.09586310707103331,log10_f/(((-log10_f + log10_sigma)/(-0.3442494))) - 1*(-0.10045512),PySRFunction(X=>log10_f/(((-log10_f + log10_sigma)/(-0.3442494))) - 1*(-0.10045512))
10,0.0007966242,((log(log10_f) * -1.2555288) + 0.67863095) / (log10_sigma - 3.1350896),0.17504023804335545,(0.67863095 - 1.2555288*log(log10_f))/(log10_sigma - 3.1350896),PySRFunction(X=>(0.67863095 - 1.2555288*log(log10_f))/(log10_sigma - 3.1350896))
11,0.00070515735,log10_f / ((0.6601325 - ((log10_sigma + local_t2) - log10_f)) / 0.18650693),0.12196207999921534,log10_f/(((0.6601325 - (local_t2 - log10_f + log10_sigma))/0.18650693)),PySRFunction(X=>log10_f/(((0.6601325 - (local_t2 - log10_f + log10_sigma))/0.18650693)))
13,0.0005680969,(log10_f / ((0.4359161 - (log10_sigma - log10_f)) / 0.21979582)) - (local_t2 / log10_lambda_prime),0.10806448331784976,-local_t2/log10_lambda_prime + log10_f/(((0.4359161 - (-log10_f + log10_sigma))/0.21979582)),PySRFunction(X=>-local_t2/log10_lambda_prime + log10_f/(((0.4359161 - (-log10_f + log10_sigma))/0.21979582)))
15,0.00056267873,(log10_f / ((0.4359161 - (log10_sigma - log10_f)) / 0.21979582)) - (local_t2 / (local_t + log10_lambda_prime)),0.00479158846549387,-local_t2/(local_t + log10_lambda_prime) + log10_f/(((0.4359161 - (-log10_f + log10_sigma))/0.21979582)),PySRFunction(X=>-local_t2/(local_t + log10_lambda_prime) + log10_f/(((0.4359161 - (-log10_f + log10_sigma))/0.21979582)))
16,0.0005549683,(log10_f / (sqrt(log10_sigma) - ((log10_sigma - log10_f) / 0.21729852))) - (local_t2 * (log10_f / log10_k0_prime)),0.01379783083335534,-local_t2*log10_f/log10_k0_prime + log10_f/(4.60196415511712*log10_f + sqrt(log10_sigma) - 4.60196415511712*log10_sigma),PySRFunction(X=>-local_t2*log10_f/log10_k0_prime + log10_f/(4.60196415511712*log10_f + sqrt(log10_sigma) - 4.60196415511712*log10_sigma))
18,0.0005106142,(log10_f / (sqrt(log10_k0_prime / -1.5775663) - ((log10_sigma - log10_f) / 0.21318832))) - ((log10_f * local_t2) / log10_k0_prime),0.04164834007913849,-local_t2*log10_f/log10_k0_prime + log10_f/(4.69068849550482*log10_f - 4.69068849550482*log10_sigma + 0.796170697893326*sqrt(-log10_k0_prime)),PySRFunction(X=>-local_t2*log10_f/log10_k0_prime + log10_f/(4.69068849550482*log10_f - 4.69068849550482*log10_sigma + 0.796170697893326*sqrt(-log10_k0_prime)))
20,0.00050315174,(((0.02995726 - (local_t2 * 0.028798446)) * log10_k0_prime) + (log10_f / (sqrt(log10_sigma) * ((log10_sigma - log10_f) / -0.6645863)))) + 0.2875821,0.007361260126588252,log10_f/(sqrt(log10_sigma)*(1.50469547747223*log10_f - 1.50469547747223*log10_sigma)) + log10_k0_prime*(0.02995726 - 0.028798446*local_t2) + 0.2875821,PySRFunction(X=>log10_f/(sqrt(log10_sigma)*(1.50469547747223*log10_f - 1.50469547747223*log10_sigma)) + log10_k0_prime*(0.02995726 - 0.028798446*local_t2) + 0.2875821)
21,0.0004583989,((log10_f / ((log10_f - log10_sigma) * ((log10_sigma - log10_f) / 0.3902378))) + ((0.03463121 - (local_t2 * 0.037870444)) * log10_k0_prime)) + 0.17899214,0.09315202883992847,log10_f/(((-log10_f + log10_sigma)*(log10_f - log10_sigma)/0.3902378)) + log10_k0_prime*(0.03463121 - 0.037870444*local_t2) + 0.17899214,PySRFunction(X=>log10_f/(((-log10_f + log10_sigma)*(log10_f - log10_sigma)/0.3902378)) + log10_k0_prime*(0.03463121 - 0.037870444*local_t2) + 0.17899214)
23,0.00045684492,(((0.031398084 - (local_t2 * 0.037184976)) * log10_k0_prime) + ((log10_f / (((log10_sigma - log10_f) / -0.38743982) * (log10_sigma - log10_f))) + 0.16460446)) - 0.013977769,0.0016978879936967426,log10_f/(((-log10_f + log10_sigma)*(-log10_f + log10_sigma)/(-0.38743982))) + log10_k0_prime*(0.031398084 - 0.037184976*local_t2) - 1*0.013977769 + 0.16460446,PySRFunction(X=>log10_f/(((-log10_f + log10_sigma)*(-log10_f + log10_sigma)/(-0.38743982))) + log10_k0_prime*(0.031398084 - 0.037184976*local_t2) - 1*0.013977769 + 0.16460446)
