complexity,loss,equation,score,sympy_format,lambda_format
1,0.0073540537,-0.3248497,0.0,-0.324849700000000,PySRFunction(X=>-0.324849700000000)
3,0.0055051856,-1.5314676 / log10_sigma,0.1447806002949376,-1.5314676/log10_sigma,PySRFunction(X=>-1.5314676/log10_sigma)
4,0.0030978324,sqrt(log10_sigma) + -2.4897184,0.5749878432987645,sqrt(log10_sigma) - 2.4897184,PySRFunction(X=>sqrt(log10_sigma) - 2.4897184)
5,0.002606958,(6.005877 - log10_sigma) / log10_lambda,0.17251861676248767,(6.005877 - log10_sigma)/log10_lambda,PySRFunction(X=>(6.005877 - log10_sigma)/log10_lambda)
6,0.0025019366,log(log10_f) + (-6.751817 / log10_sigma),0.04111895235433736,log(log10_f) - 6.751817/log10_sigma,PySRFunction(X=>log(log10_f) - 6.751817/log10_sigma)
7,0.0022183643,(5.997596 - log10_sigma) / (log10_lambda - local_t),0.1202949494849115,(5.997596 - log10_sigma)/(-local_t + log10_lambda),PySRFunction(X=>(5.997596 - log10_sigma)/(-local_t + log10_lambda))
9,0.0019447108,(6.062256 - log10_sigma) / ((log10_lambda + 1.3701385) - alpha_infinity),0.06582842272071862,(6.062256 - log10_sigma)/(-alpha_infinity + log10_lambda + 1.3701385),PySRFunction(X=>(6.062256 - log10_sigma)/(-alpha_infinity + log10_lambda + 1.3701385))
10,0.0015700705,(5.641882 - log10_sigma) / ((log10_lambda - log(alpha_infinity)) + 1.5178193),0.21399275425845662,(5.641882 - log10_sigma)/(log10_lambda - log(alpha_infinity) + 1.5178193),PySRFunction(X=>(5.641882 - log10_sigma)/(log10_lambda - log(alpha_infinity) + 1.5178193))
11,0.0015575405,(6.062256 - log10_sigma) / (((6.062256 - log10_sigma) + log10_lambda) - alpha_infinity),0.008012548258974003,(6.062256 - log10_sigma)/(-alpha_infinity + log10_lambda - log10_sigma + 6.062256),PySRFunction(X=>(6.062256 - log10_sigma)/(-alpha_infinity + log10_lambda - log10_sigma + 6.062256))
12,0.0013629309,(5.729403 - log10_sigma) / (((log10_lambda - local_t) - log(alpha_infinity)) + 1.2111917),0.13347052011433647,(5.729403 - log10_sigma)/(-local_t + log10_lambda - log(alpha_infinity) + 1.2111917),PySRFunction(X=>(5.729403 - log10_sigma)/(-local_t + log10_lambda - log(alpha_infinity) + 1.2111917))
13,0.0012229515,(-4.5444217 - ((local_t + -27.079884) / log10_sigma)) / (log10_lambda - (-1.7404251 + alpha_infinity)),0.1083702551008126,(-4.5444217 - (local_t - 27.079884)/log10_sigma)/(log10_lambda - (alpha_infinity - 1.7404251)),PySRFunction(X=>(-4.5444217 - (local_t - 27.079884)/log10_sigma)/(log10_lambda - (alpha_infinity - 1.7404251)))
15,0.0011818638,(-4.534997 - (-27.038702 / (log10_sigma + (local_t / log10_sigma)))) / (log10_lambda - (alpha_infinity + -1.739046)),0.017087257709155954,(-4.534997 - (-1)*27.038702/(local_t/log10_sigma + log10_sigma))/(log10_lambda - (alpha_infinity - 1.739046)),PySRFunction(X=>(-4.534997 - (-1)*27.038702/(local_t/log10_sigma + log10_sigma))/(log10_lambda - (alpha_infinity - 1.739046)))
17,0.0011765802,(-4.4759393 - (-27.091772 / ((local_t / log10_sigma) + (log10_sigma - -0.090339065)))) / (log10_lambda - (alpha_infinity + -1.8541875)),0.0022402943802426523,(-4.4759393 - (-1)*27.091772/(local_t/log10_sigma + log10_sigma - 1*(-0.090339065)))/(log10_lambda - (alpha_infinity - 1.8541875)),PySRFunction(X=>(-4.4759393 - (-1)*27.091772/(local_t/log10_sigma + log10_sigma - 1*(-0.090339065)))/(log10_lambda - (alpha_infinity - 1.8541875)))
18,0.0011736018,(-4.5444217 - (-27.079884 / (log10_sigma + (local_t / (log10_sigma - log(alpha_infinity)))))) / (log10_lambda - (-1.7404251 + alpha_infinity)),0.0025346135699299676,(-4.5444217 + 27.079884/(local_t/(log10_sigma - log(alpha_infinity)) + log10_sigma))/(-alpha_infinity + log10_lambda + 1.7404251),PySRFunction(X=>(-4.5444217 + 27.079884/(local_t/(log10_sigma - log(alpha_infinity)) + log10_sigma))/(-alpha_infinity + log10_lambda + 1.7404251))
19,0.0011651287,(-4.5444217 - (-27.079884 / (log10_sigma + (local_t / (log10_sigma - (alpha_infinity + -1.7404251)))))) / (log10_lambda - (alpha_infinity + -1.7404251)),0.007245928568715202,(-4.5444217 - (-1)*27.079884/(local_t/(log10_sigma - (alpha_infinity - 1.7404251)) + log10_sigma))/(log10_lambda - (alpha_infinity - 1.7404251)),PySRFunction(X=>(-4.5444217 - (-1)*27.079884/(local_t/(log10_sigma - (alpha_infinity - 1.7404251)) + log10_sigma))/(log10_lambda - (alpha_infinity - 1.7404251)))
20,0.0011518212,(-4.2838397 - (-25.795883 / ((local_t / (log10_sigma / sqrt(alpha_infinity))) + log10_sigma))) / (log10_lambda - ((alpha_infinity + -1.7836628) - local_t3)),0.011487211124768536,(-4.2838397 + 25.795883/(sqrt(alpha_infinity)*local_t/log10_sigma + log10_sigma))/(-alpha_infinity + local_t3 + log10_lambda + 1.7836628),PySRFunction(X=>(-4.2838397 + 25.795883/(sqrt(alpha_infinity)*local_t/log10_sigma + log10_sigma))/(-alpha_infinity + local_t3 + log10_lambda + 1.7836628))
23,0.0011369984,((-4.5047135 - (-27.086971 / (log10_sigma + (local_t / (log10_sigma - alpha_infinity))))) / (log10_lambda + (local_t3 - ((alpha_infinity + -2.0354786) - local_t3)))) * 0.8924893,0.004317511446286237,(-4.5047135 - (-1)*27.086971/(local_t/(-alpha_infinity + log10_sigma) + log10_sigma))*0.8924893/(local_t3 + log10_lambda - (alpha_infinity - local_t3 - 2.0354786)),PySRFunction(X=>(-4.5047135 - (-1)*27.086971/(local_t/(-alpha_infinity + log10_sigma) + log10_sigma))*0.8924893/(local_t3 + log10_lambda - (alpha_infinity - local_t3 - 2.0354786)))
