complexity,loss,equation,score,sympy_format,lambda_format
1,0.009567317,-0.37748042,0.0,-0.377480420000000,PySRFunction(X=>-0.377480420000000)
3,0.006494656,-1.7831424 / log10_sigma,0.19368656298973,-1.7831424/log10_sigma,PySRFunction(X=>-1.7831424/log10_sigma)
4,0.0029247154,log(log10_sigma * 0.14636569),0.7977825080969566,log(0.14636569*log10_sigma),PySRFunction(X=>log(0.14636569*log10_sigma))
5,0.00062048057,(log10_sigma * 0.44005868) + -2.440993,1.550458165089293,log10_sigma*0.44005868 - 2.440993,PySRFunction(X=>log10_sigma*0.44005868 - 2.440993)
7,0.0005444485,((-27.309471 / log10_sigma) - -4.7327876) / log10_f,0.06536046749157445,(-1*(-4.7327876) - 27.309471/log10_sigma)/log10_f,PySRFunction(X=>(-1*(-4.7327876) - 27.309471/log10_sigma)/log10_f)
8,0.00051708624,(log10_f + -4.948957) * log(5.6443543 / log10_sigma),0.0515636866062722,(log10_f - 4.948957)*log(5.6443543/log10_sigma),PySRFunction(X=>(log10_f - 4.948957)*log(5.6443543/log10_sigma))
9,0.000492966,((log10_sigma * -1.7967757) + 9.951806) / (log10_lambda - local_t3),0.04776946296085666,(9.951806 + log10_sigma*(-1.7967757))/(-local_t3 + log10_lambda),PySRFunction(X=>(9.951806 + log10_sigma*(-1.7967757))/(-local_t3 + log10_lambda))
10,0.0004878027,((log10_sigma * 0.6573624) + -3.6450684) / log(log10_f + alpha_infinity),0.010529185325365934,(0.6573624*log10_sigma - 3.6450684)/log(alpha_infinity + log10_f),PySRFunction(X=>(0.6573624*log10_sigma - 3.6450684)/log(alpha_infinity + log10_f))
11,0.00044184574,(-0.07345912 / alpha_infinity) + (((log10_sigma * -1.8001807) + 9.768599) / log10_lambda),0.09895020418529378,(9.768599 + log10_sigma*(-1.8001807))/log10_lambda - 0.07345912/alpha_infinity,PySRFunction(X=>(9.768599 + log10_sigma*(-1.8001807))/log10_lambda - 0.07345912/alpha_infinity)
12,0.00041532124,((log10_sigma * -2.46035) + 13.624853) / (log10_lambda - log(alpha_infinity * log10_f)),0.06190852355614254,(13.624853 - 2.46035*log10_sigma)/(log10_lambda - log(alpha_infinity*log10_f)),PySRFunction(X=>(13.624853 - 2.46035*log10_sigma)/(log10_lambda - log(alpha_infinity*log10_f)))
13,0.0003636963,(-0.07345604 / alpha_infinity) + ((((log10_sigma * -1.800189) - local_t3) + 9.764119) / log10_lambda),0.13273311435890642,(-local_t3 + log10_sigma*(-1.800189) + 9.764119)/log10_lambda - 0.07345604/alpha_infinity,PySRFunction(X=>(-local_t3 + log10_sigma*(-1.800189) + 9.764119)/log10_lambda - 0.07345604/alpha_infinity)
15,0.00033560002,(((log10_sigma * -1.8018703) + 9.774653) / log10_lambda) + ((-0.07326827 / alpha_infinity) + (local_t * 0.035359435)),0.04019957226685213,local_t*0.035359435 + (9.774653 + log10_sigma*(-1.8018703))/log10_lambda - 0.07326827/alpha_infinity,PySRFunction(X=>local_t*0.035359435 + (9.774653 + log10_sigma*(-1.8018703))/log10_lambda - 0.07326827/alpha_infinity)
17,0.00031541407,(((((log10_sigma * -1.7789392) + 9.098945) / log10_lambda) + (local_t * 0.03535087)) + (-0.0705691 / alpha_infinity)) - 0.14228807,0.031016875317420384,local_t*0.03535087 - 1*0.14228807 + (9.098945 + log10_sigma*(-1.7789392))/log10_lambda - 0.0705691/alpha_infinity,PySRFunction(X=>local_t*0.03535087 - 1*0.14228807 + (9.098945 + log10_sigma*(-1.7789392))/log10_lambda - 0.0705691/alpha_infinity)
18,0.00030774772,(alpha_infinity * 0.034369856) + ((((-1.7957276 * log10_sigma) + 9.222047) / (log10_lambda - (log(alpha_infinity) * local_t))) - 0.23273523),0.02460592712673078,0.034369856*alpha_infinity + (9.222047 - 1.7957276*log10_sigma)/(-local_t*log(alpha_infinity) + log10_lambda) - 0.23273523,PySRFunction(X=>0.034369856*alpha_infinity + (9.222047 - 1.7957276*log10_sigma)/(-local_t*log(alpha_infinity) + log10_lambda) - 0.23273523)
19,0.00029522483,((((log10_sigma * -1.7940142) + 9.222252) / log10_lambda) + ((((local_t * -0.195083) / log10_k0_prime) + 0.034330603) * alpha_infinity)) - 0.23001727,0.04154315477104651,alpha_infinity*(local_t*(-0.195083)/log10_k0_prime + 0.034330603) - 1*0.23001727 + (9.222252 + log10_sigma*(-1.7940142))/log10_lambda,PySRFunction(X=>alpha_infinity*(local_t*(-0.195083)/log10_k0_prime + 0.034330603) - 1*0.23001727 + (9.222252 + log10_sigma*(-1.7940142))/log10_lambda)
21,0.00029510073,((((log10_sigma * -1.764558) + 9.112172) / (log10_lambda - -0.08046456)) + (((local_t * (-0.19523501 / log10_k0_prime)) + 0.034199752) * alpha_infinity)) - 0.21869709,0.00021022298581848772,alpha_infinity*(local_t*(-0.19523501)/log10_k0_prime + 0.034199752) + (9.112172 + log10_sigma*(-1.764558))/(log10_lambda - 1*(-0.08046456)) - 1*0.21869709,PySRFunction(X=>alpha_infinity*(local_t*(-0.19523501)/log10_k0_prime + 0.034199752) + (9.112172 + log10_sigma*(-1.764558))/(log10_lambda - 1*(-0.08046456)) - 1*0.21869709)
