complexity,loss,equation,score,sympy_format,lambda_format
1,0.012230897,-0.12809777,0.0,-0.128097770000000,PySRFunction(X=>-0.128097770000000)
3,0.011010048,-0.19203962 / alpha_infinity,0.05257849042345039,-0.19203962/alpha_infinity,PySRFunction(X=>-0.19203962/alpha_infinity)
5,0.0029035886,(log10_sigma * -0.44932106) + 1.9788588,0.6664304450689483,1.9788588 + log10_sigma*(-0.44932106),PySRFunction(X=>1.9788588 + log10_sigma*(-0.44932106))
6,0.002770668,log(log10_sigma - log10_f) / -1.8998334,0.04685897389955837,-0.526361943105117*log(-log10_f + log10_sigma),PySRFunction(X=>-0.526361943105117*log(-log10_f + log10_sigma))
8,0.0023930282,(log(log10_sigma - log10_f) / alpha_infinity) / -1.3099078,0.07326442656638558,-0.763412508880396*log(-log10_f + log10_sigma)/alpha_infinity,PySRFunction(X=>-0.763412508880396*log(-log10_f + log10_sigma)/alpha_infinity)
9,0.0017372596,((log10_sigma * -0.4473371) + 1.7999959) - (alpha_infinity * -0.10979254),0.3202506640558914,-(-0.10979254)*alpha_infinity + log10_sigma*(-0.4473371) + 1.7999959,PySRFunction(X=>-(-0.10979254)*alpha_infinity + log10_sigma*(-0.4473371) + 1.7999959)
10,0.001622374,sqrt(log10_f) + ((log10_sigma * -0.45579204) - (alpha_infinity * -0.10839453)),0.0684184205267026,0.10839453*alpha_infinity + sqrt(log10_f) - 0.45579204*log10_sigma,PySRFunction(X=>0.10839453*alpha_infinity + sqrt(log10_f) - 0.45579204*log10_sigma)
12,0.0016188942,sqrt(log10_f) + (((log10_sigma * -0.44733673) - (alpha_infinity * -0.10979273)) - 0.04189093),0.0010735925329906813,0.10979273*alpha_infinity + sqrt(log10_f) - 0.44733673*log10_sigma - 0.04189093,PySRFunction(X=>0.10979273*alpha_infinity + sqrt(log10_f) - 0.44733673*log10_sigma - 0.04189093)
13,0.0015943414,(log10_sigma * -0.4473392) + (sqrt(log10_f) - (sqrt(alpha_infinity - 0.874196) * -0.16215795)),0.015282587976023727,sqrt(log10_f) - 0.4473392*log10_sigma + 0.16215795*sqrt(alpha_infinity - 0.874196),PySRFunction(X=>sqrt(log10_f) - 0.4473392*log10_sigma + 0.16215795*sqrt(alpha_infinity - 0.874196))
14,0.0014223385,log((log10_sigma + (-0.4174001 - log10_f)) * ((log10_sigma - alpha_infinity) - 1.1159593)) / log10_lambda,0.11415838754342003,log((-alpha_infinity + log10_sigma - 1.1159593)*(-log10_f + log10_sigma - 0.4174001))/log10_lambda,PySRFunction(X=>log((-alpha_infinity + log10_sigma - 1.1159593)*(-log10_f + log10_sigma - 0.4174001))/log10_lambda)
16,0.0013952152,(log((log10_sigma + (-0.4141086 - log10_f)) * ((log10_sigma - alpha_infinity) - 0.9095552)) / log10_lambda) - -0.026820917,0.00962683972560891,0.026820917 + log((-alpha_infinity + log10_sigma - 0.9095552)*(-log10_f + log10_sigma - 0.4141086))/log10_lambda,PySRFunction(X=>0.026820917 + log((-alpha_infinity + log10_sigma - 0.9095552)*(-log10_f + log10_sigma - 0.4141086))/log10_lambda)
18,0.0013416145,log(local_t2 + (((log10_sigma - log10_f) + -0.4681355) * ((local_t3 - alpha_infinity) + (log10_sigma - 1.0938725)))) / log10_lambda,0.01958746457486554,log(local_t2 + (-log10_f + log10_sigma - 0.4681355)*(-alpha_infinity + local_t3 + log10_sigma - 1.0938725))/log10_lambda,PySRFunction(X=>log(local_t2 + (-log10_f + log10_sigma - 0.4681355)*(-alpha_infinity + local_t3 + log10_sigma - 1.0938725))/log10_lambda)
20,0.0013384515,log((((local_t3 - alpha_infinity) + (log10_sigma + local_t2)) - 1.0805346) * (log10_sigma + (-0.44821417 - log10_f))) / (log10_lambda / 0.96162087),0.001180195364046943,0.96162087*log((-log10_f + log10_sigma - 0.44821417)*(-alpha_infinity + local_t2 + local_t3 + log10_sigma - 1.0805346))/log10_lambda,PySRFunction(X=>0.96162087*log((-log10_f + log10_sigma - 0.44821417)*(-alpha_infinity + local_t2 + local_t3 + log10_sigma - 1.0805346))/log10_lambda)
