Complexity,Loss,Equation
1,0.0073013715,"-0.18791834"
3,0.004946024,"-0.28072497 / alpha_infinity"
5,0.0044057793,"(log10_sigma * -0.06021358) / alpha_infinity"
7,0.003016986,"(log10_sigma + (-2.0529528 - alpha_infinity)) * -0.17210875"
9,0.002419848,"(((log10_sigma + 2.048282) + log10_lambda) - alpha_infinity) * -0.16507383"
10,0.002379609,"(sqrt(log10_sigma) + (log10_lambda + (log10_sigma - alpha_infinity))) * -0.15037753"
11,0.0019055114,"((-0.12528774 * (log10_sigma + (log10_lambda - 1.8543596))) * alpha_infinity) - 0.42449543"
12,0.0015874066,"(((log10_sigma + (log10_lambda - 1.1389838)) * -0.45084777) * log(alpha_infinity)) - 0.2832037"
13,0.0015544303,"((log(alpha_infinity) * ((log10_sigma + log10_lambda) - log(log10_f))) * -0.43646586) - 0.28782168"
14,0.0013072114,"(((log10_sigma + (log10_lambda - 1.1419364)) * -0.45787823) * (local_t3 + log(alpha_infinity))) - 0.28421947"
15,0.00129908,"((local_t3 + log(alpha_infinity)) * (((log10_lambda + log10_sigma) - log(log10_f)) * -0.44210216)) - 0.288169"
16,0.0011914673,"((((log10_lambda + log10_sigma) - 1.3104599) * ((log10_sigma + log10_lambda) - log(alpha_infinity))) * 0.3331484) - 0.16358042"
18,0.00092579145,"(((log10_sigma + (log10_lambda - (local_t3 + log(alpha_infinity)))) * 0.3512068) * ((log10_lambda + log10_sigma) - 1.2845589)) - 0.16332275"
20,0.00087645464,"(((log10_sigma + (log10_lambda - ((1.6892772 * local_t3) + log(alpha_infinity)))) * 0.3512068) * ((log10_lambda + log10_sigma) - 1.2845589)) - 0.16332275"
21,0.00079089776,"(((log10_lambda + (log10_sigma - ((local_t3 + log(alpha_infinity)) * sqrt(log10_f)))) * ((log10_lambda - 1.109233) + log10_sigma)) * 0.27069694) - 0.22262281"
24,0.00076149503,"(((log10_sigma + (log10_lambda - 1.096417)) * (-2.82497 * (log10_lambda + (log10_sigma - ((local_t3 + log(local_t3 + alpha_infinity)) * 1.9490372))))) * -0.09084447) - 0.22744994"
