Complexity,Loss,Equation
1,0.0054547605,"-0.25393125"
3,0.003955329,"-0.37154028 / alpha_infinity"
4,0.0039529074,"-0.31240278 / sqrt(alpha_infinity)"
5,0.0036165267,"(-1.7413782 / alpha_infinity) / log10_sigma"
6,0.0033225268,"sqrt(2.624148 - alpha_infinity) / log10_lambda"
7,0.0031029135,"(alpha_infinity * 0.13633303) + (1.881654 / log10_lambda)"
8,0.0027168922,"((log(alpha_infinity) - log10_lambda) - 5.6575513) / log10_sigma"
9,0.0026600186,"((alpha_infinity - (log10_lambda - -7.378588)) / log10_sigma) * 0.6682605"
10,0.0022939423,"(log(alpha_infinity) - (log10_lambda - -5.6551204)) / (local_t + log10_sigma)"
11,0.0022287352,"((alpha_infinity - (log10_lambda - -7.3973236)) * 0.6599333) / (local_t + log10_sigma)"
13,0.0021463775,"(((alpha_infinity * ((local_t / log10_sigma) - -0.62354773)) - log10_lambda) - 6.207062) / log10_sigma"
15,0.0021368936,"(((local_t / (log10_sigma - 1.8834624)) - (alpha_infinity * -0.61891407)) - (log10_lambda - -6.208189)) / log10_sigma"
16,0.0019348077,"(0.8422103 - (((local_t + alpha_infinity) + -1.9780204) * log(2.3538525 / (log10_sigma - log10_f)))) / log10_lambda"
18,0.0015533958,"(0.9273819 - ((local_t + ((alpha_infinity + -3.4770074) + alpha_infinity)) * log(1.9937458 / (log10_sigma - log10_f)))) / log10_lambda"
20,0.0014991645,"((0.8073284 - (((local_t + -3.437306) + (alpha_infinity + alpha_infinity)) * log(1.9105217 / (log10_sigma - log10_f)))) / log10_lambda) * 1.1669763"
22,0.001468809,"((1.0614158 - (((alpha_infinity + ((local_t * 1.4342151) + -3.5162942)) + alpha_infinity) * log(1.9747274 / (log10_sigma - log10_f)))) / log10_lambda) + 0.036124963"
