Complexity,Loss,Equation
1,0.009567317,"-0.37748042"
3,0.006494656,"-1.7831424 / log10_sigma"
4,0.0029247154,"log(log10_sigma * 0.14636569)"
5,0.00062048057,"(log10_sigma * 0.44005868) + -2.440993"
7,0.0005444485,"((-27.309471 / log10_sigma) - -4.7327876) / log10_f"
8,0.00051708624,"(log10_f + -4.948957) * log(5.6443543 / log10_sigma)"
9,0.000492966,"((log10_sigma * -1.7967757) + 9.951806) / (log10_lambda - local_t3)"
10,0.0004878027,"((log10_sigma * 0.6573624) + -3.6450684) / log(log10_f + alpha_infinity)"
11,0.00044184574,"(-0.07345912 / alpha_infinity) + (((log10_sigma * -1.8001807) + 9.768599) / log10_lambda)"
12,0.00041532124,"((log10_sigma * -2.46035) + 13.624853) / (log10_lambda - log(alpha_infinity * log10_f))"
13,0.0003636963,"(-0.07345604 / alpha_infinity) + ((((log10_sigma * -1.800189) - local_t3) + 9.764119) / log10_lambda)"
15,0.00033560002,"(((log10_sigma * -1.8018703) + 9.774653) / log10_lambda) + ((-0.07326827 / alpha_infinity) + (local_t * 0.035359435))"
17,0.00031541407,"(((((log10_sigma * -1.7789392) + 9.098945) / log10_lambda) + (local_t * 0.03535087)) + (-0.0705691 / alpha_infinity)) - 0.14228807"
18,0.00030774772,"(alpha_infinity * 0.034369856) + ((((-1.7957276 * log10_sigma) + 9.222047) / (log10_lambda - (log(alpha_infinity) * local_t))) - 0.23273523)"
19,0.00029522483,"((((log10_sigma * -1.7940142) + 9.222252) / log10_lambda) + ((((local_t * -0.195083) / log10_k0_prime) + 0.034330603) * alpha_infinity)) - 0.23001727"
21,0.00029510073,"((((log10_sigma * -1.764558) + 9.112172) / (log10_lambda - -0.08046456)) + (((local_t * (-0.19523501 / log10_k0_prime)) + 0.034199752) * alpha_infinity)) - 0.21869709"
22,0.00029337467,"((alpha_infinity * 0.035176635) + (((log10_sigma * -1.7759521) + 9.226086) / (log10_lambda - (local_t * log((local_t3 + 1.1457716) * alpha_infinity))))) - 0.20980431"
23,0.00029239015,"((((local_t / log10_k0_prime) * -0.1946585) + 0.03447674) * alpha_infinity) + ((((log10_sigma * -1.7981406) + 9.251797) / (log10_lambda - (local_t * local_t3))) - 0.22827724)"
