Complexity,Loss,Equation
1,0.012230897,"-0.12809777"
3,0.011010048,"-0.19203962 / alpha_infinity"
5,0.0029035886,"(log10_sigma * -0.44932106) + 1.9788588"
6,0.002770668,"log(log10_sigma - log10_f) / -1.8998334"
8,0.0023930282,"(log(log10_sigma - log10_f) / alpha_infinity) / -1.3099078"
9,0.0017372596,"((log10_sigma * -0.4473371) + 1.7999959) - (alpha_infinity * -0.10979254)"
10,0.001622374,"sqrt(log10_f) + ((log10_sigma * -0.45579204) - (alpha_infinity * -0.10839453))"
12,0.0016188942,"sqrt(log10_f) + (((log10_sigma * -0.44733673) - (alpha_infinity * -0.10979273)) - 0.04189093)"
13,0.0015943414,"(log10_sigma * -0.4473392) + (sqrt(log10_f) - (sqrt(alpha_infinity - 0.874196) * -0.16215795))"
14,0.0014223385,"log((log10_sigma + (-0.4174001 - log10_f)) * ((log10_sigma - alpha_infinity) - 1.1159593)) / log10_lambda"
16,0.0013952152,"(log((log10_sigma + (-0.4141086 - log10_f)) * ((log10_sigma - alpha_infinity) - 0.9095552)) / log10_lambda) - -0.026820917"
18,0.0013416145,"log(local_t2 + (((log10_sigma - log10_f) + -0.4681355) * ((local_t3 - alpha_infinity) + (log10_sigma - 1.0938725)))) / log10_lambda"
20,0.0013384515,"log((((local_t3 - alpha_infinity) + (log10_sigma + local_t2)) - 1.0805346) * (log10_sigma + (-0.44821417 - log10_f))) / (log10_lambda / 0.96162087)"
