split,segment_id,segment_name,selected_branch,n_rows,rmse,mae,max_abs_error,r2_within_segment
validation,1,low_100_700,sobol_subset,2400,0.0212295901052217,0.0165938663328866,0.121582958625759,0.973787850999608
validation,2,midlow_700_1000,all,1200,0.0265439728840319,0.0195101263138265,0.1103850587589184,0.9210974586938444
validation,3,midhigh_1000_1300,all,1200,0.0226722326822598,0.0162502377163024,0.1162939256429941,0.9726432554952128
validation,4,highlow_1300_1650,all,1350,0.0229182452748905,0.0157284516856509,0.1514949467297676,0.979633638350336
validation,5,high_1650_2000,all,1350,0.0283945863716157,0.0186968708240027,0.2135418065239797,0.9676559572141326
validation,6,upperlow_2000_3000,all,3900,0.0436235385341636,0.0300327050130823,0.236051855255734,0.8522539970155076
validation,7,uppermid_3000_4000,all,4050,0.0428612260550722,0.0326886392374468,0.1893283346957874,0.5293789593044457
validation,8,upperhigh_4000_4950,all,3750,0.0368739709094908,0.0261411705335058,0.1729815079230897,0.4124775265314088
test,1,low_100_700,sobol_subset,2400,0.0207834724756494,0.0162627455245035,0.0909171629668418,0.9744795265761484
test,2,midlow_700_1000,all,1200,0.0251597199989801,0.0186114478139293,0.1174656600160255,0.9284554567171144
test,3,midhigh_1000_1300,all,1200,0.0205232279175874,0.0147050830048716,0.0983895694535381,0.976222743176124
test,4,highlow_1300_1650,all,1350,0.0271717009514651,0.0148545331640868,0.2524154240544637,0.9679390991344982
test,5,high_1650_2000,all,1350,0.0380532766495933,0.0214946312333641,0.2672839216076709,0.9328051965686848
test,6,upperlow_2000_3000,all,3900,0.0390887759065082,0.0268067230825751,0.2119303176272043,0.8804640021940826
test,7,uppermid_3000_4000,all,4050,0.0442251905921619,0.0338587550865607,0.1774527846881945,0.5437135358111571
test,8,upperhigh_4000_4950,all,3750,0.0332608808877995,0.0241228262669991,0.1424575144216397,0.4809985707344639
