split,segment_id,segment_name,n_rows_f0,rmse_f0,mae_f0,max_abs_error_f0,r2_f0,true_min_f0,true_max_f0,prediction_min_f0,prediction_max_f0,f0_source_branch,n_rows_f1,rmse_f1,mae_f1,max_abs_error_f1,r2_f1,true_min_f1,true_max_f1,prediction_min_f1,prediction_max_f1,num_curves_shape_f0,first_difference_rmse_shape_f0,second_difference_rmse_shape_f0,mean_trough_frequency_error_hz_shape_f0,mean_peak_frequency_error_hz_shape_f0,mean_prediction_range_shape_f0,flat_prediction_curve_fraction_shape_f0,num_curves_shape_f1,first_difference_rmse_shape_f1,second_difference_rmse_shape_f1,mean_trough_frequency_error_hz_shape_f1,mean_peak_frequency_error_hz_shape_f1,mean_prediction_range_shape_f1,flat_prediction_curve_fraction_shape_f1,rmse_relative_delta_f1_minus_f0,first_difference_relative_delta,second_difference_relative_delta,validation_rmse_winner,n_rows_selected,rmse_selected,mae_selected,max_abs_error_selected,prediction_min_selected,prediction_max_selected,f1_uses_local_frequency,f1_uses_any_frequency
validation,1,low_100_700,2400,0.0212295901052217,0.0165938663328866,0.121582958625759,0.973787850999608,0.3902374023758223,0.983840080754794,0.4041574359856857,1.000661233409931,sobol_subset,2400,0.0154261649973185,0.0120336152031402,0.0922245245116853,0.9861600234443938,0.3902374023758223,0.983840080754794,0.4468984437338255,1.0293909639967005,150,0.0091239464635069,0.0044016676110782,0.0,0.0,0.4457783088851647,0.0,150,0.0052086308948131,0.001670771481513,0.0,0.0,0.4181565507183737,0.0,-0.2733649156266927,-0.42912522386600027,-0.6204230693594466,f1,2400,0.0154261649973185,0.0120336152031402,0.0922245245116853,0.4468984437338255,1.0293909639967005,True,True
test,1,low_100_700,2400,0.0207834724756494,0.0162627455245035,0.0909171629668418,0.9744795265761484,0.3453868098474716,0.9848472521819152,0.4209647137947575,1.0008208560910123,sobol_subset,2400,0.0154247796120712,0.0116280728872747,0.1085883385865038,0.98594307134843,0.3453868098474716,0.9848472521819152,0.4539751484339754,1.0280957544380742,150,0.0088700347357538,0.0042889388008376,0.0,0.0,0.4412447020052769,0.0,150,0.0049740658446085,0.0016086492038839,0.0,0.0,0.4121577942112737,0.0,-0.25783433783053433,-0.43922814365554,-0.6249307162951959,f1,2400,0.0154247796120712,0.0116280728872747,0.1085883385865038,0.4539751484339754,1.0280957544380742,True,True
validation,2,midlow_700_1000,1200,0.0265439728840319,0.0195101263138265,0.1103850587589184,0.9210974586938444,0.1127654822485388,0.6386577393534976,0.1790746009992119,0.6463385688087161,all,1200,0.022484994614137,0.0160304667785217,0.0907517742247032,0.9433832785181044,0.1127654822485388,0.6386577393534976,0.1113206423607983,0.6137104127627477,150,0.0059361943550958,0.0009257846751463,0.0,0.0,0.1183972073524693,0.0,150,0.0032793412236031,0.0011303653811463,0.0,0.0,0.1178515050295326,0.0,-0.1529152507662734,-0.447568420533937,0.22098087329828667,f1,1200,0.022484994614137,0.0160304667785217,0.0907517742247032,0.1113206423607983,0.6137104127627477,True,True
test,2,midlow_700_1000,1200,0.0251597199989801,0.0186114478139293,0.1174656600160255,0.9284554567171144,0.076540237816868,0.637593381931226,0.1524955533470059,0.6438816288357115,all,1200,0.0192966001994276,0.014659804202029,0.0766854767729594,0.9579150799622757,0.076540237816868,0.637593381931226,0.1026405899018495,0.6130132196364285,150,0.0055799146297301,0.0009906794098314,0.0,0.0,0.1174883461214342,0.0,150,0.0034007061484826,0.0011764686253823,0.0,0.0,0.1143613190948776,0.0,-0.23303597177513,-0.39054512942483993,0.18753717267881703,f1,1200,0.0192966001994276,0.014659804202029,0.0766854767729594,0.1026405899018495,0.6130132196364285,True,True
validation,3,midhigh_1000_1300,1200,0.0226722326822598,0.0162502377163024,0.1162939256429941,0.9726432554952128,-0.023363937322033,0.5683402048542382,0.0133206266764027,0.5825301576169536,all,1200,0.023922986853848,0.0177780797439553,0.091980909198268,0.9695416314372176,-0.023363937322033,0.5683402048542382,-0.0186244373526239,0.6040699740965395,150,0.0065922305480453,0.0006658018385544,1.0183727034120753,0.0,0.0719725593457809,0.0,150,0.0064432511426106,0.0039379170174164,1.0183727034120753,0.0,0.0919943940904376,0.0,0.055166784370860304,-0.02259924078032661,4.914548127362446,f0,1200,0.0226722326822598,0.0162502377163024,0.1162939256429941,0.0133206266764027,0.5825301576169536,True,True
test,3,midhigh_1000_1300,1200,0.0205232279175874,0.0147050830048716,0.0983895694535381,0.976222743176124,-0.0634475416033955,0.5708802751585569,0.007988789211883,0.582650048414973,all,1200,0.0208617558149145,0.0157408463772038,0.0916029683967905,0.97543186850848,-0.0634475416033955,0.5708802751585569,-0.0311783682652801,0.6039581720838494,150,0.0064477313885207,0.0007263051533264,2.2913385826771657,1.7821522309711288,0.0713496485337217,0.0,150,0.006868511655525,0.0043986729928799,2.2913385826771657,1.7821522309711288,0.0932592942888766,0.0,0.01649486614320537,0.06526020419421336,5.056232662999082,f0,1200,0.0205232279175874,0.0147050830048716,0.0983895694535381,0.007988789211883,0.582650048414973,True,True
validation,4,highlow_1300_1650,1350,0.0229182452748905,0.0157284516856509,0.1514949467297676,0.979633638350336,-0.1217978366044685,0.5275390762338282,-0.1121491817197913,0.5134915413403842,all,1350,0.0230747345597271,0.0150839156463448,0.163250955482,0.9793545595296492,-0.1217978366044685,0.5275390762338282,-0.0830164730880955,0.5280670009565447,150,0.0039404047193453,0.0006739896273276,11.711286089238856,10.18372703412074,0.0286349085653718,0.0,150,0.0038265328124329,0.0006734717845407,11.711286089238856,10.18372703412074,0.0351938251620457,0.0,0.00682815298290105,-0.028898530740598605,-0.0007683245645088434,f0,1350,0.0229182452748905,0.0157284516856509,0.1514949467297676,-0.1121491817197913,0.5134915413403842,False,True
test,4,highlow_1300_1650,1350,0.0271717009514651,0.0148545331640868,0.2524154240544637,0.9679390991344982,-0.1383702057951381,0.5280661360715874,-0.0803656009220532,0.5141924554440562,all,1350,0.028462230290528,0.0145750315347109,0.2580471621383624,0.9648212887395702,-0.1383702057951381,0.5280661360715874,-0.0934192448779112,0.5292012822953458,150,0.0046409853514404,0.0006723426199265,20.87664041994752,22.404199475065624,0.0278908473598915,0.0,150,0.0042800561753092,0.0006713214026296,20.87664041994752,22.404199475065624,0.0352018375522665,0.0,0.04749534603549773,-0.07776994513011758,-0.0015188941867342153,f0,1350,0.0271717009514651,0.0148545331640868,0.2524154240544637,-0.0803656009220532,0.5141924554440562,False,True
validation,5,high_1650_2000,1350,0.0283945863716157,0.0186968708240027,0.2135418065239797,0.9676559572141326,-0.1274621043189832,0.4947913025323783,-0.1185189892464798,0.4957723956204332,all,1350,0.0273245911749592,0.0181411915582427,0.1977244400001648,0.9700476739086024,-0.1274621043189832,0.4947913025323783,-0.1666061985313334,0.4955823110107342,150,0.0044852605964567,0.0004729135009065,148.6824146981627,152.75590551181094,0.0066136566659074,0.0,150,0.0039536456193371,0.0005000256111824,224.0419947506561,85.54330708661413,0.0,1.0,-0.03768307038013797,-0.11852488070360251,0.05732995616308349,f1,1350,0.0273245911749592,0.0181411915582427,0.1977244400001648,-0.1666061985313334,0.4955823110107342,False,False
test,5,high_1650_2000,1350,0.0380532766495933,0.0214946312333641,0.2672839216076709,0.9328051965686848,-0.1674317472562404,0.49439989401671,-0.1285882476681925,0.4913576217064704,all,1350,0.0440839160809026,0.025557567978587,0.2625453442368032,0.9098196524231978,-0.1674317472562404,0.49439989401671,-0.0935980309424362,0.4907610387144707,150,0.0053247512579794,0.0004694331875818,137.22572178477682,140.53543307086608,0.007667300885057,0.0,150,0.0046248065056979,0.0004366938909707,237.53543307086608,71.28608923884511,0.0,1.0,0.1584788476125551,-0.13145116426473422,-0.06974218584704364,f1,1350,0.0440839160809026,0.025557567978587,0.2625453442368032,-0.0935980309424362,0.4907610387144707,False,False
