split,segment_id,segment_name,num_curves,first_difference_rmse,second_difference_rmse,mean_trough_frequency_error_hz,mean_peak_frequency_error_hz,mean_prediction_range,flat_prediction_curve_fraction
validation,1,low_100_700,150,0.005208630894813195,0.001670771481513093,0.0,0.0,0.41815655071837377,0.0
validation,2,midlow_700_1000,150,0.005936194355095802,0.0009257846751463331,0.0,0.0,0.11839720735246932,0.0
validation,3,midhigh_1000_1300,150,0.006592230548045329,0.0006658018385544253,1.0183727034120753,0.0,0.07197255934578096,0.0
validation,4,highlow_1300_1650,150,0.0038265328124329565,0.0006734717845407017,11.711286089238856,10.18372703412074,0.035193825162045764,0.0
validation,5,high_1650_2000,150,0.004485260596456798,0.00047291350090658367,148.6824146981627,152.75590551181094,0.006613656665907411,0.0
validation,6,upperlow_2000_3000,150,0.005119789524981624,0.0002092507285723924,510.45931758530185,457.249343832021,0.0,1.0
validation,7,uppermid_3000_4000,150,0.003222397106833604,0.0002721169111130928,277.5065616797901,284.63517060367457,0.009242716045198263,0.0
validation,8,upperhigh_4000_4950,150,0.0022837087656557274,0.00018708294217924644,33.86089238845143,35.89763779527558,0.07567832532011534,0.0
test,1,low_100_700,150,0.00497406584460853,0.0016086492038839928,0.0,0.0,0.4121577942112737,0.0
test,2,midlow_700_1000,150,0.005579914629730127,0.0009906794098314177,0.0,0.0,0.11748834612143422,0.0
test,3,midhigh_1000_1300,150,0.006447731388520772,0.0007263051533264939,2.2913385826771657,1.7821522309711288,0.07134964853372175,0.0
test,4,highlow_1300_1650,150,0.004280056175309255,0.0006713214026296354,20.87664041994752,22.404199475065624,0.03520183755226654,0.0
test,5,high_1650_2000,150,0.005324751257979463,0.00046943318758183624,137.22572178477682,140.53543307086608,0.0076673008850570165,0.0
test,6,upperlow_2000_3000,150,0.00454020151015603,0.00021652311604610728,520.1338582677166,441.9737532808399,0.0,1.0
test,7,uppermid_3000_4000,150,0.003140595714757673,0.00024454566200499833,291.5091863517061,284.3805774278216,0.00943514056246587,0.0
test,8,upperhigh_4000_4950,150,0.0023837476841339477,0.00018549057835369725,46.84514435695537,47.09973753280838,0.07605410645545305,0.0
