complexity,loss,equation,score,sympy_format,lambda_format
1,0.018916525,0.36012223,0.0,0.360122230000000,PySRFunction(X=>0.360122230000000)
3,0.008695089,log10_sigma + -4.3290687,0.38863874757851596,log10_sigma - 4.3290687,PySRFunction(X=>log10_sigma - 4.3290687)
4,0.0026619176,log(log10_sigma + -3.2315516),1.1837116181975111,log(log10_sigma - 3.2315516),PySRFunction(X=>log(log10_sigma - 3.2315516))
5,0.0016903734,-2.5032015 - (log10_sigma * -0.61062235),0.45409731404862586,-(-0.61062235)*log10_sigma - 2.5032015,PySRFunction(X=>-(-0.61062235)*log10_sigma - 2.5032015)
7,0.0011510503,-2.4692779 - (log10_sigma * (-1.8458539 / log10_f)),0.19213731068053752,-2.4692779 - (-1.8458539)*log10_sigma/log10_f,PySRFunction(X=>-2.4692779 - (-1.8458539)*log10_sigma/log10_f)
9,0.0010091376,(20.67483 - (log10_sigma * (15.46131 / log10_f))) / log10_k0_prime,0.06578936259728971,(20.67483 - 15.46131*log10_sigma/log10_f)/log10_k0_prime,PySRFunction(X=>(20.67483 - 15.46131*log10_sigma/log10_f)/log10_k0_prime)
11,0.0008994972,(-24.345802 - (log10_sigma * (-18.218393 / log10_f))) / (alpha_infinity - log10_k0_prime),0.05750772157830665,(-24.345802 - (-18.218393)*log10_sigma/log10_f)/(alpha_infinity - log10_k0_prime),PySRFunction(X=>(-24.345802 - (-18.218393)*log10_sigma/log10_f)/(alpha_infinity - log10_k0_prime))
13,0.0007048889,((log10_f / (alpha_infinity - log10_k0_prime)) + 0.24730724) - ((log10_sigma * -0.6108497) + log10_f),0.121897869401943,log10_f/(alpha_infinity - log10_k0_prime) - (log10_f + log10_sigma*(-0.6108497)) + 0.24730724,PySRFunction(X=>log10_f/(alpha_infinity - log10_k0_prime) - (log10_f + log10_sigma*(-0.6108497)) + 0.24730724)
14,0.0006970266,(log10_f / sqrt(alpha_infinity - log10_k0_prime)) + (-3.4926414 - (log10_sigma * (-1.8804321 / log10_f))),0.011216628150969998,log10_f/sqrt(alpha_infinity - log10_k0_prime) - 3.4926414 + 1.8804321*log10_sigma/log10_f,PySRFunction(X=>log10_f/sqrt(alpha_infinity - log10_k0_prime) - 3.4926414 + 1.8804321*log10_sigma/log10_f)
15,0.00062434404,((-1.0130063 - ((log10_sigma * -0.5724594) / log10_f)) / (log10_f / (alpha_infinity - log10_k0_prime))) - -0.80090714,0.11012201100259333,-1*(-0.80090714) + (-1.0130063 - (-0.5724594)*log10_sigma/log10_f)/((log10_f/(alpha_infinity - log10_k0_prime))),PySRFunction(X=>-1*(-0.80090714) + (-1.0130063 - (-0.5724594)*log10_sigma/log10_f)/((log10_f/(alpha_infinity - log10_k0_prime))))
17,0.00058675633,log10_f * (((-0.3316318 - ((log10_sigma * -0.18859474) / log10_f)) / (log10_f / (alpha_infinity - log10_k0_prime))) - -0.25617337),0.031045969837289834,log10_f*(-1*(-0.25617337) + (-0.3316318 - (-0.18859474)*log10_sigma/log10_f)/((log10_f/(alpha_infinity - log10_k0_prime)))),PySRFunction(X=>log10_f*(-1*(-0.25617337) + (-0.3316318 - (-0.18859474)*log10_sigma/log10_f)/((log10_f/(alpha_infinity - log10_k0_prime)))))
19,0.00058433623,(log10_f * (((-0.33168045 - ((log10_sigma * -0.18838741) / log10_f)) / (log10_f / (alpha_infinity - log10_k0_prime))) - -0.23610581)) - -0.06505469,0.002066534728104188,log10_f*(-1*(-0.23610581) + (-0.33168045 - (-0.18838741)*log10_sigma/log10_f)/((log10_f/(alpha_infinity - log10_k0_prime)))) - 1*(-0.06505469),PySRFunction(X=>log10_f*(-1*(-0.23610581) + (-0.33168045 - (-0.18838741)*log10_sigma/log10_f)/((log10_f/(alpha_infinity - log10_k0_prime)))) - 1*(-0.06505469))
