complexity,loss,equation,score,sympy_format,lambda_format
1,0.004565285,0.3230114,0.0,0.323011400000000,PySRFunction(X=>0.323011400000000)
3,0.0035319966,alpha_infinity * 0.20604762,0.12830881176433978,alpha_infinity*0.20604762,PySRFunction(X=>alpha_infinity*0.20604762)
4,0.002979763,sqrt(alpha_infinity) * 0.26188925,0.17001955296056714,0.26188925*sqrt(alpha_infinity),PySRFunction(X=>0.26188925*sqrt(alpha_infinity))
5,0.0026823902,(-1.1685618 - alpha_infinity) / log10_k0_prime,0.10513550443474515,(-alpha_infinity - 1.1685618)/log10_k0_prime,PySRFunction(X=>(-alpha_infinity - 1.1685618)/log10_k0_prime)
7,0.0026750534,((-1.7011681 - alpha_infinity) / log10_k0_prime) + -0.06353886,0.0013694599764947958,-0.06353886 + (-alpha_infinity - 1.7011681)/log10_k0_prime,PySRFunction(X=>-0.06353886 + (-alpha_infinity - 1.7011681)/log10_k0_prime)
8,0.0025560833,log10_lambda * ((0.5420594 / log10_k0_prime) * sqrt(alpha_infinity)),0.045493216796944944,0.5420594*sqrt(alpha_infinity)*log10_lambda/log10_k0_prime,PySRFunction(X=>0.5420594*sqrt(alpha_infinity)*log10_lambda/log10_k0_prime)
9,0.0024998754,((log10_k0_prime + log10_sigma) * (0.07294929 / alpha_infinity)) + 0.5068388,0.02223523533649584,0.5068388 + (log10_k0_prime + log10_sigma)*0.07294929/alpha_infinity,PySRFunction(X=>0.5068388 + (log10_k0_prime + log10_sigma)*0.07294929/alpha_infinity)
11,0.0023511206,((log10_sigma + log10_k0_prime) * (-0.30155003 / (alpha_infinity * log10_lambda))) + 0.5107573,0.030674412534770903,0.5107573 + (log10_k0_prime + log10_sigma)*(-0.30155003)/(alpha_infinity*log10_lambda),PySRFunction(X=>0.5107573 + (log10_k0_prime + log10_sigma)*(-0.30155003)/(alpha_infinity*log10_lambda))
12,0.002336125,sqrt(((log10_sigma + log10_k0_prime) * (-0.18142948 / (alpha_infinity * log10_lambda))) + 0.21955976),0.00639849175422964,sqrt(0.21955976 - 0.18142948*(log10_k0_prime + log10_sigma)/(alpha_infinity*log10_lambda)),PySRFunction(X=>sqrt(0.21955976 - 0.18142948*(log10_k0_prime + log10_sigma)/(alpha_infinity*log10_lambda)))
13,0.0023035095,((log10_k0_prime + log10_sigma) / (((log10_lambda * alpha_infinity) + 0.5194883) * log10_lambda)) + 0.4925808,0.014059744264110548,0.4925808 + (log10_k0_prime + log10_sigma)/((log10_lambda*(alpha_infinity*log10_lambda + 0.5194883))),PySRFunction(X=>0.4925808 + (log10_k0_prime + log10_sigma)/((log10_lambda*(alpha_infinity*log10_lambda + 0.5194883))))
