Complexity,Loss,Equation
1,0.026387004,"0.296022"
3,0.0039436636,"log10_sigma + -4.3931627"
4,0.001211226,"log(log10_sigma + -3.3232923)"
5,0.0008896025,"(log10_sigma * 0.7428963) + -3.1875556"
7,0.0008896024,"((log10_sigma * 0.74288994) - -2.0053613) + -5.192887"
8,0.00075116096,"(-2.0345917 - log(log10_f)) + (log10_sigma * 0.74290025)"
9,0.00073521235,"(log10_f * ((log10_sigma * 0.23454134) + -1.5158924)) + 1.6140791"
11,0.0007313788,"(log10_f * (((log10_sigma * 0.074033484) * log10_f) + -2.614871)) + 5.0953994"
13,0.00073023874,"((log10_f + (((0.07403479 * log10_f) * log10_sigma) - 8.949909)) * log10_f) + 15.127666"
15,0.0006741857,"(((log10_sigma * 0.12756573) + -0.648742) * ((log10_f * log10_f) - (log10_lambda * -1.0336266))) + 0.591308"
17,0.0006718903,"((((log10_f * log10_f) - 0.9379844) - (log10_lambda * -1.0135444)) * ((log10_sigma * 0.14966637) + -0.7550187)) + 0.56119585"
19,0.0006544905,"(((log10_f * log10_f) - (log10_lambda * -1.0366827)) * ((log10_sigma * 0.12787826) + -0.64314)) + ((log10_lambda_prime * 0.022599315) + 0.63432986)"
21,0.00064940174,"(((log10_f * log10_f) - (log10_lambda * -1.1612437)) * ((log10_sigma * 0.17365193) + -0.840431)) + (1.2804984 - ((log10_sigma * 0.056919582) * log10_f))"
23,0.00063309656,"(log10_sigma * ((log10_k0_prime * 0.014031002) / log10_f)) + ((((log10_sigma * 0.13552928) + -0.69558644) * ((log10_f * log10_f) - (log10_lambda * -1.0485525))) + 0.81806034)"
24,0.00062266015,"(((log10_f * log10_f) - (log10_lambda * -1.0501677)) * ((log10_sigma * 0.11860743) + (((log10_k0_prime + (sqrt(log10_sigma) * log10_sigma)) * 0.003267173) + -0.6134107))) + 0.5935073"
