Complexity,Loss,Equation
1,0.018916525,"0.36012223"
3,0.008695089,"log10_sigma + -4.3290687"
4,0.0026619176,"log(log10_sigma + -3.2315516)"
5,0.0016903734,"-2.5032015 - (log10_sigma * -0.61062235)"
7,0.0011510503,"-2.4692779 - (log10_sigma * (-1.8458539 / log10_f))"
9,0.0010091376,"(20.67483 - (log10_sigma * (15.46131 / log10_f))) / log10_k0_prime"
11,0.0008994972,"(-24.345802 - (log10_sigma * (-18.218393 / log10_f))) / (alpha_infinity - log10_k0_prime)"
13,0.0007048889,"((log10_f / (alpha_infinity - log10_k0_prime)) + 0.24730724) - ((log10_sigma * -0.6108497) + log10_f)"
14,0.0006970266,"(log10_f / sqrt(alpha_infinity - log10_k0_prime)) + (-3.4926414 - (log10_sigma * (-1.8804321 / log10_f)))"
15,0.00062434404,"((-1.0130063 - ((log10_sigma * -0.5724594) / log10_f)) / (log10_f / (alpha_infinity - log10_k0_prime))) - -0.80090714"
17,0.00058675633,"log10_f * (((-0.3316318 - ((log10_sigma * -0.18859474) / log10_f)) / (log10_f / (alpha_infinity - log10_k0_prime))) - -0.25617337)"
19,0.00058433623,"(log10_f * (((-0.33168045 - ((log10_sigma * -0.18838741) / log10_f)) / (log10_f / (alpha_infinity - log10_k0_prime))) - -0.23610581)) - -0.06505469"
