Complexity,Loss,Equation
1,0.008836448,"0.47511417"
3,0.0060807522,"log10_sigma * 0.10183208"
4,0.0030981663,"log(log10_sigma / log10_f)"
5,0.001953128,"(log10_sigma / log10_f) - 1.1287804"
7,0.0016766601,"((log10_sigma + 3.130503) / log10_f) - 2.1995375"
9,0.0014897098,"((log10_sigma / log10_f) - (log10_k0_prime * -0.056689397)) + -0.65181065"
11,0.0013314843,"(log10_f + ((-2.4784052 - log10_sigma) + log10_f)) * (3.0257547 / log10_k0_prime)"
13,0.00132953,"((((log10_f + (-2.569194 - log10_sigma)) + log10_f) * 3.0269215) / log10_k0_prime) + -0.032967426"
14,0.0011066751,"(((log10_sigma * 2.2221413) / log10_f) / log(alpha_infinity - log10_k0_prime)) + (log10_f * -0.36829215)"
15,0.0010848063,"(((log10_sigma * 2.2381957) / log10_f) / log(sqrt(alpha_infinity) - log10_k0_prime)) + (log10_f * -0.37939012)"
16,0.0010650188,"(log10_f * -0.3773159) + (((2.3482575 / log10_f) * log10_sigma) / log((alpha_infinity + 0.9306954) - log10_k0_prime))"
18,0.0010005673,"((log(log10_f) + 0.099038355) - ((log10_sigma / log10_f) / log(log((alpha_infinity - log10_lambda) - log10_k0_prime)))) / -1.012641"
19,0.00094306504,"log((log(log10_f + -1.2323445) - ((log10_sigma / log10_f) / log(log((alpha_infinity - log10_lambda) - log10_k0_prime)))) / -0.699789)"
20,0.00091098936,"sqrt((((3.1173995 / log10_f) * log10_sigma) / log((log(alpha_infinity) + 0.45339993) - log10_k0_prime)) + (log10_f * -0.58148015)) - 0.2583268"
21,0.00088673504,"log(((-0.44417205 - (log10_sigma / (log10_f * log(log((-0.120891355 - log10_lambda) + (alpha_infinity - log10_k0_prime)))))) + log(log10_f)) / -0.63796437)"
22,0.0008196329,"log(sqrt((log(log10_f) + (0.051502623 - (log10_sigma / (log(log((alpha_infinity - log10_lambda) - log10_k0_prime)) * log10_f)))) / -4.020873) * 4.469297)"
24,0.00080336747,"log(sqrt(((log(log10_f) + 0.1465345) - (log10_sigma / (log10_f * log(log((alpha_infinity - log10_lambda) - log10_k0_prime))))) / -4.024321) * 5.5934877) * 0.79744554"
