complexity,loss,equation,score,sympy_format,lambda_format
1,0.026213907,0.2742651,0.0,0.274265100000000,PySRFunction(X=>0.274265100000000)
3,0.0060174507,log10_sigma + -4.414917,0.7358131867990125,log10_sigma - 4.414917,PySRFunction(X=>log10_sigma - 4.414917)
4,0.0029736476,log(log10_sigma + -3.3495862),0.7048743504647019,log(log10_sigma - 3.3495862),PySRFunction(X=>log(log10_sigma - 3.3495862))
5,0.0023583786,(log10_sigma * 0.71857464) + -3.0952594,0.23181499838247052,log10_sigma*0.71857464 - 3.0952594,PySRFunction(X=>log10_sigma*0.71857464 - 3.0952594)
7,0.002317672,((-4.712292 + log10_sigma) / alpha_infinity) - -0.28992465,0.00870555770609214,-1*(-0.28992465) + (log10_sigma - 4.712292)/alpha_infinity,PySRFunction(X=>-1*(-0.28992465) + (log10_sigma - 4.712292)/alpha_infinity)
8,0.0023036445,((log10_sigma + -4.8731217) / sqrt(alpha_infinity)) - -0.4244258,0.006070799557430836,0.4244258 + (log10_sigma - 4.8731217)/sqrt(alpha_infinity),PySRFunction(X=>0.4244258 + (log10_sigma - 4.8731217)/sqrt(alpha_infinity))
9,0.0017547965,((log10_sigma + -5.384064) * (-2.943733 / log10_lambda)) - -0.7791971,0.2721395382750156,-1*(-0.7791971) + (log10_sigma - 5.384064)*(-2.943733)/log10_lambda,PySRFunction(X=>-1*(-0.7791971) + (log10_sigma - 5.384064)*(-2.943733)/log10_lambda)
11,0.0014779848,(((log10_sigma + -5.1659675) * -4.051518) / (log10_lambda - alpha_infinity)) - -0.6203525,0.0858366787366542,-1*(-0.6203525) + (log10_sigma - 5.1659675)*(-4.051518)/(-alpha_infinity + log10_lambda),PySRFunction(X=>-1*(-0.6203525) + (log10_sigma - 5.1659675)*(-4.051518)/(-alpha_infinity + log10_lambda))
12,0.0014432333,(((log10_sigma + -5.208947) * -3.2426128) / (log10_lambda - log(alpha_infinity))) - -0.6524611,0.02379359452025,(16.8905982167216 - 3.2426128*log10_sigma)/(log10_lambda - log(alpha_infinity)) + 0.6524611,PySRFunction(X=>(16.8905982167216 - 3.2426128*log10_sigma)/(log10_lambda - log(alpha_infinity)) + 0.6524611)
14,0.0014321402,((log10_sigma + -5.208947) * ((-3.2426128 / log10_lambda) - (log(alpha_infinity) / log10_sigma))) - -0.6524611,0.0038579875055404756,(log10_sigma - 5.208947)*(-log(alpha_infinity)/log10_sigma - 3.2426128/log10_lambda) + 0.6524611,PySRFunction(X=>(log10_sigma - 5.208947)*(-log(alpha_infinity)/log10_sigma - 3.2426128/log10_lambda) + 0.6524611)
