complexity,loss,equation,score,sympy_format,lambda_format
1,0.026387004,0.296022,0.0,0.296022000000000,PySRFunction(X=>0.296022000000000)
3,0.0039436636,log10_sigma + -4.3931627,0.9503807386170038,log10_sigma - 4.3931627,PySRFunction(X=>log10_sigma - 4.3931627)
4,0.001211226,log(log10_sigma + -3.3232923),1.1804770691999438,log(log10_sigma - 3.3232923),PySRFunction(X=>log(log10_sigma - 3.3232923))
5,0.0008896025,(log10_sigma * 0.7428963) + -3.1875556,0.30861361502301743,log10_sigma*0.7428963 - 3.1875556,PySRFunction(X=>log10_sigma*0.7428963 - 3.1875556)
7,0.0008896024,((log10_sigma * 0.74288994) - -2.0053613) + -5.192887,5.6204881188475145e-08,log10_sigma*0.74288994 - 5.192887 - 1*(-2.0053613),PySRFunction(X=>log10_sigma*0.74288994 - 5.192887 - 1*(-2.0053613))
8,0.00075116096,(-2.0345917 - log(log10_f)) + (log10_sigma * 0.74290025),0.16915466497189247,0.74290025*log10_sigma - log(log10_f) - 2.0345917,PySRFunction(X=>0.74290025*log10_sigma - log(log10_f) - 2.0345917)
9,0.00073521235,(log10_f * ((log10_sigma * 0.23454134) + -1.5158924)) + 1.6140791,0.021460587311959774,log10_f*(log10_sigma*0.23454134 - 1.5158924) + 1.6140791,PySRFunction(X=>log10_f*(log10_sigma*0.23454134 - 1.5158924) + 1.6140791)
11,0.0007313788,(log10_f * (((log10_sigma * 0.074033484) * log10_f) + -2.614871)) + 5.0953994,0.00261392463130328,log10_f*(log10_sigma*0.074033484*log10_f - 2.614871) + 5.0953994,PySRFunction(X=>log10_f*(log10_sigma*0.074033484*log10_f - 2.614871) + 5.0953994)
13,0.00073023874,((log10_f + (((0.07403479 * log10_f) * log10_sigma) - 8.949909)) * log10_f) + 15.127666,0.0007799990079508744,log10_f*(0.07403479*log10_f*log10_sigma + log10_f - 1*8.949909) + 15.127666,PySRFunction(X=>log10_f*(0.07403479*log10_f*log10_sigma + log10_f - 1*8.949909) + 15.127666)
15,0.0006741857,(((log10_sigma * 0.12756573) + -0.648742) * ((log10_f * log10_f) - (log10_lambda * -1.0336266))) + 0.591308,0.03993296476018637,(log10_sigma*0.12756573 - 0.648742)*(log10_f*log10_f - (-1.0336266)*log10_lambda) + 0.591308,PySRFunction(X=>(log10_sigma*0.12756573 - 0.648742)*(log10_f*log10_f - (-1.0336266)*log10_lambda) + 0.591308)
17,0.0006718903,((((log10_f * log10_f) - 0.9379844) - (log10_lambda * -1.0135444)) * ((log10_sigma * 0.14966637) + -0.7550187)) + 0.56119585,0.0017052545509507356,(log10_sigma*0.14966637 - 0.7550187)*(log10_f*log10_f - (-1.0135444)*log10_lambda - 1*0.9379844) + 0.56119585,PySRFunction(X=>(log10_sigma*0.14966637 - 0.7550187)*(log10_f*log10_f - (-1.0135444)*log10_lambda - 1*0.9379844) + 0.56119585)
19,0.0006544905,(((log10_f * log10_f) - (log10_lambda * -1.0366827)) * ((log10_sigma * 0.12787826) + -0.64314)) + ((log10_lambda_prime * 0.022599315) + 0.63432986),0.013119006401012946,log10_lambda_prime*0.022599315 + (log10_sigma*0.12787826 - 0.64314)*(log10_f*log10_f - (-1.0366827)*log10_lambda) + 0.63432986,PySRFunction(X=>log10_lambda_prime*0.022599315 + (log10_sigma*0.12787826 - 0.64314)*(log10_f*log10_f - (-1.0366827)*log10_lambda) + 0.63432986)
21,0.00064940174,(((log10_f * log10_f) - (log10_lambda * -1.1612437)) * ((log10_sigma * 0.17365193) + -0.840431)) + (1.2804984 - ((log10_sigma * 0.056919582) * log10_f)),0.0039027656431113947,-0.056919582*log10_f*log10_sigma + (log10_sigma*0.17365193 - 0.840431)*(log10_f*log10_f - (-1.1612437)*log10_lambda) + 1.2804984,PySRFunction(X=>-0.056919582*log10_f*log10_sigma + (log10_sigma*0.17365193 - 0.840431)*(log10_f*log10_f - (-1.1612437)*log10_lambda) + 1.2804984)
23,0.00063309656,(log10_sigma * ((log10_k0_prime * 0.014031002) / log10_f)) + ((((log10_sigma * 0.13552928) + -0.69558644) * ((log10_f * log10_f) - (log10_lambda * -1.0485525))) + 0.81806034),0.012714292553497986,(log10_sigma*0.13552928 - 0.69558644)*(log10_f*log10_f - (-1.0485525)*log10_lambda) + 0.81806034 + log10_sigma*log10_k0_prime*0.014031002/log10_f,PySRFunction(X=>(log10_sigma*0.13552928 - 0.69558644)*(log10_f*log10_f - (-1.0485525)*log10_lambda) + 0.81806034 + log10_sigma*log10_k0_prime*0.014031002/log10_f)
24,0.00062266015,(((log10_f * log10_f) - (log10_lambda * -1.0501677)) * ((log10_sigma * 0.11860743) + (((log10_k0_prime + (sqrt(log10_sigma) * log10_sigma)) * 0.003267173) + -0.6134107))) + 0.5935073,0.01662208962737211,(log10_f**2 + 1.0501677*log10_lambda)*(0.003267173*log10_k0_prime + 0.003267173*log10_sigma**(3/2) + 0.11860743*log10_sigma - 0.6134107) + 0.5935073,PySRFunction(X=>(log10_f**2 + 1.0501677*log10_lambda)*(0.003267173*log10_k0_prime + 0.003267173*log10_sigma**(3/2) + 0.11860743*log10_sigma - 0.6134107) + 0.5935073)
