complexity,loss,equation,score,sympy_format,lambda_format
1,0.017317459,0.76509833,0.0,0.765098330000000,PySRFunction(X=>0.765098330000000)
3,0.0042670714,1.9275517 / log10_f,0.700393723115473,1.9275517/log10_f,PySRFunction(X=>1.9275517/log10_f)
4,0.0014124404,sqrt(3.1423302 - log10_f),1.1056087486756232,sqrt(3.1423302 - log10_f),PySRFunction(X=>sqrt(3.1423302 - log10_f))
5,0.0006715528,sqrt(sqrt(2.9228091 - log10_f)),0.7434816246350024,(2.9228091 - log10_f)**(1/4),PySRFunction(X=>(2.9228091 - log10_f)**(1/4))
7,0.00064619654,sqrt(sqrt(2.9143574 - log10_f) * 1.0212171),0.019244471904246455,1.01055286848339*(2.9143574 - log10_f)**(1/4),PySRFunction(X=>1.01055286848339*(2.9143574 - log10_f)**(1/4))
8,0.00055694755,log10_f * log((5.2942834 - log10_f) / 2.0192537),0.1486326286737046,log10_f*log(2.62190105185891 - 0.495232471283821*log10_f),PySRFunction(X=>log10_f*log(2.62190105185891 - 0.495232471283821*log10_f))
10,0.00055152265,log((3.7277963 - log10_f) * (log10_f / 1.6804503)) * 1.3518782,0.004894081331541798,1.3518782*log(0.595078592922385*log10_f*(3.7277963 - log10_f)),PySRFunction(X=>1.3518782*log(0.595078592922385*log10_f*(3.7277963 - log10_f)))
12,0.00054901245,log((5.3632317 - log10_f) / 2.1076348) * ((log10_f + -0.21447504) * 1.1639098),0.0022808944058997785,(1.1639098*log10_f - 0.249629600911392)*log(2.54466841219361 - 0.474465500379857*log10_f),PySRFunction(X=>(1.1639098*log10_f - 0.249629600911392)*log(2.54466841219361 - 0.474465500379857*log10_f))
18,0.00048682207,(log(log(3.56827 / log10_f) * (log(log10_f / 0.2399092) * log10_f)) + 0.2491696) - (log10_k0_prime * -0.020290952),0.020037070311389762,0.020290952*log10_k0_prime + log(log10_f*log(3.56827/log10_f)*log(4.16824365218174*log10_f)) + 0.2491696,PySRFunction(X=>0.020290952*log10_k0_prime + log(log10_f*log(3.56827/log10_f)*log(4.16824365218174*log10_f)) + 0.2491696)
20,0.00047149233,log(log(log10_f / 0.3116533) * ((log(3.541534 / log10_f) * log10_f) - (-0.18900608 - (log10_k0_prime * 0.0211678)))) + 0.20903933,0.015997931135362988,log((log10_f*log(3.541534/log10_f) + 0.0211678*log10_k0_prime + 0.18900608)*log(3.20869376322985*log10_f)) + 0.20903933,PySRFunction(X=>log((log10_f*log(3.541534/log10_f) + 0.0211678*log10_k0_prime + 0.18900608)*log(3.20869376322985*log10_f)) + 0.20903933)
21,0.00046969313,(log(log(3.5696793 / log10_f) * (log(log10_f / 0.23536325) * log10_f)) + 0.25074133) - ((log10_k0_prime - log(alpha_infinity)) * -0.02057921),0.003823268140227816,0.02057921*log10_k0_prime - 0.02057921*log(alpha_infinity) + log(log10_f*log(3.5696793/log10_f)*log(4.24875166365182*log10_f)) + 0.25074133,PySRFunction(X=>0.02057921*log10_k0_prime - 0.02057921*log(alpha_infinity) + log(log10_f*log(3.5696793/log10_f)*log(4.24875166365182*log10_f)) + 0.25074133)
23,0.0004680144,log(log(3.5605707 / log10_f) * (log10_f * log(log10_f / 0.23125683))) + (0.24016833 - ((log(alpha_infinity / log10_f) - log10_k0_prime) * 0.021574866)),0.0017902509468404831,0.021574866*log10_k0_prime - 0.021574866*log(alpha_infinity/log10_f) + log(log10_f*log(3.5605707/log10_f)*log(4.32419660859314*log10_f)) + 0.24016833,PySRFunction(X=>0.021574866*log10_k0_prime - 0.021574866*log(alpha_infinity/log10_f) + log(log10_f*log(3.5605707/log10_f)*log(4.32419660859314*log10_f)) + 0.24016833)
24,0.00046764937,log((log10_f * log(3.558394 / log10_f)) * log(log10_f / 0.25390574)) + (0.29356858 - ((log(alpha_infinity / sqrt(log10_f)) - log10_k0_prime) * 0.021778343)),0.000780258956739017,0.021778343*log10_k0_prime - 0.021778343*log(alpha_infinity/sqrt(log10_f)) + log(log10_f*log(3.558394/log10_f)*log(3.93846944933187*log10_f)) + 0.29356858,PySRFunction(X=>0.021778343*log10_k0_prime - 0.021778343*log(alpha_infinity/sqrt(log10_f)) + log(log10_f*log(3.558394/log10_f)*log(3.93846944933187*log10_f)) + 0.29356858)
