complexity,loss,equation,score,sympy_format,lambda_format
1,0.008836448,0.47511417,0.0,0.475114170000000,PySRFunction(X=>0.475114170000000)
3,0.0060807522,log10_sigma * 0.10183208,0.18687829025827074,log10_sigma*0.10183208,PySRFunction(X=>log10_sigma*0.10183208)
4,0.0030981663,log(log10_sigma / log10_f),0.6743179850836254,log(log10_sigma/log10_f),PySRFunction(X=>log(log10_sigma/log10_f))
5,0.001953128,(log10_sigma / log10_f) - 1.1287804,0.4613782304059337,-1*1.1287804 + log10_sigma/log10_f,PySRFunction(X=>-1*1.1287804 + log10_sigma/log10_f)
7,0.0016766601,((log10_sigma + 3.130503) / log10_f) - 2.1995375,0.07631420550328755,-1*2.1995375 + (log10_sigma + 3.130503)/log10_f,PySRFunction(X=>-1*2.1995375 + (log10_sigma + 3.130503)/log10_f)
9,0.0014897098,((log10_sigma / log10_f) - (log10_k0_prime * -0.056689397)) + -0.65181065,0.059111221523681645,-(-0.056689397)*log10_k0_prime - 0.65181065 + log10_sigma/log10_f,PySRFunction(X=>-(-0.056689397)*log10_k0_prime - 0.65181065 + log10_sigma/log10_f)
11,0.0013314843,(log10_f + ((-2.4784052 - log10_sigma) + log10_f)) * (3.0257547 / log10_k0_prime),0.05614350044904802,(log10_f + log10_f - log10_sigma - 2.4784052)*3.0257547/log10_k0_prime,PySRFunction(X=>(log10_f + log10_f - log10_sigma - 2.4784052)*3.0257547/log10_k0_prime)
13,0.00132953,((((log10_f + (-2.569194 - log10_sigma)) + log10_f) * 3.0269215) / log10_k0_prime) + -0.032967426,0.0007344193345239737,-0.032967426 + (log10_f + log10_f - log10_sigma - 2.569194)*3.0269215/log10_k0_prime,PySRFunction(X=>-0.032967426 + (log10_f + log10_f - log10_sigma - 2.569194)*3.0269215/log10_k0_prime)
14,0.0011066751,(((log10_sigma * 2.2221413) / log10_f) / log(alpha_infinity - log10_k0_prime)) + (log10_f * -0.36829215),0.18346538160718792,-0.36829215*log10_f + 2.2221413*log10_sigma/(log10_f*log(alpha_infinity - log10_k0_prime)),PySRFunction(X=>-0.36829215*log10_f + 2.2221413*log10_sigma/(log10_f*log(alpha_infinity - log10_k0_prime)))
15,0.0010848063,(((log10_sigma * 2.2381957) / log10_f) / log(sqrt(alpha_infinity) - log10_k0_prime)) + (log10_f * -0.37939012),0.01995866900392512,-0.37939012*log10_f + 2.2381957*log10_sigma/(log10_f*log(sqrt(alpha_infinity) - log10_k0_prime)),PySRFunction(X=>-0.37939012*log10_f + 2.2381957*log10_sigma/(log10_f*log(sqrt(alpha_infinity) - log10_k0_prime)))
16,0.0010650188,(log10_f * -0.3773159) + (((2.3482575 / log10_f) * log10_sigma) / log((alpha_infinity + 0.9306954) - log10_k0_prime)),0.01840899412151117,-0.3773159*log10_f + 2.3482575*log10_sigma/(log10_f*log(alpha_infinity - log10_k0_prime + 0.9306954)),PySRFunction(X=>-0.3773159*log10_f + 2.3482575*log10_sigma/(log10_f*log(alpha_infinity - log10_k0_prime + 0.9306954)))
18,0.0010005673,((log(log10_f) + 0.099038355) - ((log10_sigma / log10_f) / log(log((alpha_infinity - log10_lambda) - log10_k0_prime)))) / -1.012641,0.03121265622077805,-0.987516800129562*log(log10_f) - 0.0978020394196956 + 0.987516800129562*log10_sigma/(log10_f*log(log(alpha_infinity - log10_k0_prime - log10_lambda))),PySRFunction(X=>-0.987516800129562*log(log10_f) - 0.0978020394196956 + 0.987516800129562*log10_sigma/(log10_f*log(log(alpha_infinity - log10_k0_prime - log10_lambda))))
19,0.00094306504,log((log(log10_f + -1.2323445) - ((log10_sigma / log10_f) / log(log((alpha_infinity - log10_lambda) - log10_k0_prime)))) / -0.699789),0.05918716650530754,log(-1.4290021706543*log(log10_f - 1.2323445) + 1.4290021706543*log10_sigma/(log10_f*log(log(alpha_infinity - log10_k0_prime - log10_lambda)))),PySRFunction(X=>log(-1.4290021706543*log(log10_f - 1.2323445) + 1.4290021706543*log10_sigma/(log10_f*log(log(alpha_infinity - log10_k0_prime - log10_lambda)))))
