complexity,loss,equation,score,sympy_format,lambda_format
1,0.015648501,0.29755032,0.0,0.297550320000000,PySRFunction(X=>0.297550320000000)
3,0.013361041,log10_sigma * 0.064200625,0.07901602270823095,log10_sigma*0.064200625,PySRFunction(X=>log10_sigma*0.064200625)
4,0.0094339885,log(log10_sigma * 0.28747156),0.34802411836843317,log(0.28747156*log10_sigma),PySRFunction(X=>log(0.28747156*log10_sigma))
5,0.007507874,(log10_sigma * 0.41976586) + -1.6708105,0.22836662938185584,log10_sigma*0.41976586 - 1.6708105,PySRFunction(X=>log10_sigma*0.41976586 - 1.6708105)
6,0.007446993,log(log10_sigma * 0.25840515) * alpha_infinity,0.008142009732109674,alpha_infinity*log(0.25840515*log10_sigma),PySRFunction(X=>alpha_infinity*log(0.25840515*log10_sigma))
7,0.0071446747,(log10_sigma + -3.9713655) * (log10_lambda * -0.10253694),0.04144304474835077,(log10_sigma - 3.9713655)*log10_lambda*(-0.10253694),PySRFunction(X=>(log10_sigma - 3.9713655)*log10_lambda*(-0.10253694))
8,0.006497368,((log10_sigma * 0.32209927) - 1.2683908) * sqrt(alpha_infinity),0.09497011018270507,sqrt(alpha_infinity)*(0.32209927*log10_sigma - 1.2683908),PySRFunction(X=>sqrt(alpha_infinity)*(0.32209927*log10_sigma - 1.2683908))
9,0.0043527354,(((log10_sigma * 0.65145177) - 3.3613985) / alpha_infinity) + 0.50457877,0.4005926967636032,0.50457877 + (log10_sigma*0.65145177 - 1*3.3613985)/alpha_infinity,PySRFunction(X=>0.50457877 + (log10_sigma*0.65145177 - 1*3.3613985)/alpha_infinity)
11,0.0035933866,(log10_lambda * -0.124164656) + ((-3.441938 - (log10_sigma * -0.6690664)) / alpha_infinity),0.09585468730351344,log10_lambda*(-0.124164656) + (-(-0.6690664)*log10_sigma - 3.441938)/alpha_infinity,PySRFunction(X=>log10_lambda*(-0.124164656) + (-(-0.6690664)*log10_sigma - 3.441938)/alpha_infinity)
13,0.0034901358,((((log10_sigma * 0.66164905) - 3.3969343) / alpha_infinity) + (log10_lambda * -0.1881547)) + -0.2666418,0.014577226909225416,log10_lambda*(-0.1881547) - 0.2666418 + (log10_sigma*0.66164905 - 1*3.3969343)/alpha_infinity,PySRFunction(X=>log10_lambda*(-0.1881547) - 0.2666418 + (log10_sigma*0.66164905 - 1*3.3969343)/alpha_infinity)
15,0.0030543741,((log10_sigma + (log10_lambda + 0.9882328)) * (((log10_sigma * 0.55423194) - 2.8101478) / alpha_infinity)) + 0.5099071,0.06668297612458106,0.5099071 + (log10_sigma*0.55423194 - 1*2.8101478)*(log10_lambda + log10_sigma + 0.9882328)/alpha_infinity,PySRFunction(X=>0.5099071 + (log10_sigma*0.55423194 - 1*2.8101478)*(log10_lambda + log10_sigma + 0.9882328)/alpha_infinity)
17,0.0029785563,(log10_lambda * -0.11812251) + (((log10_sigma * 0.56275445) - 2.8180575) / (alpha_infinity / ((log10_lambda + 1.0168171) + log10_sigma))),0.01256798717151551,log10_lambda*(-0.11812251) + (log10_sigma*0.56275445 - 1*2.8180575)/((alpha_infinity/(log10_lambda + log10_sigma + 1.0168171))),PySRFunction(X=>log10_lambda*(-0.11812251) + (log10_sigma*0.56275445 - 1*2.8180575)/((alpha_infinity/(log10_lambda + log10_sigma + 1.0168171))))
18,0.0024015964,(((log10_sigma * 0.64031565) - 3.158454) / (0.94223934 / log((log10_lambda + 3.125096) + (log10_sigma / alpha_infinity)))) + 0.41149756,0.21530503714463686,1.06130147357252*(0.64031565*log10_sigma - 3.158454)*log(log10_lambda + 3.125096 + log10_sigma/alpha_infinity) + 0.41149756,PySRFunction(X=>1.06130147357252*(0.64031565*log10_sigma - 3.158454)*log(log10_lambda + 3.125096 + log10_sigma/alpha_infinity) + 0.41149756)
19,0.0018726495,(((log10_sigma * 0.8041929) - 3.9590893) / (0.83691996 / ((log(log(log10_sigma / alpha_infinity)) + 4.4845166) + log10_lambda))) + 0.40430915,0.2487794098866774,(0.8041929*log10_sigma - 3.9590893)*(1.19485739114168*log10_lambda + 1.19485739114168*log(log(log10_sigma/alpha_infinity)) + 5.35835780520756) + 0.40430915,PySRFunction(X=>(0.8041929*log10_sigma - 3.9590893)*(1.19485739114168*log10_lambda + 1.19485739114168*log(log(log10_sigma/alpha_infinity)) + 5.35835780520756) + 0.40430915)
21,0.0018587767,((((log10_sigma * 0.80433977) - 3.9572654) / (0.8454339 / ((log10_lambda + log(log(log10_sigma / alpha_infinity))) + 4.476974))) + 0.5864356) - 0.18390892,0.0037178449136337703,(0.80433977*log10_sigma - 3.9572654)*(1.18282458273793*log10_lambda + 1.18282458273793*log(log(log10_sigma/alpha_infinity)) + 5.29547490347856) + 0.40252668,PySRFunction(X=>(0.80433977*log10_sigma - 3.9572654)*(1.18282458273793*log10_lambda + 1.18282458273793*log(log(log10_sigma/alpha_infinity)) + 5.29547490347856) + 0.40252668)
23,0.0018581296,(((((log10_sigma * 0.80411315) - 3.9590676) / (0.83731645 / ((log(log(log10_sigma / alpha_infinity)) + log10_lambda) + 4.4857025))) + 0.5949956) / 1.0250847) - 0.17581427,0.00017409640015346285,0.975529144079509*(0.80411315*log10_sigma - 3.9590676)*(1.19429159668367*log10_lambda + 1.19429159668367*log(log(log10_sigma/alpha_infinity)) + 5.35723680097292) + 0.404621278399074,PySRFunction(X=>0.975529144079509*(0.80411315*log10_sigma - 3.9590676)*(1.19429159668367*log10_lambda + 1.19429159668367*log(log(log10_sigma/alpha_infinity)) + 5.35723680097292) + 0.404621278399074)
