Complexity,Loss,Equation
1,0.026213907,"0.2742651"
3,0.0060174507,"log10_sigma + -4.414917"
4,0.0029736476,"log(log10_sigma + -3.3495862)"
5,0.0023583786,"(log10_sigma * 0.71857464) + -3.0952594"
7,0.002317672,"((-4.712292 + log10_sigma) / alpha_infinity) - -0.28992465"
8,0.0023036445,"((log10_sigma + -4.8731217) / sqrt(alpha_infinity)) - -0.4244258"
9,0.0017547965,"((log10_sigma + -5.384064) * (-2.943733 / log10_lambda)) - -0.7791971"
11,0.0014779848,"(((log10_sigma + -5.1659675) * -4.051518) / (log10_lambda - alpha_infinity)) - -0.6203525"
12,0.0014432333,"(((log10_sigma + -5.208947) * -3.2426128) / (log10_lambda - log(alpha_infinity))) - -0.6524611"
14,0.0014321402,"((log10_sigma + -5.208947) * ((-3.2426128 / log10_lambda) - (log(alpha_infinity) / log10_sigma))) - -0.6524611"
15,0.0014096024,"(((log10_sigma + -5.1773376) * -3.2250555) / (log10_lambda - ((alpha_infinity * 0.74211746) - 0.7769734))) - -0.63044596"
16,0.0013027999,"((log10_sigma + -5.0757227) * ((-3.268148 / log10_lambda) - (log(alpha_infinity) / (log10_sigma - -0.117507055)))) - -0.55208105"
17,0.0012849614,"(log10_lambda_prime * (((log10_sigma + -5.056057) / ((log10_lambda + 4.4857445) + (log10_lambda - alpha_infinity))) - 0.048049096)) + 0.3616672"
18,0.0012443415,"((log10_sigma + -4.988446) * ((-3.4416661 / log10_lambda) - (log(alpha_infinity) / (log10_sigma - (alpha_infinity - 0.6760788))))) - -0.49254158"
20,0.0011377165,"(log10_lambda_prime * ((log10_sigma + -4.8977933) / ((log10_lambda + log((log10_lambda + (1.1718546 + log10_f)) * log10_sigma)) - alpha_infinity))) + 0.4266245"
21,0.0011119578,"(((log10_sigma + -4.9196296) / ((log(log10_sigma * ((log10_f + log(log10_f)) + log10_lambda)) - alpha_infinity) + log10_lambda)) * -3.719297) + 0.44242358"
23,0.0011092538,"(((log10_sigma + -4.912926) / (log10_lambda + ((log(log10_sigma * (log10_lambda + (log(log10_f) + log10_f))) - alpha_infinity) / 0.9555993))) * -3.7491896) + 0.43705693"
