Complexity,Loss,Equation
1,0.017317459,"0.76509833"
3,0.0042670714,"1.9275517 / log10_f"
4,0.0014124404,"sqrt(3.1423302 - log10_f)"
5,0.0006715528,"sqrt(sqrt(2.9228091 - log10_f))"
7,0.00064619654,"sqrt(sqrt(2.9143574 - log10_f) * 1.0212171)"
8,0.00055694755,"log10_f * log((5.2942834 - log10_f) / 2.0192537)"
10,0.00055152265,"log((3.7277963 - log10_f) * (log10_f / 1.6804503)) * 1.3518782"
12,0.00054901245,"log((5.3632317 - log10_f) / 2.1076348) * ((log10_f + -0.21447504) * 1.1639098)"
18,0.00048682207,"(log(log(3.56827 / log10_f) * (log(log10_f / 0.2399092) * log10_f)) + 0.2491696) - (log10_k0_prime * -0.020290952)"
20,0.00047149233,"log(log(log10_f / 0.3116533) * ((log(3.541534 / log10_f) * log10_f) - (-0.18900608 - (log10_k0_prime * 0.0211678)))) + 0.20903933"
21,0.00046969313,"(log(log(3.5696793 / log10_f) * (log(log10_f / 0.23536325) * log10_f)) + 0.25074133) - ((log10_k0_prime - log(alpha_infinity)) * -0.02057921)"
23,0.0004680144,"log(log(3.5605707 / log10_f) * (log10_f * log(log10_f / 0.23125683))) + (0.24016833 - ((log(alpha_infinity / log10_f) - log10_k0_prime) * 0.021574866))"
24,0.00046764937,"log((log10_f * log(3.558394 / log10_f)) * log(log10_f / 0.25390574)) + (0.29356858 - ((log(alpha_infinity / sqrt(log10_f)) - log10_k0_prime) * 0.021778343))"
