Complexity,Loss,Equation
1,0.015648501,"0.29755032"
3,0.013361041,"log10_sigma * 0.064200625"
4,0.0094339885,"log(log10_sigma * 0.28747156)"
5,0.007507874,"(log10_sigma * 0.41976586) + -1.6708105"
6,0.007446993,"log(log10_sigma * 0.25840515) * alpha_infinity"
7,0.0071446747,"(log10_sigma + -3.9713655) * (log10_lambda * -0.10253694)"
8,0.006497368,"((log10_sigma * 0.32209927) - 1.2683908) * sqrt(alpha_infinity)"
9,0.0043527354,"(((log10_sigma * 0.65145177) - 3.3613985) / alpha_infinity) + 0.50457877"
11,0.0035933866,"(log10_lambda * -0.124164656) + ((-3.441938 - (log10_sigma * -0.6690664)) / alpha_infinity)"
13,0.0034901358,"((((log10_sigma * 0.66164905) - 3.3969343) / alpha_infinity) + (log10_lambda * -0.1881547)) + -0.2666418"
15,0.0030543741,"((log10_sigma + (log10_lambda + 0.9882328)) * (((log10_sigma * 0.55423194) - 2.8101478) / alpha_infinity)) + 0.5099071"
17,0.0029785563,"(log10_lambda * -0.11812251) + (((log10_sigma * 0.56275445) - 2.8180575) / (alpha_infinity / ((log10_lambda + 1.0168171) + log10_sigma)))"
18,0.0024015964,"(((log10_sigma * 0.64031565) - 3.158454) / (0.94223934 / log((log10_lambda + 3.125096) + (log10_sigma / alpha_infinity)))) + 0.41149756"
19,0.0018726495,"(((log10_sigma * 0.8041929) - 3.9590893) / (0.83691996 / ((log(log(log10_sigma / alpha_infinity)) + 4.4845166) + log10_lambda))) + 0.40430915"
21,0.0018587767,"((((log10_sigma * 0.80433977) - 3.9572654) / (0.8454339 / ((log10_lambda + log(log(log10_sigma / alpha_infinity))) + 4.476974))) + 0.5864356) - 0.18390892"
23,0.0018581296,"(((((log10_sigma * 0.80411315) - 3.9590676) / (0.83731645 / ((log(log(log10_sigma / alpha_infinity)) + log10_lambda) + 4.4857025))) + 0.5949956) / 1.0250847) - 0.17581427"
