Complexity,Loss,Equation
1,0.004565285,"0.3230114"
3,0.0035319966,"alpha_infinity * 0.20604762"
4,0.002979763,"sqrt(alpha_infinity) * 0.26188925"
5,0.0026823902,"(-1.1685618 - alpha_infinity) / log10_k0_prime"
7,0.0026750534,"((-1.7011681 - alpha_infinity) / log10_k0_prime) + -0.06353886"
8,0.0025560833,"log10_lambda * ((0.5420594 / log10_k0_prime) * sqrt(alpha_infinity))"
9,0.0024998754,"((log10_k0_prime + log10_sigma) * (0.07294929 / alpha_infinity)) + 0.5068388"
11,0.0023511206,"((log10_sigma + log10_k0_prime) * (-0.30155003 / (alpha_infinity * log10_lambda))) + 0.5107573"
12,0.002336125,"sqrt(((log10_sigma + log10_k0_prime) * (-0.18142948 / (alpha_infinity * log10_lambda))) + 0.21955976)"
13,0.0023035095,"((log10_k0_prime + log10_sigma) / (((log10_lambda * alpha_infinity) + 0.5194883) * log10_lambda)) + 0.4925808"
16,0.0023014199,"log(((5.748145 / ((alpha_infinity * log10_lambda) * log10_lambda)) * ((log10_sigma + log10_k0_prime) / log10_f)) + 1.6328638)"
18,0.0022881315,"sqrt(((log10_sigma + log10_k0_prime) * (((log10_f - -2.001956) / ((log10_lambda * log10_lambda) * alpha_infinity)) / 7.7182636)) + 0.21730706)"
19,0.0022042112,"((((log10_k0_prime * (log10_sigma + -7.1559277)) / ((log10_lambda * alpha_infinity) * log10_lambda)) + -1.2381632) / (0.24306458 - log10_sigma)) + 0.24306458"
21,0.0021693823,"((((log10_sigma + -7.2030797) * (log10_k0_prime / (((log10_lambda * log10_lambda) * alpha_infinity) * 0.9502996))) + -1.6088228) / (-0.036243245 - log10_sigma)) + 0.1769771"
23,0.002006452,"((((log10_sigma + -6.8141794) * ((log10_sigma + log10_k0_prime) / ((alpha_infinity * (1.0346593 * log10_lambda)) * log10_lambda))) + -0.7179551) / (3.1344917 - log10_sigma)) + 0.06539718"
24,0.0019847804,"(((((log10_sigma + -9.143641) * (log10_k0_prime + log10_sigma)) / (sqrt(log10_f) * (log10_lambda * (alpha_infinity * log10_lambda)))) + -0.598949) / (2.7686448 - log10_sigma)) + 0.20212609"
