complexity,loss,equation,score,sympy_format,lambda_format
1,0.026213907,0.2742643,0.0,0.274264300000000,PySRFunction(X=>0.274264300000000)
3,0.006017451,log10_sigma + -4.414917,0.7358131618715135,log10_sigma - 4.414917,PySRFunction(X=>log10_sigma - 4.414917)
4,0.002973648,log(log10_sigma + -3.3495648),0.7048742658047784,log(log10_sigma - 3.3495648),PySRFunction(X=>log(log10_sigma - 3.3495648))
5,0.0023583786,(log10_sigma * 0.71857464) + -3.0952606,0.2318151328973919,log10_sigma*0.71857464 - 3.0952606,PySRFunction(X=>log10_sigma*0.71857464 - 3.0952606)
7,0.00217615,((log10_sigma + -4.794599) / alpha_infinity) + 0.34510848,0.040208544290936794,0.34510848 + (log10_sigma - 4.794599)/alpha_infinity,PySRFunction(X=>0.34510848 + (log10_sigma - 4.794599)/alpha_infinity)
9,0.0017596993,(((log10_sigma + -5.314911) / log10_lambda) * -2.9251857) + 0.7257426,0.10620715913048885,0.7257426 + (log10_sigma - 5.314911)*(-2.9251857)/log10_lambda,PySRFunction(X=>0.7257426 + (log10_sigma - 5.314911)*(-2.9251857)/log10_lambda)
11,0.001617146,((log10_sigma + -4.938804) / ((log10_lambda * 0.08411556) * log10_lambda)) + 0.45473808,0.042240037499844195,0.45473808 + (log10_sigma - 4.938804)/((log10_lambda*0.08411556*log10_lambda)),PySRFunction(X=>0.45473808 + (log10_sigma - 4.938804)/((log10_lambda*0.08411556*log10_lambda)))
12,0.0014431804,((log10_sigma + -4.9406343) / ((sqrt(alpha_infinity) * -0.27923506) * log10_lambda)) + 0.45563558,0.11381357787799606,0.45563558 - 3.58121218732347*(log10_sigma - 4.9406343)/(sqrt(alpha_infinity)*log10_lambda),PySRFunction(X=>0.45563558 - 3.58121218732347*(log10_sigma - 4.9406343)/(sqrt(alpha_infinity)*log10_lambda))
13,0.0013852553,((log10_sigma + -5.168104) / (log10_lambda * (sqrt(sqrt(alpha_infinity)) * -0.30652317))) + 0.6223917,0.0409648345205504,0.6223917 - 3.262396118375*(log10_sigma - 5.168104)/(alpha_infinity**(1/4)*log10_lambda),PySRFunction(X=>0.6223917 - 3.262396118375*(log10_sigma - 5.168104)/(alpha_infinity**(1/4)*log10_lambda))
14,0.001196512,((log10_sigma + -4.940565) / (((log10_lambda * log10_lambda) * sqrt(alpha_infinity)) * 0.06901893)) + 0.45572215,0.14647379721420284,0.45572215 + 14.4887786582609*(log10_sigma - 4.940565)/(sqrt(alpha_infinity)*log10_lambda**2),PySRFunction(X=>0.45572215 + 14.4887786582609*(log10_sigma - 4.940565)/(sqrt(alpha_infinity)*log10_lambda**2))
15,0.0011934476,(((log10_sigma + -5.0402822) / (log10_lambda * (log10_lambda * sqrt(sqrt(alpha_infinity))))) * 13.2526865) + 0.53031546,0.0025643962176797384,0.53031546 + 13.2526865*(log10_sigma - 5.0402822)/(alpha_infinity**(1/4)*log10_lambda**2),PySRFunction(X=>0.53031546 + 13.2526865*(log10_sigma - 5.0402822)/(alpha_infinity**(1/4)*log10_lambda**2))
16,0.0011199571,((log10_sigma + -4.8743253) / sqrt(((log10_lambda + 2.38638) * alpha_infinity) * (log10_lambda + log10_f))) + 0.40721148,0.06355588034832951,0.40721148 + (log10_sigma - 4.8743253)/sqrt(alpha_infinity*(log10_f + log10_lambda)*(log10_lambda + 2.38638)),PySRFunction(X=>0.40721148 + (log10_sigma - 4.8743253)/sqrt(alpha_infinity*(log10_f + log10_lambda)*(log10_lambda + 2.38638)))
18,0.0011117837,((log10_sigma + -4.922959) / (sqrt(((alpha_infinity * (log10_lambda + log10_f)) * log10_lambda) + 0.5606804) / 1.6713146)) + 0.4437105,0.0036623592412249133,1.6713146*(log10_sigma - 4.922959)/sqrt(alpha_infinity*log10_lambda*(log10_f + log10_lambda) + 0.5606804) + 0.4437105,PySRFunction(X=>1.6713146*(log10_sigma - 4.922959)/sqrt(alpha_infinity*log10_lambda*(log10_f + log10_lambda) + 0.5606804) + 0.4437105)
21,0.0011074668,((log10_sigma + -4.907217) / sqrt((log10_f + log10_lambda) * (((log10_lambda + sqrt(log(alpha_infinity))) / sqrt(log10_sigma)) * alpha_infinity))) + 0.4320809,0.0012968058194464222,0.4320809 + (log10_sigma - 4.907217)/sqrt(alpha_infinity*(log10_f + log10_lambda)*(log10_lambda + sqrt(log(alpha_infinity)))/sqrt(log10_sigma)),PySRFunction(X=>0.4320809 + (log10_sigma - 4.907217)/sqrt(alpha_infinity*(log10_f + log10_lambda)*(log10_lambda + sqrt(log(alpha_infinity)))/sqrt(log10_sigma)))
