complexity,loss,equation,score,sympy_format,lambda_format
1,0.026387004,0.2960224,0.0,0.296022400000000,PySRFunction(X=>0.296022400000000)
3,0.0039436636,log10_sigma - 4.3931627,0.9503807386170038,log10_sigma - 1*4.3931627,PySRFunction(X=>log10_sigma - 1*4.3931627)
4,0.001211226,log(log10_sigma - 3.3232923),1.1804770691999438,log(log10_sigma - 3.3232923),PySRFunction(X=>log(log10_sigma - 3.3232923))
5,0.000889603,(log10_sigma * 0.7428859) + -3.1875062,0.3086130529743952,log10_sigma*0.7428859 - 3.1875062,PySRFunction(X=>log10_sigma*0.7428859 - 3.1875062)
7,0.0007635559,(log10_sigma / sqrt(sqrt(log10_f))) + -3.218895,0.07639447917954133,-3.218895 + log10_sigma/log10_f**(1/4),PySRFunction(X=>-3.218895 + log10_sigma/log10_f**(1/4))
8,0.0007511609,((log10_sigma * 0.74288595) - log(log10_f)) + -2.0345256,0.016366460947553344,0.74288595*log10_sigma - log(log10_f) - 2.0345256,PySRFunction(X=>0.74288595*log10_sigma - log(log10_f) - 2.0345256)
9,0.0007427341,((log10_sigma * 0.74281776) + -1.8732789) - (log10_f / 2.4109201),0.01128176930626106,-log10_f/2.4109201 + log10_sigma*0.74281776 - 1.8732789,PySRFunction(X=>-log10_f/2.4109201 + log10_sigma*0.74281776 - 1.8732789)
10,0.00074255915,((log10_sigma * 0.7429463) - log(log10_f + -0.7763329)) + -2.3159742,0.0002355763763271722,0.7429463*log10_sigma - log(log10_f - 0.7763329) - 2.3159742,PySRFunction(X=>0.7429463*log10_sigma - log(log10_f - 0.7763329) - 2.3159742)
11,0.00073521235,((((log10_sigma * 0.23454288) + -0.5159724) * log10_f) + 1.6143095) - log10_f,0.009943161753012702,log10_f*(log10_sigma*0.23454288 - 0.5159724) - log10_f + 1.6143095,PySRFunction(X=>log10_f*(log10_sigma*0.23454288 - 0.5159724) - log10_f + 1.6143095)
12,0.0007285988,(log10_sigma * 0.7438861) + (((log10_lambda * -0.030369546) + -2.1623545) - log(log10_f)),0.00903613147168162,-0.030369546*log10_lambda + 0.7438861*log10_sigma - log(log10_f) - 2.1623545,PySRFunction(X=>-0.030369546*log10_lambda + 0.7438861*log10_sigma - log(log10_f) - 2.1623545)
14,0.0006436753,((log10_sigma * (-3.010359 / log10_lambda)) + (log10_lambda * -0.87922424)) + (-5.602823 - log(log10_f)),0.06196441558445179,-0.87922424*log10_lambda - log(log10_f) - 5.602823 - 3.010359*log10_sigma/log10_lambda,PySRFunction(X=>-0.87922424*log10_lambda - log(log10_f) - 5.602823 - 3.010359*log10_sigma/log10_lambda)
