complexity,loss,equation,score,sympy_format,lambda_format
1,0.017317459,0.76509833,0.0,0.765098330000000,PySRFunction(X=>0.765098330000000)
3,0.0042670714,1.9275517 / log10_f,0.700393723115473,1.9275517/log10_f,PySRFunction(X=>1.9275517/log10_f)
4,0.0014124406,sqrt(3.1423452 - log10_f),1.1056086070767381,sqrt(3.1423452 - log10_f),PySRFunction(X=>sqrt(3.1423452 - log10_f))
5,0.0006715528,sqrt(sqrt(2.9228091 - log10_f)),0.7434817662338876,(2.9228091 - log10_f)**(1/4),PySRFunction(X=>(2.9228091 - log10_f)**(1/4))
7,0.0006462153,sqrt(sqrt(2.9144337 - log10_f) * 1.0209805),0.01922995640738957,1.01043579706976*(2.9144337 - log10_f)**(1/4),PySRFunction(X=>1.01043579706976*(2.9144337 - log10_f)**(1/4))
9,0.00063749065,sqrt(sqrt((3.0882936 - log10_f) - (0.77502626 / log10_sigma))),0.006796559865984917,(-log10_f + 3.0882936 - 0.77502626/log10_sigma)**(1/4),PySRFunction(X=>(-log10_f + 3.0882936 - 0.77502626/log10_sigma)**(1/4))
10,0.0006367394,sqrt(sqrt((3.255312 - log10_f) - (0.71975255 / sqrt(log10_sigma)))),0.0011791435730833066,(-log10_f + 3.255312 - 0.71975255/sqrt(log10_sigma))**(1/4),PySRFunction(X=>(-log10_f + 3.255312 - 0.71975255/sqrt(log10_sigma))**(1/4))
11,0.0005649223,sqrt(sqrt((-1.7164459 / log10_k0_prime) - (log(log(log10_f)) * log10_f))),0.11967226711976185,(-log10_f*log(log(log10_f)) - 1.7164459/log10_k0_prime)**(1/4),PySRFunction(X=>(-log10_f*log(log(log10_f)) - 1.7164459/log10_k0_prime)**(1/4))
13,0.0005449301,sqrt(sqrt(((-0.56765395 / log10_k0_prime) - log(log(log10_f))) * log10_f)) * 1.0268835,0.018015335004309855,1.0268835*(log10_f*(-log(log(log10_f)) - 0.56765395/log10_k0_prime))**(1/4),PySRFunction(X=>1.0268835*(log10_f*(-log(log(log10_f)) - 0.56765395/log10_k0_prime))**(1/4))
14,0.00049976964,log(sqrt(sqrt(log10_f * ((-0.8029767 / log10_k0_prime) - log(log(log10_f))))) * 2.7385275),0.08651025729876978,log(2.7385275*(log10_f*(-log(log(log10_f)) - 0.8029767/log10_k0_prime))**(1/4)),PySRFunction(X=>log(2.7385275*(log10_f*(-log(log(log10_f)) - 0.8029767/log10_k0_prime))**(1/4)))
15,0.00048440293,sqrt(sqrt((log10_f * (((log10_sigma / log10_k0_prime) / log10_k0_prime) - log(log(log10_f)))) * 1.1235176)),0.031230211877413462,1.02954413764678*(log10_f*(-log(log(log10_f)) + log10_sigma/log10_k0_prime**2))**(1/4),PySRFunction(X=>1.02954413764678*(log10_f*(-log(log(log10_f)) + log10_sigma/log10_k0_prime**2))**(1/4))
17,0.0004808225,sqrt(sqrt(((((log10_sigma / (log10_k0_prime - -0.15165518)) / log10_k0_prime) - log(log(log10_f))) * 1.1111597) * log10_f)),0.0037094406248329766,(log10_f*(-1.1111597*log(log(log10_f)) + 1.1111597*log10_sigma/(log10_k0_prime*(log10_k0_prime + 0.15165518))))**(1/4),PySRFunction(X=>(log10_f*(-1.1111597*log(log(log10_f)) + 1.1111597*log10_sigma/(log10_k0_prime*(log10_k0_prime + 0.15165518))))**(1/4))
18,0.0004795669,sqrt(sqrt((((-1.073904 - sqrt(log10_sigma - alpha_infinity)) / log10_k0_prime) - (log(log(log10_f)) * log10_f)) + -0.13364173)),0.0026147742059265786,(-log10_f*log(log(log10_f)) - 0.13364173 + (-sqrt(-alpha_infinity + log10_sigma) - 1.073904)/log10_k0_prime)**(1/4),PySRFunction(X=>(-log10_f*log(log(log10_f)) - 0.13364173 + (-sqrt(-alpha_infinity + log10_sigma) - 1.073904)/log10_k0_prime)**(1/4))
19,0.0004790351,sqrt(sqrt((((-0.7601743 - sqrt(log10_sigma - log(alpha_infinity))) / log10_k0_prime) + -0.13202202) - (log10_f * log(log(log10_f))))),0.0011095325370833317,(-log10_f*log(log(log10_f)) - 0.13202202 + (-sqrt(log10_sigma - log(alpha_infinity)) - 0.7601743)/log10_k0_prime)**(1/4),PySRFunction(X=>(-log10_f*log(log(log10_f)) - 0.13202202 + (-sqrt(log10_sigma - log(alpha_infinity)) - 0.7601743)/log10_k0_prime)**(1/4))
