complexity,loss,equation,score,sympy_format,lambda_format
1,0.018916525,0.36012274,0.0,0.360122740000000,PySRFunction(X=>0.360122740000000)
3,0.008695089,log10_sigma - 4.3290687,0.38863874757851596,log10_sigma - 1*4.3290687,PySRFunction(X=>log10_sigma - 1*4.3290687)
4,0.0026619176,log(log10_sigma - 3.2315516),1.1837116181975111,log(log10_sigma - 3.2315516),PySRFunction(X=>log(log10_sigma - 3.2315516))
5,0.0016903733,(0.6106205 * log10_sigma) + -2.5031958,0.4540973732071542,0.6106205*log10_sigma - 2.5031958,PySRFunction(X=>0.6106205*log10_sigma - 2.5031958)
6,0.0012768528,log((log10_sigma - log10_f) * 0.8881256),0.28055109187503996,log(-0.8881256*log10_f + 0.8881256*log10_sigma),PySRFunction(X=>log(-0.8881256*log10_f + 0.8881256*log10_sigma))
7,0.0010814909,(log10_sigma + (log10_f * -1.3391044)) * 0.60816395,0.16605774810574414,(log10_f*(-1.3391044) + log10_sigma)*0.60816395,PySRFunction(X=>(log10_f*(-1.3391044) + log10_sigma)*0.60816395)
9,0.0009459998,((log10_sigma * 0.6306712) + (-3.8806484 / log10_k0_prime)) - log10_f,0.06692673674143286,-log10_f + log10_sigma*0.6306712 - 3.8806484/log10_k0_prime,PySRFunction(X=>-log10_f + log10_sigma*0.6306712 - 3.8806484/log10_k0_prime)
11,0.0008370573,(log10_sigma * 0.6128803) + ((0.040109247 * log10_k0_prime) - (log10_f * 0.7113328)),0.06117491535386183,-0.7113328*log10_f + 0.040109247*log10_k0_prime + log10_sigma*0.6128803,PySRFunction(X=>-0.7113328*log10_f + 0.040109247*log10_k0_prime + log10_sigma*0.6128803)
13,0.0006997055,((log10_sigma * 0.6367248) - ((log10_f - (-0.8613522 / alpha_infinity)) / log10_k0_prime)) - log10_f,0.08961649734751832,-log10_f + log10_sigma*0.6367248 - (log10_f - (-1)*0.8613522/alpha_infinity)/log10_k0_prime,PySRFunction(X=>-log10_f + log10_sigma*0.6367248 - (log10_f - (-1)*0.8613522/alpha_infinity)/log10_k0_prime)
15,0.0006409697,((log10_k0_prime * ((-0.011526972 / alpha_infinity) + 0.049303807)) + (log10_sigma * 0.612219)) - (log10_f * 0.7064746),0.043838673159993624,-0.7064746*log10_f + log10_k0_prime*(0.049303807 - 0.011526972/alpha_infinity) + log10_sigma*0.612219,PySRFunction(X=>-0.7064746*log10_f + log10_k0_prime*(0.049303807 - 0.011526972/alpha_infinity) + log10_sigma*0.612219)
16,0.0006352538,(0.16405156 / sqrt(alpha_infinity)) + ((log10_sigma * 0.61080205) + ((log10_k0_prime * 0.042331953) - (log10_f * 0.74587667))),0.008957581833345087,-0.74587667*log10_f + 0.042331953*log10_k0_prime + 0.61080205*log10_sigma + 0.16405156/sqrt(alpha_infinity),PySRFunction(X=>-0.74587667*log10_f + 0.042331953*log10_k0_prime + 0.61080205*log10_sigma + 0.16405156/sqrt(alpha_infinity))
18,0.0006050284,(log10_k0_prime * ((0.078555524 / (log10_lambda * sqrt(alpha_infinity))) + 0.05737487)) + ((log10_sigma * 0.6110938) - (log10_f * 0.7047643)),0.024374602500709663,-0.7047643*log10_f + log10_k0_prime*(0.05737487 + 0.078555524/(sqrt(alpha_infinity)*log10_lambda)) + 0.6110938*log10_sigma,PySRFunction(X=>-0.7047643*log10_f + log10_k0_prime*(0.05737487 + 0.078555524/(sqrt(alpha_infinity)*log10_lambda)) + 0.6110938*log10_sigma)
20,0.00060284545,(log10_k0_prime * (((0.07848746 / log10_lambda) / sqrt(alpha_infinity)) + 0.058069754)) + ((log10_sigma * 0.6092518) + (0.14842474 - (log10_f * 0.7484996))),0.0018072685129031153,-0.7484996*log10_f + log10_k0_prime*(0.058069754 + 0.07848746/(sqrt(alpha_infinity)*log10_lambda)) + 0.6092518*log10_sigma + 0.14842474,PySRFunction(X=>-0.7484996*log10_f + log10_k0_prime*(0.058069754 + 0.07848746/(sqrt(alpha_infinity)*log10_lambda)) + 0.6092518*log10_sigma + 0.14842474)
