complexity,loss,equation,score,sympy_format,lambda_format
1,0.008836448,0.47511417,0.0,0.475114170000000,PySRFunction(X=>0.475114170000000)
3,0.0060807522,log10_sigma * 0.101827666,0.18687829025827074,log10_sigma*0.101827666,PySRFunction(X=>log10_sigma*0.101827666)
4,0.0030981663,log(log10_sigma / log10_f),0.6743179850836254,log(log10_sigma/log10_f),PySRFunction(X=>log(log10_sigma/log10_f))
5,0.001953128,(log10_sigma / log10_f) - 1.1287804,0.4613782304059337,-1*1.1287804 + log10_sigma/log10_f,PySRFunction(X=>-1*1.1287804 + log10_sigma/log10_f)
7,0.0016766598,((log10_sigma + 3.1303027) / log10_f) - 2.199469,0.07631429496686658,-1*2.199469 + (log10_sigma + 3.1303027)/log10_f,PySRFunction(X=>-1*2.199469 + (log10_sigma + 3.1303027)/log10_f)
9,0.0016548556,(log10_f / ((log10_sigma + 4.1119995) * -0.11008215)) - -3.4958994,0.006544922870272955,log10_f/(((log10_sigma + 4.1119995)*(-0.11008215))) - 1*(-3.4958994),PySRFunction(X=>log10_f/(((log10_sigma + 4.1119995)*(-0.11008215))) - 1*(-3.4958994))
10,0.0014989353,(alpha_infinity * -0.036443476) + ((log10_sigma / log10_f) - log(log10_f)),0.0989586981862926,-0.036443476*alpha_infinity - log(log10_f) + log10_sigma/log10_f,PySRFunction(X=>-0.036443476*alpha_infinity - log(log10_f) + log10_sigma/log10_f)
12,0.0012140159,((-1.4475 + log10_sigma) / log10_f) - log(log10_f - (-8.732001 / log10_k0_prime)),0.10541063316499902,-log(log10_f + 8.732001/log10_k0_prime) + (log10_sigma - 1.4475)/log10_f,PySRFunction(X=>-log(log10_f + 8.732001/log10_k0_prime) + (log10_sigma - 1.4475)/log10_f)
13,0.0012115366,((log10_sigma + -5.401414) / log10_f) - (log10_f - ((-4.2426825 / log10_k0_prime) - -3.1378345)),0.0020443184498916056,-(log10_f - (-1*(-3.1378345) - 4.2426825/log10_k0_prime)) + (log10_sigma - 5.401414)/log10_f,PySRFunction(X=>-(log10_f - (-1*(-3.1378345) - 4.2426825/log10_k0_prime)) + (log10_sigma - 5.401414)/log10_f)
14,0.0010208302,((log10_sigma + -1.4310523) / log10_f) - log(log10_f - (-10.213022 / (log10_k0_prime - alpha_infinity))),0.17127325349071845,-log(log10_f + 10.213022/(-alpha_infinity + log10_k0_prime)) + (log10_sigma - 1.4310523)/log10_f,PySRFunction(X=>-log(log10_f + 10.213022/(-alpha_infinity + log10_k0_prime)) + (log10_sigma - 1.4310523)/log10_f)
15,0.001013676,((log10_sigma + -1.487288) / log10_f) - log(log10_f - (-9.390664 / (log10_k0_prime - log(alpha_infinity)))),0.007032890328007045,-log(log10_f + 9.390664/(log10_k0_prime - log(alpha_infinity))) + (log10_sigma - 1.487288)/log10_f,PySRFunction(X=>-log(log10_f + 9.390664/(log10_k0_prime - log(alpha_infinity))) + (log10_sigma - 1.487288)/log10_f)
16,0.0010061355,((log10_sigma + -1.493919) / log10_f) - log(log10_f - (-10.166705 / (log10_k0_prime + (alpha_infinity * -0.7261762)))),0.007466573025941567,-log(log10_f + 10.166705/(-0.7261762*alpha_infinity + log10_k0_prime)) + (log10_sigma - 1.493919)/log10_f,PySRFunction(X=>-log(log10_f + 10.166705/(-0.7261762*alpha_infinity + log10_k0_prime)) + (log10_sigma - 1.493919)/log10_f)
18,0.0010056783,((log10_sigma + -1.5143212) / log10_f) - log(log10_f - (-10.156795 / (((alpha_infinity * -0.7395018) + log10_k0_prime) / 1.0152028))),0.0002272576159239375,-log(log10_f + 10.156795/(-0.728427659970993*alpha_infinity + 0.985024863997617*log10_k0_prime)) + (log10_sigma - 1.5143212)/log10_f,PySRFunction(X=>-log(log10_f + 10.156795/(-0.728427659970993*alpha_infinity + 0.985024863997617*log10_k0_prime)) + (log10_sigma - 1.5143212)/log10_f)
21,0.0009945798,((log10_sigma + -1.487288) / log10_f) - log(log10_f - (-9.390664 / (log10_k0_prime - log(log(log(log10_sigma + -1.930276)) + alpha_infinity)))),0.003699060601482195,-log(log10_f + 9.390664/(log10_k0_prime - log(alpha_infinity + log(log(log10_sigma - 1.930276))))) + (log10_sigma - 1.487288)/log10_f,PySRFunction(X=>-log(log10_f + 9.390664/(log10_k0_prime - log(alpha_infinity + log(log(log10_sigma - 1.930276))))) + (log10_sigma - 1.487288)/log10_f)
24,0.0009926122,((log10_sigma + -1.4366616) / log10_f) - log(log10_f - (-9.0357275 / (log10_k0_prime - log((alpha_infinity + log(log(log(log10_sigma)))) + log(sqrt(log10_sigma)))))),0.0006600941237680326,-log(log10_f + 9.0357275/(log10_k0_prime - log(alpha_infinity + log(sqrt(log10_sigma)) + log(log(log(log10_sigma)))))) + (log10_sigma - 1.4366616)/log10_f,PySRFunction(X=>-log(log10_f + 9.0357275/(log10_k0_prime - log(alpha_infinity + log(sqrt(log10_sigma)) + log(log(log(log10_sigma)))))) + (log10_sigma - 1.4366616)/log10_f)
