complexity,loss,equation,score,sympy_format,lambda_format
1,0.015648501,0.29755035,0.0,0.297550350000000,PySRFunction(X=>0.297550350000000)
3,0.013361041,log10_sigma * 0.0641993,0.07901602270823095,log10_sigma*0.0641993,PySRFunction(X=>log10_sigma*0.0641993)
4,0.0094339885,log(log10_sigma * 0.28747094),0.34802411836843317,log(0.28747094*log10_sigma),PySRFunction(X=>log(0.28747094*log10_sigma))
5,0.007507874,(log10_sigma * 0.41976562) - 1.6708093,0.22836662938185584,log10_sigma*0.41976562 - 1*1.6708093,PySRFunction(X=>log10_sigma*0.41976562 - 1*1.6708093)
7,0.005705821,((alpha_infinity + -10.475938) / log10_sigma) + 2.206369,0.1372327273361547,2.206369 + (alpha_infinity - 10.475938)/log10_sigma,PySRFunction(X=>2.206369 + (alpha_infinity - 10.475938)/log10_sigma)
9,0.004352735,(((log10_sigma * 0.6514648) + -3.3614554) / alpha_infinity) + 0.5045755,0.1353412493253498,0.5045755 + (log10_sigma*0.6514648 - 3.3614554)/alpha_infinity,PySRFunction(X=>0.5045755 + (log10_sigma*0.6514648 - 3.3614554)/alpha_infinity)
11,0.0035899265,(log10_lambda * -0.12518904) + (((log10_sigma * 0.65829855) + -3.397432) / alpha_infinity),0.09633632720417043,log10_lambda*(-0.12518904) + (log10_sigma*0.65829855 - 3.397432)/alpha_infinity,PySRFunction(X=>log10_lambda*(-0.12518904) + (log10_sigma*0.65829855 - 3.397432)/alpha_infinity)
13,0.0034212314,(((log10_sigma * 0.6584065) + -3.4013) / alpha_infinity) + ((log10_lambda * log10_f) * -0.03707206),0.024065592002225186,log10_lambda*log10_f*(-0.03707206) + (log10_sigma*0.6584065 - 3.4013)/alpha_infinity,PySRFunction(X=>log10_lambda*log10_f*(-0.03707206) + (log10_sigma*0.6584065 - 3.4013)/alpha_infinity)
16,0.0032867652,((((log10_sigma * 0.9013623) + -4.5290728) / alpha_infinity) + 1.4568757) + ((log10_lambda * -0.14533888) - log(log10_sigma)),0.013365561845156962,-0.14533888*log10_lambda - log(log10_sigma) + 1.4568757 + (0.9013623*log10_sigma - 4.5290728)/alpha_infinity,PySRFunction(X=>-0.14533888*log10_lambda - log(log10_sigma) + 1.4568757 + (0.9013623*log10_sigma - 4.5290728)/alpha_infinity)
17,0.0031624984,log((log10_lambda / alpha_infinity) * (((-1.503418 / log10_sigma) * ((alpha_infinity * log(log10_f)) + -4.5307956)) + -1.3694222)),0.038541511088419196,log(log10_lambda*(-1.3694222 - 1.503418*(alpha_infinity*log(log10_f) - 4.5307956)/log10_sigma)/alpha_infinity),PySRFunction(X=>log(log10_lambda*(-1.3694222 - 1.503418*(alpha_infinity*log(log10_f) - 4.5307956)/log10_sigma)/alpha_infinity))
19,0.0031601416,log(((log10_lambda * (((-1.5079914 / log10_sigma) * ((alpha_infinity * log(log10_f)) + -4.5231524)) + -1.3666984)) + 0.012773342) / alpha_infinity),0.0003727557015987533,log((log10_lambda*(-1.3666984 - 1.5079914*(alpha_infinity*log(log10_f) - 4.5231524)/log10_sigma) + 0.012773342)/alpha_infinity),PySRFunction(X=>log((log10_lambda*(-1.3666984 - 1.5079914*(alpha_infinity*log(log10_f) - 4.5231524)/log10_sigma) + 0.012773342)/alpha_infinity))
20,0.0029431463,((((log10_sigma * 0.99398655) + -4.968739) / alpha_infinity) + ((log10_lambda * log(log10_f)) * -0.33532706)) - ((log10_lambda * log10_sigma) * -0.060769066),0.07113765752661447,0.060769066*log10_lambda*log10_sigma - 0.33532706*log10_lambda*log(log10_f) + (0.99398655*log10_sigma - 4.968739)/alpha_infinity,PySRFunction(X=>0.060769066*log10_lambda*log10_sigma - 0.33532706*log10_lambda*log(log10_f) + (0.99398655*log10_sigma - 4.968739)/alpha_infinity)
22,0.0027849104,log(log10_f) * ((log10_lambda * -0.713333) + ((((log10_sigma * 1.2105176) + -5.917751) / alpha_infinity) - (0.24957576 - ((log10_lambda * 0.11761718) * log10_sigma)))),0.027631739342511962,(0.11761718*log10_lambda*log10_sigma - 0.713333*log10_lambda - 0.24957576 + (1.2105176*log10_sigma - 5.917751)/alpha_infinity)*log(log10_f),PySRFunction(X=>(0.11761718*log10_lambda*log10_sigma - 0.713333*log10_lambda - 0.24957576 + (1.2105176*log10_sigma - 5.917751)/alpha_infinity)*log(log10_f))
