complexity,loss,equation,score,sympy_format,lambda_format
1,0.004565285,0.3230114,0.0,0.323011400000000,PySRFunction(X=>0.323011400000000)
3,0.0035319964,alpha_infinity * 0.20604883,0.12830884007693857,alpha_infinity*0.20604883,PySRFunction(X=>alpha_infinity*0.20604883)
4,0.002979763,sqrt(alpha_infinity) * 0.26188925,0.17001949633536942,0.26188925*sqrt(alpha_infinity),PySRFunction(X=>0.26188925*sqrt(alpha_infinity))
5,0.0026823902,(-1.1685617 - alpha_infinity) / log10_k0_prime,0.10513550443474515,(-alpha_infinity - 1.1685617)/log10_k0_prime,PySRFunction(X=>(-alpha_infinity - 1.1685617)/log10_k0_prime)
7,0.0026750534,-0.06346305 - ((alpha_infinity + 1.7005405) / log10_k0_prime),0.0013694599764947958,-0.06346305 - (alpha_infinity + 1.7005405)/log10_k0_prime,PySRFunction(X=>-0.06346305 - (alpha_infinity + 1.7005405)/log10_k0_prime)
8,0.0025560833,((log10_lambda * sqrt(alpha_infinity)) / log10_k0_prime) * 0.5420594,0.045493216796944944,0.5420594*sqrt(alpha_infinity)*log10_lambda/log10_k0_prime,PySRFunction(X=>0.5420594*sqrt(alpha_infinity)*log10_lambda/log10_k0_prime)
9,0.0025426005,(-1.0592817 - alpha_infinity) * (log10_lambda * (-0.2568677 / log10_k0_prime)),0.00528874978563181,(-alpha_infinity - 1.0592817)*log10_lambda*(-0.2568677)/log10_k0_prime,PySRFunction(X=>(-alpha_infinity - 1.0592817)*log10_lambda*(-0.2568677)/log10_k0_prime)
10,0.0025146888,log10_lambda * (((log10_k0_prime / sqrt(alpha_infinity)) * -0.013128026) + -0.16997713),0.011038317861940473,log10_lambda*(-0.16997713 - 0.013128026*log10_k0_prime/sqrt(alpha_infinity)),PySRFunction(X=>log10_lambda*(-0.16997713 - 0.013128026*log10_k0_prime/sqrt(alpha_infinity)))
11,0.0024872476,(((log10_sigma - (log10_lambda * alpha_infinity)) * -0.26767784) + 0.2194511) / log10_k0_prime,0.010972340755255756,(0.2194511 + (-alpha_infinity*log10_lambda + log10_sigma)*(-0.26767784))/log10_k0_prime,PySRFunction(X=>(0.2194511 + (-alpha_infinity*log10_lambda + log10_sigma)*(-0.26767784))/log10_k0_prime)
12,0.002486154,((log10_sigma + (-5.109049 - (sqrt(alpha_infinity) * log10_lambda))) / log10_k0_prime) * -0.5905622,0.00043977949322476843,-0.5905622*(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 5.109049)/log10_k0_prime,PySRFunction(X=>-0.5905622*(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 5.109049)/log10_k0_prime)
13,0.0024317827,sqrt((((log10_sigma + -7.515366) - (log10_lambda * sqrt(alpha_infinity))) / log10_k0_prime) * -0.4085265),0.0221123282895492,0.639160777895515*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.515366)/log10_k0_prime),PySRFunction(X=>0.639160777895515*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.515366)/log10_k0_prime))
14,0.0023924813,((log10_sigma + -5.669334) - (log10_lambda * sqrt(alpha_infinity))) * ((-3.1514902 / log10_sigma) / log10_k0_prime),0.01629358156052245,-3.1514902*(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 5.669334)/(log10_k0_prime*log10_sigma),PySRFunction(X=>-3.1514902*(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 5.669334)/(log10_k0_prime*log10_sigma))
15,0.0023162349,sqrt(((log10_sigma + (-7.642777 - (log10_lambda * sqrt(alpha_infinity)))) * (-2.0413527 / log10_sigma)) / log10_k0_prime),0.032388048784411684,1.42875914695235*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.642777)/(log10_k0_prime*log10_sigma)),PySRFunction(X=>1.42875914695235*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.642777)/(log10_k0_prime*log10_sigma)))
17,0.0023119221,sqrt((((log10_sigma + -7.632099) - (log10_lambda * sqrt(alpha_infinity))) / log10_k0_prime) * (-1.9186046 / (log10_sigma - 0.2759807))),0.0009318614836018339,1.38513703293212*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.632099)/(log10_k0_prime*(log10_sigma - 0.2759807))),PySRFunction(X=>1.38513703293212*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.632099)/(log10_k0_prime*(log10_sigma - 0.2759807))))
19,0.0023084236,sqrt((-1.9698082 / (log10_sigma - (0.43170998 / alpha_infinity))) * (((log10_sigma + -7.6610622) - (sqrt(alpha_infinity) * log10_lambda)) / log10_k0_prime)),0.0007571945684960765,1.40349855717774*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.6610622)/(log10_k0_prime*(log10_sigma - 0.43170998/alpha_infinity))),PySRFunction(X=>1.40349855717774*sqrt(-(-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 7.6610622)/(log10_k0_prime*(log10_sigma - 0.43170998/alpha_infinity))))
20,0.0021344293,sqrt(sqrt((14.533708 / log10_k0_prime) * ((((log10_sigma + -8.02868) - (sqrt(alpha_infinity) * log10_lambda)) / log10_sigma) / log10_k0_prime))) + -0.19074947,0.0783655631776744,1.95251377993662*((-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 8.02868)/(log10_k0_prime**2*log10_sigma))**(1/4) - 0.19074947,PySRFunction(X=>1.95251377993662*((-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 8.02868)/(log10_k0_prime**2*log10_sigma))**(1/4) - 0.19074947)
22,0.0021227864,sqrt(sqrt((((14.534328 / log10_k0_prime) * (((log10_sigma + -8.087372) - (log10_lambda * sqrt(alpha_infinity))) / log10_sigma)) / log10_k0_prime) / 1.2650219)) + -0.15635945,0.0027348694189297134,1.84108664705883*((-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 8.087372)/(log10_k0_prime**2*log10_sigma))**(1/4) - 0.15635945,PySRFunction(X=>1.84108664705883*((-sqrt(alpha_infinity)*log10_lambda + log10_sigma - 8.087372)/(log10_k0_prime**2*log10_sigma))**(1/4) - 0.15635945)
