Complexity,Loss,Equation
1,0.026213907,"0.2742643"
3,0.006017451,"log10_sigma + -4.414917"
4,0.002973648,"log(log10_sigma + -3.3495648)"
5,0.0023583786,"(log10_sigma * 0.71857464) + -3.0952606"
7,0.00217615,"((log10_sigma + -4.794599) / alpha_infinity) + 0.34510848"
9,0.0017596993,"(((log10_sigma + -5.314911) / log10_lambda) * -2.9251857) + 0.7257426"
11,0.001617146,"((log10_sigma + -4.938804) / ((log10_lambda * 0.08411556) * log10_lambda)) + 0.45473808"
12,0.0014431804,"((log10_sigma + -4.9406343) / ((sqrt(alpha_infinity) * -0.27923506) * log10_lambda)) + 0.45563558"
13,0.0013852553,"((log10_sigma + -5.168104) / (log10_lambda * (sqrt(sqrt(alpha_infinity)) * -0.30652317))) + 0.6223917"
14,0.001196512,"((log10_sigma + -4.940565) / (((log10_lambda * log10_lambda) * sqrt(alpha_infinity)) * 0.06901893)) + 0.45572215"
15,0.0011934476,"(((log10_sigma + -5.0402822) / (log10_lambda * (log10_lambda * sqrt(sqrt(alpha_infinity))))) * 13.2526865) + 0.53031546"
16,0.0011199571,"((log10_sigma + -4.8743253) / sqrt(((log10_lambda + 2.38638) * alpha_infinity) * (log10_lambda + log10_f))) + 0.40721148"
18,0.0011117837,"((log10_sigma + -4.922959) / (sqrt(((alpha_infinity * (log10_lambda + log10_f)) * log10_lambda) + 0.5606804) / 1.6713146)) + 0.4437105"
21,0.0011074668,"((log10_sigma + -4.907217) / sqrt((log10_f + log10_lambda) * (((log10_lambda + sqrt(log(alpha_infinity))) / sqrt(log10_sigma)) * alpha_infinity))) + 0.4320809"
22,0.0010724419,"((log10_sigma * -0.24738614) + ((log10_sigma + -4.885056) / ((sqrt((log10_lambda * (log10_f + log10_lambda)) * alpha_infinity) / 2.622433) + 0.20249738))) - -1.6233759"
24,0.0010647457,"((log10_sigma * -0.24882752) + ((log10_sigma + -4.8821177) / ((sqrt(((log10_lambda * alpha_infinity) * (log10_lambda + log10_f)) + 0.22723578) / 2.6166024) + 0.17441034))) - -1.6281998"
