Complexity,Loss,Equation
1,0.026387004,"0.2960224"
3,0.0039436636,"log10_sigma - 4.3931627"
4,0.001211226,"log(log10_sigma - 3.3232923)"
5,0.000889603,"(log10_sigma * 0.7428859) + -3.1875062"
7,0.0007635559,"(log10_sigma / sqrt(sqrt(log10_f))) + -3.218895"
8,0.0007511609,"((log10_sigma * 0.74288595) - log(log10_f)) + -2.0345256"
9,0.0007427341,"((log10_sigma * 0.74281776) + -1.8732789) - (log10_f / 2.4109201)"
10,0.00074255915,"((log10_sigma * 0.7429463) - log(log10_f + -0.7763329)) + -2.3159742"
11,0.00073521235,"((((log10_sigma * 0.23454288) + -0.5159724) * log10_f) + 1.6143095) - log10_f"
12,0.0007285988,"(log10_sigma * 0.7438861) + (((log10_lambda * -0.030369546) + -2.1623545) - log(log10_f))"
14,0.0006436753,"((log10_sigma * (-3.010359 / log10_lambda)) + (log10_lambda * -0.87922424)) + (-5.602823 - log(log10_f))"
