Complexity,Loss,Equation
1,0.017317459,"0.76509833"
3,0.0042670714,"1.9275517 / log10_f"
4,0.0014124406,"sqrt(3.1423452 - log10_f)"
5,0.0006715528,"sqrt(sqrt(2.9228091 - log10_f))"
7,0.0006462153,"sqrt(sqrt(2.9144337 - log10_f) * 1.0209805)"
9,0.00063749065,"sqrt(sqrt((3.0882936 - log10_f) - (0.77502626 / log10_sigma)))"
10,0.0006367394,"sqrt(sqrt((3.255312 - log10_f) - (0.71975255 / sqrt(log10_sigma))))"
11,0.0005649223,"sqrt(sqrt((-1.7164459 / log10_k0_prime) - (log(log(log10_f)) * log10_f)))"
13,0.0005449301,"sqrt(sqrt(((-0.56765395 / log10_k0_prime) - log(log(log10_f))) * log10_f)) * 1.0268835"
14,0.00049976964,"log(sqrt(sqrt(log10_f * ((-0.8029767 / log10_k0_prime) - log(log(log10_f))))) * 2.7385275)"
15,0.00048440293,"sqrt(sqrt((log10_f * (((log10_sigma / log10_k0_prime) / log10_k0_prime) - log(log(log10_f)))) * 1.1235176))"
17,0.0004808225,"sqrt(sqrt(((((log10_sigma / (log10_k0_prime - -0.15165518)) / log10_k0_prime) - log(log(log10_f))) * 1.1111597) * log10_f))"
18,0.0004795669,"sqrt(sqrt((((-1.073904 - sqrt(log10_sigma - alpha_infinity)) / log10_k0_prime) - (log(log(log10_f)) * log10_f)) + -0.13364173))"
19,0.0004790351,"sqrt(sqrt((((-0.7601743 - sqrt(log10_sigma - log(alpha_infinity))) / log10_k0_prime) + -0.13202202) - (log10_f * log(log(log10_f)))))"
20,0.0004613807,"sqrt(sqrt((((-1.0735339 - sqrt(log10_sigma - alpha_infinity)) / log10_k0_prime) + -0.13356127) - ((log(log(log10_f)) * log10_f) * 1.0370064)))"
21,0.0004552023,"sqrt(sqrt(((-1.5562576 - sqrt(log10_sigma - (log10_f + log(alpha_infinity)))) / log10_k0_prime) + (-0.12780015 - (log(log(log10_f)) * log10_f))))"
23,0.00045136327,"sqrt(sqrt(((-1.2971215 - sqrt(log10_sigma - (log(alpha_infinity) + (log10_f + -0.61420345)))) / log10_k0_prime) + (-0.12457413 - (log10_f * log(log(log10_f))))))"
