Complexity,Loss,Equation
1,0.018916525,"0.36012274"
3,0.008695089,"log10_sigma - 4.3290687"
4,0.0026619176,"log(log10_sigma - 3.2315516)"
5,0.0016903733,"(0.6106205 * log10_sigma) + -2.5031958"
6,0.0012768528,"log((log10_sigma - log10_f) * 0.8881256)"
7,0.0010814909,"(log10_sigma + (log10_f * -1.3391044)) * 0.60816395"
9,0.0009459998,"((log10_sigma * 0.6306712) + (-3.8806484 / log10_k0_prime)) - log10_f"
11,0.0008370573,"(log10_sigma * 0.6128803) + ((0.040109247 * log10_k0_prime) - (log10_f * 0.7113328))"
13,0.0006997055,"((log10_sigma * 0.6367248) - ((log10_f - (-0.8613522 / alpha_infinity)) / log10_k0_prime)) - log10_f"
15,0.0006409697,"((log10_k0_prime * ((-0.011526972 / alpha_infinity) + 0.049303807)) + (log10_sigma * 0.612219)) - (log10_f * 0.7064746)"
16,0.0006352538,"(0.16405156 / sqrt(alpha_infinity)) + ((log10_sigma * 0.61080205) + ((log10_k0_prime * 0.042331953) - (log10_f * 0.74587667)))"
18,0.0006050284,"(log10_k0_prime * ((0.078555524 / (log10_lambda * sqrt(alpha_infinity))) + 0.05737487)) + ((log10_sigma * 0.6110938) - (log10_f * 0.7047643))"
20,0.00060284545,"(log10_k0_prime * (((0.07848746 / log10_lambda) / sqrt(alpha_infinity)) + 0.058069754)) + ((log10_sigma * 0.6092518) + (0.14842474 - (log10_f * 0.7484996)))"
