Complexity,Loss,Equation
1,0.008836448,"0.47511417"
3,0.0060807522,"log10_sigma * 0.101827666"
4,0.0030981663,"log(log10_sigma / log10_f)"
5,0.001953128,"(log10_sigma / log10_f) - 1.1287804"
7,0.0016766598,"((log10_sigma + 3.1303027) / log10_f) - 2.199469"
9,0.0016548556,"(log10_f / ((log10_sigma + 4.1119995) * -0.11008215)) - -3.4958994"
10,0.0014989353,"(alpha_infinity * -0.036443476) + ((log10_sigma / log10_f) - log(log10_f))"
12,0.0012140159,"((-1.4475 + log10_sigma) / log10_f) - log(log10_f - (-8.732001 / log10_k0_prime))"
13,0.0012115366,"((log10_sigma + -5.401414) / log10_f) - (log10_f - ((-4.2426825 / log10_k0_prime) - -3.1378345))"
14,0.0010208302,"((log10_sigma + -1.4310523) / log10_f) - log(log10_f - (-10.213022 / (log10_k0_prime - alpha_infinity)))"
15,0.001013676,"((log10_sigma + -1.487288) / log10_f) - log(log10_f - (-9.390664 / (log10_k0_prime - log(alpha_infinity))))"
16,0.0010061355,"((log10_sigma + -1.493919) / log10_f) - log(log10_f - (-10.166705 / (log10_k0_prime + (alpha_infinity * -0.7261762))))"
18,0.0010056783,"((log10_sigma + -1.5143212) / log10_f) - log(log10_f - (-10.156795 / (((alpha_infinity * -0.7395018) + log10_k0_prime) / 1.0152028)))"
21,0.0009945798,"((log10_sigma + -1.487288) / log10_f) - log(log10_f - (-9.390664 / (log10_k0_prime - log(log(log(log10_sigma + -1.930276)) + alpha_infinity))))"
24,0.0009926122,"((log10_sigma + -1.4366616) / log10_f) - log(log10_f - (-9.0357275 / (log10_k0_prime - log((alpha_infinity + log(log(log(log10_sigma)))) + log(sqrt(log10_sigma))))))"
