complexity,loss,equation,score,sympy_format,lambda_format
1,0.026387004,0.2960224,0.0,0.296022400000000,PySRFunction(X=>0.296022400000000)
3,0.0039436636,log10_sigma - 4.3931627,0.9503807386170038,log10_sigma - 1*4.3931627,PySRFunction(X=>log10_sigma - 1*4.3931627)
4,0.001211226,log(log10_sigma - 3.3232923),1.1804770691999438,log(log10_sigma - 3.3232923),PySRFunction(X=>log(log10_sigma - 3.3232923))
5,0.00088960305,(log10_sigma * 0.74289185) - 3.1875346,0.30861299676955034,log10_sigma*0.74289185 - 1*3.1875346,PySRFunction(X=>log10_sigma*0.74289185 - 1*3.1875346)
7,0.0008316986,(log10_sigma + (-1.1197662 - log10_f)) * 0.7369993,0.03365261821183819,(-log10_f + log10_sigma - 1.1197662)*0.7369993,PySRFunction(X=>(-log10_f + log10_sigma - 1.1197662)*0.7369993)
8,0.00075116096,((log10_sigma * 0.74289185) + -2.034552) - log(log10_f),0.10185015921144562,0.74289185*log10_sigma - log(log10_f) - 2.034552,PySRFunction(X=>0.74289185*log10_sigma - log(log10_f) - 2.034552)
9,0.0007390117,((-2.737333 - log10_f) * (log10_sigma / -7.9941454)) - log10_f,0.01630620333395569,-log10_f + log10_sigma*(-log10_f - 2.737333)/(-7.9941454),PySRFunction(X=>-log10_f + log10_sigma*(-log10_f - 2.737333)/(-7.9941454))
11,0.00073814753,(((log10_sigma * (-2.694397 - log10_f)) / -7.9404078) - log10_f) / 0.99359584,0.0005850216287024675,(-log10_f + log10_sigma*(-log10_f - 2.694397)/(-7.9404078))/0.99359584,PySRFunction(X=>(-log10_f + log10_sigma*(-log10_f - 2.694397)/(-7.9404078))/0.99359584)
13,0.00069129677,((-3.4198995 - log10_f) * (log10_sigma / ((log10_k0_prime * 0.05500161) + -8.455249))) - log10_f,0.03278724959363918,-log10_f + log10_sigma*(-log10_f - 3.4198995)/(log10_k0_prime*0.05500161 - 8.455249),PySRFunction(X=>-log10_f + log10_sigma*(-log10_f - 3.4198995)/(log10_k0_prime*0.05500161 - 8.455249))
15,0.00068705814,(((-3.187171 - log10_f) * log10_sigma) / ((log10_k0_prime * (0.14589922 / log10_f)) + -8.215547)) - log10_f,0.003075146560690177,-log10_f + log10_sigma*(-log10_f - 3.187171)/(-8.215547 + log10_k0_prime*0.14589922/log10_f),PySRFunction(X=>-log10_f + log10_sigma*(-log10_f - 3.187171)/(-8.215547 + log10_k0_prime*0.14589922/log10_f))
17,0.0006698372,(log10_sigma * ((-3.3503964 - log10_f) / (((log10_k0_prime / (log10_f - log10_lambda)) * 0.3612681) + -8.402997))) - log10_f,0.012692109838882379,-log10_f + log10_sigma*(-log10_f - 3.3503964)/(log10_k0_prime*0.3612681/(log10_f - log10_lambda) - 8.402997),PySRFunction(X=>-log10_f + log10_sigma*(-log10_f - 3.3503964)/(log10_k0_prime*0.3612681/(log10_f - log10_lambda) - 8.402997))
18,0.0006662478,((log10_sigma * (-2.5990057 - log10_f)) / (((log10_k0_prime * 0.2646552) / (sqrt(log10_sigma) - log10_lambda)) + -7.448843)) - log10_f,0.005373024373916091,-log10_f + log10_sigma*(-log10_f - 2.5990057)/(0.2646552*log10_k0_prime/(-log10_lambda + sqrt(log10_sigma)) - 7.448843),PySRFunction(X=>-log10_f + log10_sigma*(-log10_f - 2.5990057)/(0.2646552*log10_k0_prime/(-log10_lambda + sqrt(log10_sigma)) - 7.448843))
21,0.00064345525,((0.050960176 / (log10_f - (log10_lambda - log10_lambda_prime))) * log10_k0_prime) + ((((-3.2713566 - log10_f) * (log10_sigma / -8.3868065)) - log10_f) / 1.0299169),0.011603063454099956,0.050960176*log10_k0_prime/(log10_f - (log10_lambda - log10_lambda_prime)) + (-log10_f + log10_sigma*(-log10_f - 3.2713566)/(-8.3868065))/1.0299169,PySRFunction(X=>0.050960176*log10_k0_prime/(log10_f - (log10_lambda - log10_lambda_prime)) + (-log10_f + log10_sigma*(-log10_f - 3.2713566)/(-8.3868065))/1.0299169)
23,0.00064296654,((((log10_k0_prime * (-0.008174593 / (log10_f - (log10_lambda + (0.017836718 - log10_lambda_prime))))) + (log10_sigma / -8.385546)) * (-3.272874 - log10_f)) - log10_f) / 1.0309823,0.00037989874496038774,(-log10_f + (-log10_f - 3.272874)*(log10_k0_prime*(-0.008174593)/(log10_f - (log10_lambda - log10_lambda_prime + 0.017836718)) + log10_sigma/(-8.385546)))/1.0309823,PySRFunction(X=>(-log10_f + (-log10_f - 3.272874)*(log10_k0_prime*(-0.008174593)/(log10_f - (log10_lambda - log10_lambda_prime + 0.017836718)) + log10_sigma/(-8.385546)))/1.0309823)
