complexity,loss,equation,score,sympy_format,lambda_format
1,0.018916525,0.3601229,0.0,0.360122900000000,PySRFunction(X=>0.360122900000000)
3,0.008695089,log10_sigma + -4.3290687,0.38863874757851596,log10_sigma - 4.3290687,PySRFunction(X=>log10_sigma - 4.3290687)
4,0.0026619176,log(log10_sigma + -3.231545),1.1837116181975111,log(log10_sigma - 3.231545),PySRFunction(X=>log(log10_sigma - 3.231545))
5,0.0016903734,-2.5031922 - (log10_sigma * -0.61062056),0.45409731404862586,-(-0.61062056)*log10_sigma - 2.5031922,PySRFunction(X=>-(-0.61062056)*log10_sigma - 2.5031922)
6,0.0012768528,log((log10_sigma - log10_f) * 0.88812315),0.2805511510335685,log(-0.88812315*log10_f + 0.88812315*log10_sigma),PySRFunction(X=>log(-0.88812315*log10_f + 0.88812315*log10_sigma))
7,0.0010962472,((-1.0429671 - log10_f) + log10_sigma) * 0.6137974,0.15250558970276018,(-log10_f + log10_sigma - 1.0429671)*0.6137974,PySRFunction(X=>(-log10_f + log10_sigma - 1.0429671)*0.6137974)
9,0.0009571253,(((log10_sigma - log10_f) + -1.0411221) / log10_k0_prime) / -0.19456884,0.06785683832464669,(-log10_f + log10_sigma - 1.0411221)/((-0.19456884)*log10_k0_prime),PySRFunction(X=>(-log10_f + log10_sigma - 1.0411221)/((-0.19456884)*log10_k0_prime))
10,0.0009480783,((log10_sigma - log10_f) + -1.0426651) / log(log10_k0_prime / -1.6465012),0.00949721909096524,(-log10_f + log10_sigma - 1.0426651)/log(-0.60734847930873*log10_k0_prime),PySRFunction(X=>(-log10_f + log10_sigma - 1.0426651)/log(-0.60734847930873*log10_k0_prime))
11,0.00088674534,((log10_sigma - log10_f) / log(sqrt(log10_k0_prime / -0.3265528))) + -0.6434864,0.06687925528622689,(-log10_f + log10_sigma)/log(1.74994054677987*sqrt(-log10_k0_prime)) - 0.6434864,PySRFunction(X=>(-log10_f + log10_sigma)/log(1.74994054677987*sqrt(-log10_k0_prime)) - 0.6434864)
13,0.0006572628,(((log10_sigma + -1.7612928) - log10_f) * 0.61410743) - (-4.3810716 / (alpha_infinity - log10_k0_prime)),0.14973694999439616,(-log10_f + log10_sigma - 1.7612928)*0.61410743 - (-1)*4.3810716/(alpha_infinity - log10_k0_prime),PySRFunction(X=>(-log10_f + log10_sigma - 1.7612928)*0.61410743 - (-1)*4.3810716/(alpha_infinity - log10_k0_prime))
14,0.0006565224,(((log10_sigma + -2.4596186) - log10_f) * 0.6141471) - (-2.74254 / sqrt(alpha_infinity - log10_k0_prime)),0.0011271250100614721,-0.6141471*log10_f + 0.6141471*log10_sigma - 1.51056763029606 + 2.74254/sqrt(alpha_infinity - log10_k0_prime),PySRFunction(X=>-0.6141471*log10_f + 0.6141471*log10_sigma - 1.51056763029606 + 2.74254/sqrt(alpha_infinity - log10_k0_prime))
16,0.00064324826,((log10_sigma + (-2.4572425 - log10_f)) * 0.61280453) - (-2.7344573 / sqrt(local_t3 + (alpha_infinity - log10_k0_prime))),0.010213033675641933,-0.61280453*log10_f + 0.61280453*log10_sigma - 1.50580933530853 + 2.7344573/sqrt(alpha_infinity + local_t3 - log10_k0_prime),PySRFunction(X=>-0.61280453*log10_f + 0.61280453*log10_sigma - 1.50580933530853 + 2.7344573/sqrt(alpha_infinity + local_t3 - log10_k0_prime))
17,0.0006358979,(0.6141117 * ((log10_sigma + -1.7612203) - log10_f)) - (-4.3806357 / (alpha_infinity - (log10_k0_prime + (local_t / -3.0262806)))),0.011492730282721533,0.6141117*(-log10_f + log10_sigma - 1.7612203) - (-1)*4.3806357/(alpha_infinity - (local_t/(-3.0262806) + log10_k0_prime)),PySRFunction(X=>0.6141117*(-log10_f + log10_sigma - 1.7612203) - (-1)*4.3806357/(alpha_infinity - (local_t/(-3.0262806) + log10_k0_prime)))
19,0.00063476653,(log10_sigma + ((-1.7720181 - log10_f) - (-15.010385 / (((alpha_infinity - log10_k0_prime) / 0.4843026) + (local_t / alpha_infinity))))) * 0.6110052,0.0008903769337216136,(-log10_f + log10_sigma - 1.7720181 - (-1)*15.010385/((alpha_infinity - log10_k0_prime)/0.4843026 + local_t/alpha_infinity))*0.6110052,PySRFunction(X=>(-log10_f + log10_sigma - 1.7720181 - (-1)*15.010385/((alpha_infinity - log10_k0_prime)/0.4843026 + local_t/alpha_infinity))*0.6110052)
