complexity,loss,equation,score,sympy_format,lambda_format
1,0.002356181,0.2690272,0.0,0.269027200000000,PySRFunction(X=>0.269027200000000)
3,0.0018660673,3.920623 - log10_f,0.11660445986934909,3.920623 - log10_f,PySRFunction(X=>3.920623 - log10_f)
4,0.0018529493,log(4.9605246 - log10_f),0.007054582334332426,log(4.9605246 - log10_f),PySRFunction(X=>log(4.9605246 - log10_f))
5,0.0017519217,(local_t + -2.2783668) / log10_k0_prime,0.05606528615807483,(local_t - 2.2783668)/log10_k0_prime,PySRFunction(X=>(local_t - 2.2783668)/log10_k0_prime)
7,0.0015613515,(-0.48436788 * (log10_sigma - local_t)) / log10_k0_prime,0.057580753690300725,-0.48436788*(-local_t + log10_sigma)/log10_k0_prime,PySRFunction(X=>-0.48436788*(-local_t + log10_sigma)/log10_k0_prime)
9,0.0015262506,((local_t * 0.6555328) + (log10_sigma * -0.48436788)) / log10_k0_prime,0.011368826395487853,(local_t*0.6555328 + log10_sigma*(-0.48436788))/log10_k0_prime,PySRFunction(X=>(local_t*0.6555328 + log10_sigma*(-0.48436788))/log10_k0_prime)
11,0.0014772541,sqrt(-0.111190446 - (log(log10_sigma) / (log10_k0_prime - (local_t * alpha_infinity)))),0.01631455644799179,sqrt(-0.111190446 - log(log10_sigma)/(-alpha_infinity*local_t + log10_k0_prime)),PySRFunction(X=>sqrt(-0.111190446 - log(log10_sigma)/(-alpha_infinity*local_t + log10_k0_prime)))
13,0.0014581614,sqrt(-0.12245138 - (log(log10_sigma) / (log10_k0_prime - ((alpha_infinity * local_t) - 0.5034022)))),0.0065043498094565855,sqrt(-0.12245138 - log(log10_sigma)/(-alpha_infinity*local_t + log10_k0_prime + 0.5034022)),PySRFunction(X=>sqrt(-0.12245138 - log(log10_sigma)/(-alpha_infinity*local_t + log10_k0_prime + 0.5034022)))
14,0.0013631539,(log10_sigma + (local_t / (sqrt(alpha_infinity) - (log10_sigma - 2.6365004)))) * (-0.4843382 / log10_k0_prime),0.06737526801536932,-0.4843382*(local_t/(sqrt(alpha_infinity) - log10_sigma + 2.6365004) + log10_sigma)/log10_k0_prime,PySRFunction(X=>-0.4843382*(local_t/(sqrt(alpha_infinity) - log10_sigma + 2.6365004) + log10_sigma)/log10_k0_prime)
20,0.0013463593,((log10_sigma / (log10_k0_prime - ((local_t * log10_lambda_prime) / (sqrt(alpha_infinity) + (5.816783 - (log10_sigma * 1.8254175)))))) * 1.7942528) / log10_lambda_prime,0.0020661540589060113,1.7942528*log10_sigma/(log10_lambda_prime*(-local_t*log10_lambda_prime/(sqrt(alpha_infinity) - 1.8254175*log10_sigma + 5.816783) + log10_k0_prime)),PySRFunction(X=>1.7942528*log10_sigma/(log10_lambda_prime*(-local_t*log10_lambda_prime/(sqrt(alpha_infinity) - 1.8254175*log10_sigma + 5.816783) + log10_k0_prime)))
22,0.0013371354,((log10_sigma / ((log10_k0_prime + local_t3) - (local_t * (log10_lambda_prime / ((sqrt(alpha_infinity) + 6.317907) - (log10_sigma * 1.9419756)))))) / log10_lambda_prime) * 1.7952535,0.0034372850919158664,1.7952535*log10_sigma/(log10_lambda_prime*(-local_t*log10_lambda_prime/(sqrt(alpha_infinity) - 1.9419756*log10_sigma + 6.317907) + local_t3 + log10_k0_prime)),PySRFunction(X=>1.7952535*log10_sigma/(log10_lambda_prime*(-local_t*log10_lambda_prime/(sqrt(alpha_infinity) - 1.9419756*log10_sigma + 6.317907) + local_t3 + log10_k0_prime)))
24,0.001333652,((log10_sigma * 1.7998587) / ((local_t3 + log10_k0_prime) - ((local_t * log10_lambda_prime) / (((local_t3 + sqrt(alpha_infinity)) + 5.8191113) - (log10_sigma * 1.8166851))))) / log10_lambda_prime,0.0013042602998643046,1.7998587*log10_sigma/(log10_lambda_prime*(-local_t*log10_lambda_prime/(sqrt(alpha_infinity) + local_t3 - 1.8166851*log10_sigma + 5.8191113) + local_t3 + log10_k0_prime)),PySRFunction(X=>1.7998587*log10_sigma/(log10_lambda_prime*(-local_t*log10_lambda_prime/(sqrt(alpha_infinity) + local_t3 - 1.8166851*log10_sigma + 5.8191113) + local_t3 + log10_k0_prime)))
